Nome: FEIRA DE SANTANA
Codigo Estacao: 83221
Latitude: -12.1961111
Longitude: -38.96722221
Altitude: 229.52
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-12-17
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;13;114.9;null;null;163.1;6.2;4;5.9;987.3;33.2;26.6;21.3;79;8.1;3.8;37;null;
2012-02-29;13;136.1;null;null;185.7;6.7;6;29.4;987.3;33.2;26.3;20.8;82.6;9.3;3.7;35.7;null;
2012-03-31;12;149.6;null;null;242;5.5;1;3.3;987.8;34.3;26.5;20.4;81.9;7.5;3.7;38.3;null;
2012-04-30;12;127;null;null;171.9;6.3;5;13.1;988.3;32.3;25.6;19;79;7.6;3.4;38;null;
2012-05-31;16;83;null;null;91;7.5;18;60.1;990.1;29.8;24.4;20.4;79;6.4;3;30;null;
2012-06-30;12;66;null;null;80.7;6.6;11;62.3;991.6;28.6;23.1;19.1;81.5;6.3;2.7;32.2;null;
2012-07-31;13;67.4;null;null;151;6.8;13;27.6;992.1;27.7;22.2;18.2;81.1;6.7;2.9;33.1;null;
2012-08-31;17;79.2;null;null;140.3;6.6;18;56.3;994;27.2;21.8;17.4;79.4;8.4;3.4;31.7;null;
2012-09-30;14;110.2;null;null;146.9;5.7;9;20.1;992.7;29.8;23.3;18;69.1;8;3.6;36.3;null;
2012-10-31;14;108.3;null;null;148.5;5.3;6;15;990.2;31;24.3;19.5;69;8.2;3.9;40.2;null;
2012-11-30;10;98.6;null;null;81.8;6.4;6;77;986.9;32.1;26.1;22.2;69.1;8.1;3.2;37.1;null;
2012-12-31;10;168.5;null;null;146.7;4.6;1;1.8;987.1;33.9;26.5;20.7;62.5;7.9;3.4;43;null;
2013-01-31;8;127.7;null;null;127.7;6.3;7;123.2;987.2;33.8;26.7;20.9;67;10.3;3.4;40.9;null;
2013-02-28;13;109;null;null;140;6;4;5.7;987.3;33.5;26.5;20.7;68;8.3;3.7;41.3;null;
2013-03-31;12;null;null;null;143.4;5.4;3;1;987;34.2;27.3;21.3;67.1;7.8;3.7;40.9;null;
2013-04-30;18;100;null;null;97.5;6.8;null;76;987.8;31.2;25.6;20.7;77.4;7.5;3.4;31.7;null;
2013-05-31;15;46.9;null;null;94.6;7.2;null;39.5;989;28.5;24;20;84.7;6.7;3;29.8;null;
2013-06-30;14;39.6;null;null;65.9;7.6;null;112.3;990.3;27.1;23.1;19.2;86.8;6.1;2.5;27.9;null;
