Nome: CRUZ DAS ALMAS
Codigo Estacao: 83222
Latitude: -12.67527777
Longitude: -39.08972221
Altitude: 219.69
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;157.6;null;null;216.5;6.5;9;33.4;988.4;null;null;null;null;null;null;68.1;null;
2012-02-29;14;157.8;null;null;null;6.4;13;53.4;988.3;null;null;null;null;null;null;73.1;null;
2012-03-31;14;182.9;null;null;267.6;6;7;15.9;988.6;null;null;null;null;null;null;69;null;
2012-04-30;14;139.7;null;null;231.9;6.3;13;53.6;989.1;null;null;null;null;null;null;68.1;null;
2012-05-31;14;105.9;null;null;175.9;6.8;17;73.8;990.7;null;null;null;null;null;null;64.7;null;
2012-06-30;14;75.4;null;null;176.7;6.6;22;115.1;992.3;null;null;null;null;null;null;64.9;null;
2012-07-31;14;86.1;null;null;211.9;6.7;18;99.3;993;null;null;null;null;null;null;64;null;
2012-08-31;14;94.5;null;null;214.6;6.9;24;135.3;994.5;null;null;null;null;null;null;63;null;
2012-09-30;14;119.6;null;null;225.9;6.5;13;48.4;993.3;null;null;null;null;null;null;62.5;null;
2012-10-31;14;141.5;null;null;210.1;6.3;9;32.5;990.2;null;null;null;null;null;null;68.5;null;
2012-11-30;14;130.3;null;null;129.8;7.2;8;55.9;987;null;null;null;null;null;null;65.5;null;
2012-12-31;9;198.4;null;null;245.7;6;4;11;987.3;null;null;null;null;null;null;69.3;null;
2013-01-31;9;168.9;null;null;208.8;7.2;7;86.5;987.7;null;null;null;null;null;null;78.2;null;
2013-02-28;14;157.2;null;null;231;6.1;9;76.3;988.1;null;null;null;null;null;null;69.4;null;
2013-03-31;14;158.9;null;null;267.4;6;8;19;987.9;null;null;23.1;null;null;null;70.1;null;
2013-04-30;18;102.7;null;null;142.4;6.9;16;142;988.8;null;null;null;null;null;null;63.9;null;
2013-05-31;14;39;null;null;164.3;6.7;5;130.5;990.2;null;null;null;null;null;null;66.6;null;
2013-06-30;14;null;null;null;89.1;7.6;null;181.3;991.4;null;null;null;null;null;null;60.9;null;
2013-07-31;14;56.8;null;null;126.6;7.2;null;137.3;992.9;null;null;null;null;null;null;62.8;null;
2013-08-31;14;76.7;null;null;null;6.8;null;121.5;992.6;null;null;null;null;null;null;64.1;null;
2013-09-30;14;88.9;null;null;170.8;6.9;null;71.2;992;null;null;19.3;null;null;null;69.1;null;
2013-10-31;14;111.6;null;null;198.2;6.3;null;90.4;990.3;null;null;null;null;null;null;69;null;
