Nome: PEIXE
Codigo Estacao: 83228
Latitude: -12.01527777
Longitude: -48.54499999
Altitude: 252.24
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;81.1;118.2;118.2;114.5;8.9;21;248.4;982.5;31;24.9;21.9;83.5;4.8;1;71.6;null;
2012-02-29;0;105.4;116.1;116.1;154.9;8;15;158;982.3;31.7;25.4;21.6;79.7;4.6;.8;71.7;null;
2012-03-31;0;99.4;132.8;130.2;196.9;7.5;12;109.3;982.4;32.7;26.1;22.1;80.4;5.5;.7;72.4;null;
2012-04-30;0;155;140.2;69.9;263.6;4.9;3;13;981.8;34.8;27;22;72.9;4.8;1.1;72.7;null;
2012-05-31;0;194.9;120.9;69.8;248.7;5;7;59.6;983.8;33.5;25.8;21;69.2;6.6;1.9;72.7;null;
2012-06-30;0;220.4;109.5;8;292.9;2.8;0;0;984.7;34.4;25.4;19.8;64.2;5.5;1.5;72.7;null;
2012-07-31;14;294.2;97.7;2.5;322.5;1.8;0;0;984.8;34.6;24.3;16.9;53.3;5.7;1.7;72.7;null;
2012-08-31;14;423.4;117.8;1;329.5;1.6;0;0;985.9;34.8;25.5;18.2;42.5;8;2.9;69.7;null;
2012-09-30;9;392.8;157.8;58.7;271.9;3.8;1;58.4;983.7;37.3;27.8;20.5;42.3;6.2;1.7;64;null;
2012-10-31;0;296.4;184.9;24.8;265.9;4.7;5;24.7;981.1;36.3;28.6;22.8;54.4;5.3;1.6;64.6;null;
2012-11-30;0;120.4;142.8;142.8;109.3;8.8;16;184.3;981.3;32.1;26.6;23.3;77.6;4.5;1.2;71.1;null;
2012-12-31;0;122.3;155;136.7;210;7.5;15;121;981.1;34.1;26.9;22.5;75.2;3.9;.9;72.7;null;
2013-01-31;0;105.7;137.1;137.1;134.7;8.4;21;332.5;982.5;31.7;26.2;22.7;81.4;4.4;1.1;71.4;null;
2013-02-28;0;104.2;131.4;124.7;178.5;7.2;11;92.3;981.4;33.4;26.6;22.5;79.2;5.2;.9;72.5;null;
2013-03-31;0;91.4;141.9;141.9;180;7.6;17;177.2;982.4;32.8;26.5;22.8;81.5;4.5;.9;72.2;null;
2013-04-30;0;120.5;133.3;132.4;218.4;6.2;11;119.3;983;33.1;26.5;22.7;77.9;4;.9;71.9;null;
2013-05-31;0;173.9;124.3;85.6;272.2;4;5;33.9;983.5;34.1;26.2;21;71.2;6.2;1.2;71.8;null;
2013-06-30;0;201.6;111;66.6;282.4;3.6;2;50.6;984.3;34.1;25.5;20;66.9;5.5;1.5;71.9;null;
2013-07-31;0;289;112.2;13;316;2.5;0;0;985.1;34.9;25.3;18.6;56;5.5;1.6;72.7;null;
2013-08-31;0;380.7;136.1;4.7;311.3;3;0;0;983.7;36.3;26.6;19.4;45.3;7;2.2;69.8;null;
2013-09-30;0;357.5;178;6.7;236.5;6.1;2;5.4;982.7;37.1;28.8;22.5;46.9;7.5;1.9;68.1;null;
2013-10-31;9;289.2;184.7;100.4;195.6;7.2;7;100.2;982.1;35.6;28.6;23.7;58.2;7.2;1.7;66.5;null;
2013-11-30;0;130.1;144.5;144.5;178.9;8;16;301.1;981.1;33.4;26.7;22.6;75.1;5.2;.9;71.8;null;
2013-12-31;0;78.3;130.7;130.7;129.4;8.4;23;445.3;981.6;30.8;25.6;22.3;83.2;6.2;1.3;71;null;
