Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;86.2;145.6;81.1;242;4.2;14;35.7;1014.2;1008.3;30.6;26.4;22.9;80.5;3.3;1.5;67.6;
2012-02-29;5;71.8;130;81;207.5;4.1;16;70.9;1013.8;1007.9;30.4;26.2;22.7;83.1;3;1.3;67.5;
2012-03-31;5;81.3;138.6;80.6;239.1;3.8;15;74.7;1014.2;1008.3;30.4;26.3;22.8;82.9;3.3;1.4;67.7;
2012-04-30;14;75.3;128.3;52.5;221.1;4.2;15;48.8;1014.1;1008.2;30.5;26.3;22.7;82.4;3.3;1.3;66.3;
2012-05-31;14;29.9;109.1;109.1;159.8;5.5;20;411.5;1016.2;1010.3;28.2;25;22.1;87.2;5;1.7;56.9;
2012-06-30;18;46.8;93.4;93.4;167.8;5.3;19;170.2;1017.9;1011.9;27.5;24.2;21.3;87.1;4.3;1;59.8;
2012-07-31;14;59.2;86.8;86.8;186.5;4.7;19;162.5;1018.7;1012.7;26.7;23.4;20.4;85.7;3.3;1.3;60.8;
2012-08-31;14;65.3;83.9;83.9;211.3;4.8;24;137.4;1020.5;1014.5;26.4;23;19.7;85.4;3.3;1.6;64.2;
2012-09-30;5;75.2;99.2;80.3;204.6;4.7;1;30.7;1019.1;1013.1;28;24.2;20.8;82.5;5.3;1.6;65.2;
2012-10-31;5;78.1;113.1;90.1;206.6;4.6;19;73.6;1016.2;1010.3;28.6;24.7;21.3;83.1;4.1;1.5;63.9;
2012-11-30;5;82.8;133.2;56.7;170.2;5.6;9;35.5;1012.8;1006.9;30.2;26;22.5;80.1;3.8;1.6;64.8;
2012-12-31;5;110.3;154;20.4;239;3.3;8;10.7;1013.2;1007.3;31.7;26.8;22.7;75.3;3.5;1.5;68.1;
2013-01-31;5;102.1;162.8;38.4;218.1;4.9;9;36.2;1013.6;1007.4;32.1;27.3;23.4;77.9;3.3;1.5;65.8;
2013-02-28;14;101.8;147.5;29.2;226.9;3.8;15;28.6;1013.7;1007.9;32.8;27.6;23.5;76.7;4.1;1.6;67.9;
2013-03-31;14;105.9;164.8;38.6;255;2.8;11;38.4;1013.6;1007.6;32.8;27.8;23.8;78.1;3.3;1.4;66.5;
2013-04-30;18;73.9;131.7;131.7;149.8;5.9;17;230.8;1014.4;1008.4;30.3;26.5;23.1;82.6;5.8;1.8;59.2;
2013-05-31;18;48.6;110.6;110.6;166.3;5.3;19;231.1;1015.9;1009.9;27.9;25.1;22;87;4.6;1.3;60.5;
