Nome: TAGUATINGA
Codigo Estacao: 83235
Latitude: -12.40222222
Longitude: -46.43833333
Altitude: 604.88
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;94;109.7;109.7;null;7;23;325.9;1010.2;943.6;30;24.1;20.6;79.1;3;.3;65.4;
2012-02-29;0;119.6;108.6;108.6;null;6;15;190.1;1010;943.7;30.9;24.8;20.7;74.2;4;.5;66.4;
2012-03-31;0;151.7;135.9;135.9;null;4.5;11;171.9;1009.8;943.6;32.5;26.1;21.8;68.1;3;.2;66.6;
2012-04-30;0;195.3;140.2;130.4;null;4.1;7;92.4;1009.7;943.6;34.1;27;22.2;66;3;.4;65.7;
2012-05-31;0;231.7;121.1;66.7;null;3.8;7;29.1;1011.6;945.3;32.1;25.7;21.5;61.6;4;.7;66.5;
2012-06-30;0;280.2;119.9;17.3;null;2.5;0;0;1012.6;946.3;32.9;26;21.4;47.1;4;.8;66.8;
2012-07-31;0;363.2;118.7;5.2;null;1.1;0;0;1013;946.5;32.7;25.6;20.6;40.1;5;.9;66.6;
2012-08-31;0;382.2;114.1;1.6;null;1.1;0;0;1015.1;948.4;32.2;25.1;19.8;null;7;1.8;62.6;
2012-09-30;9;446.6;171.1;2.7;null;2;1;2.1;1011.5;945.8;35.9;28.5;23.1;34.2;5;1.5;63.6;
2012-10-31;0;382.8;178;19.4;null;4.1;5;19.3;1008.6;942.8;35.6;28.9;24;43;5;.8;65.4;
2012-11-30;0;97.1;121.4;121.4;null;7.4;22;389.9;1009.1;942.7;30.5;25.1;21.7;77.7;3;.3;66.1;
2012-12-31;0;180.6;166.7;155.4;null;4.4;12;115.1;1008.2;942.4;33.8;27.2;22.4;66.1;3;.2;65.8;
2013-01-31;0;101.1;115.5;115.5;null;7.1;21;499.1;1010.7;944.2;29.8;24.6;21.4;null;3;.2;64.2;
2013-02-28;0;153.9;132.2;118.7;null;4.6;11;75.2;1008.9;942.9;33.1;26.6;22.3;65.9;4;.3;66.5;
2013-03-31;0;123.4;129.7;129.7;null;5.3;17;195.7;1009.6;943.4;32.4;26.3;22.3;73;4;.2;66.7;
2013-04-30;0;142.3;120.3;120.3;null;5;11;176.7;1010.6;944.4;31.7;25.7;21.8;71.1;4;.3;66.9;
2013-05-31;0;215.1;131.8;95.9;null;2.8;2;33.2;1011.2;945;33;26.3;21.8;56;7;.5;66.7;
2013-06-30;0;255.1;118.5;28.4;null;2.7;1;2.8;1012.3;945.9;32.4;25.9;21.6;51.2;3;.6;66.7;
2013-07-31;0;330.7;123;8.3;null;1.7;0;0;1013.3;946.8;32.8;26;21.2;45.9;7;.9;66.4;
2013-08-31;0;387.9;131.9;2.5;null;1.9;0;0;1012.5;946.2;33.6;26.5;21.5;null;4;1.3;64.7;
2013-09-30;0;365.6;161.7;7.2;null;4;2;6.5;1010.6;944.7;35.1;28.3;23.1;42.1;6;1.1;63.4;
2013-10-31;0;251;157.2;115.7;null;5.2;12;115.6;1009.6;943.7;34.1;27.5;22.9;55.8;4;.5;66.6;
2013-11-30;0;151.8;135.4;135.4;null;5.7;17;232;1008.6;942.6;32.4;26.1;22;67.7;3;.2;66.7;
2013-12-31;0;93.3;120.6;120.6;null;7.5;21;377.2;1009.2;942.8;29.7;24.9;21.7;77.2;4;.5;64.4;
2014-01-31;0;153;132.5;132.5;null;5.5;15;206;1010.8;944.5;31.9;25.6;21.2;null;3;.4;64.7;
2014-02-28;0;140.1;114.4;114.4;null;5.9;13;132.4;1009.6;943.3;31.4;25.4;21.8;72.5;7.9;.5;66.4;
2014-03-31;0;87.3;111.7;111.7;null;6.5;22;267.4;1010.7;944;30.5;24.8;21.5;80.5;3;.3;66.1;
2014-04-30;0;106.5;120.3;120.3;null;4.6;14;185.2;1010.7;944.4;31.5;25.6;21.6;75.4;3;.2;66.4;
2014-05-31;0;210.7;127.1;98.2;null;2.8;4;40;1011.1;944.9;32.3;26.2;21.7;59.8;7.5;.5;66.6;
2014-06-30;0;248.6;110.1;27.9;null;1.8;0;0;1012.9;946.4;31.9;25.3;20.7;51.6;3.1;.7;66.7;
2014-07-31;0;315.5;114.3;9.5;null;1.8;0;0;1015;948.5;32.2;25.4;20.5;44.3;5;1;66.2;
2014-08-31;0;389;143.2;3.4;null;1.2;0;0;1013.4;946.9;33.6;26.5;21.3;null;7;1.3;64.7;
2014-09-30;0;398.7;176.6;6.3;null;2.5;1;5.4;1010.7;944.7;36.1;28.9;23.4;38.8;5;1.1;63.1;
2014-10-31;0;328.4;170.1;140.4;null;4.4;11;140.4;1010.3;944.1;35.3;27.9;22.8;49.9;5;.9;66.6;
2014-11-30;0;140.6;135.4;135.4;null;5.9;16;379.1;1009.2;943;32.8;26.1;22.1;70.9;4;.4;66.6;
2014-12-31;0;130.4;128.4;128.4;null;6.3;20;277.9;1010;943.7;31.2;25.3;21.6;78;3;.3;65;
2015-01-31;0;190.9;158.3;139;null;4.4;11;89;1010.8;944.5;33.4;27.1;22.5;null;4;.5;66.1;
2015-02-28;0;115.2;108.9;108.9;null;6.4;19;173;1010.7;944.2;31.2;25;21.3;75.6;3;.3;67.3;
2015-03-31;0;83.4;113.1;113.1;null;6.7;23;306.5;1010.5;944;30.5;24.7;21.1;81.2;1;.2;65.8;
2015-04-30;0;79.2;117.4;117.4;null;5.7;24;439.5;1010.8;944.3;30.6;25.1;21.7;81.1;3;.1;66.1;
2015-05-31;0;182.2;121.1;78.6;null;3.6;5;12.3;1012.1;945.7;31.7;25.8;21.5;63.3;3;.5;67;
