Nome: BARREIRAS
Codigo Estacao: 83236
Latitude: -12.15583333
Longitude: -45.00833333
Altitude: 447.51
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;23;86.4;122.1;121.5;183.9;5.9;10;110.6;1010.4;961.5;30.6;24.9;20.9;null;2.7;.9;69.5;
2012-02-29;23;99.1;114.7;99.9;227.3;5.4;10;64.9;1010.4;961.4;31.7;25.1;20.8;null;3.8;1.3;70;
2012-03-31;23;136.1;136.2;78.7;265;4.7;9;46.7;1010.1;961.4;33.9;26.2;20.8;null;3;.8;68.1;
2012-04-30;0;148.8;126.4;19.4;270.9;3.8;2;3.8;1010.2;961.4;35.2;26.1;19.8;null;2.8;.6;70;
2012-05-31;23;166.7;120.2;10.2;266.1;4.5;4;5.8;1012.4;963.5;33.7;25.6;19.6;null;3.5;1.3;70;
2012-06-30;0;171.5;101.7;2.4;290.1;2.6;1;1.1;1014;964.8;33.7;24.6;17.5;null;3.5;.8;69.7;
2012-07-31;23;190.9;94.3;.5;315.7;2.5;0;0;1014.6;965.1;33.1;23.6;15.7;null;5.3;1;70;
2012-08-31;14;255.5;106.6;.2;313.2;3.1;0;0;1015.7;966.6;32.5;24.6;17.1;null;6.2;1.9;69.4;
2012-09-30;5;277.1;146.1;.3;266.1;2.6;1;.2;1012.8;964.4;35.7;27.2;18.5;null;5.7;2.1;59.7;
2012-10-31;5;272.4;184.8;15.3;266.1;3.8;2;15.3;1009.2;961.3;36.4;28.8;21.3;null;5;1.9;67.4;
2012-11-30;5;72.6;121.9;121.9;103.3;7.1;25;298.9;1009.8;961.1;30.8;25.2;21.7;null;4.8;1.1;69.2;
2012-12-31;0;132.8;150.1;103.5;284.5;4.1;6;35.2;1008.7;960.2;33.9;26.7;20.8;null;3.8;1;70;
2013-01-31;23;79.1;132.9;132.9;155.6;6;18;341.9;1010.8;961.9;31.3;25.6;21.6;null;13.8;1.2;70;
2013-02-28;23;null;127.7;106.2;246.2;4.3;6;54.7;1009.3;960.8;33;26.3;21.2;null;3.7;.9;70;
2013-03-31;0;89.9;139.5;107.1;224.1;5.1;null;87.8;1010.2;961.5;33.3;26.3;21.7;null;3.8;.6;70;
2013-04-30;23;90.2;120.7;74.6;231.5;4.8;null;68.3;1011.7;962.9;32.1;25.7;21.3;null;3.8;1;69.3;
2013-05-31;23;null;114.6;13.4;264.4;3.3;null;2.7;1012.7;963.7;33.5;25.2;19.3;null;2.7;.9;70;
2013-06-30;23;151.9;101.7;3.3;284.2;3.1;null;.3;1013.4;964.3;33.1;24.6;18.2;null;3.7;.9;70;
2013-07-31;23;182.4;99.2;1.2;300.5;2.7;null;0;1014.6;965.2;33.1;24.2;16.6;null;4.7;1.1;70;
2013-08-31;23;212.3;117.5;.5;305.5;2.8;null;0;1013.4;964.3;34;25.3;17.4;null;4.5;1.4;69.7;
2013-09-30;5;null;157.7;6.2;263.2;4.2;null;6;1011.3;963;35.6;28;21.1;null;7;2.3;70;
2013-10-31;23;241.5;178.8;43.6;251.7;5.2;null;43.6;1009.9;961.9;35.3;28.5;22.9;null;4.5;1.8;69;
2013-11-30;5;137.9;146.9;146.9;224.4;5.9;null;188.7;1008.7;960.3;33.3;26.7;21.9;null;5.7;1.4;67.2;
2013-12-31;5;63.8;125.7;125.7;134.8;6.8;null;255.9;1009.6;960.7;30.2;25;21.5;null;3;1;68.4;
2014-01-31;23;123;142.6;97.1;267.7;5.1;null;29.3;1010.2;961.6;32.7;26.2;20.9;null;3.5;.9;70;
2014-02-28;0;null;114.8;114.8;175.2;6.5;null;115.5;1009.9;961.1;31.8;25.5;21.1;null;4.3;.5;69.4;
2014-03-31;0;81.4;125.5;101.7;214.7;6.3;null;92.4;1010.6;961.8;31.6;25.5;21.5;null;3.5;.6;70;
2014-04-30;0;85.2;115.1;101.8;253.7;5;null;98.1;1011.2;962.2;31.8;25.3;20.8;null;3.3;.7;69.8;
2014-05-31;23;116.8;110.5;14.5;270.9;4.2;null;1.3;1012;963;32.5;24.9;19.5;null;4.3;.8;70.2;
2014-06-30;23;145.5;89.6;4;283;3.4;null;0;1014;964.7;32.3;23.6;17.1;null;5.2;1.1;70;
2014-07-31;23;177.3;99.2;1.7;297.6;3.5;null;0;1016;966.6;32.7;24.2;17.2;null;12.3;1.6;68.6;
2014-08-31;5;215.4;114.7;.7;308.3;2.8;null;0;1014.4;965.1;34;25.1;17.1;null;5.2;1.4;68.9;
2014-09-30;5;248.3;150.9;12.1;279;3.1;null;43.7;1011.5;963.1;36.1;27.6;19.9;null;5.3;2;69.8;
2014-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-11-30;5;161.5;160.7;153.9;236;5.5;null;153.9;1009.4;961;34.5;27.5;22.6;null;7.3;1.8;69.8;
2014-12-31;5;112.6;136.7;136.7;196.5;5.5;null;290.5;1010.5;961.9;31.7;25.8;21.3;null;4.7;1.6;70;
2015-01-31;23;136;151;151;281.9;4.5;8;203.5;1010.8;962.3;34.5;26.6;20.5;null;4;1.1;69.7;
2015-02-28;0;72.4;110.8;110.8;169.2;5.6;null;132.7;1011.2;962.3;31.1;25.1;20.9;null;5.2;.9;69.8;
2015-03-31;0;91.9;131.6;131.6;208.7;5.5;null;128.8;1010.7;961.8;32.5;25.9;21.6;null;3.3;.8;69.9;
2015-04-30;0;80.6;123.6;123.6;214.3;5.3;null;147.7;1011.3;962.5;32;25.8;21.9;null;3.7;.6;69.3;
2015-05-31;23;103.9;106.5;75.2;260.5;4.5;null;15.4;1013.2;964.2;31.8;24.7;19.7;null;3.3;1;69.8;
2015-06-30;23;137.3;89.6;23.8;264.4;3.5;null;0;1015.5;965.9;32.2;23.6;17.3;null;4.8;1.2;70;
2015-07-31;23;194.2;103;10.6;291.3;3.3;0;0;1014.9;965.7;33.1;24.4;17.1;null;6.3;1.3;70;
2015-08-31;14;226.7;110.5;3.9;311.3;2;null;0;1014.2;965.1;33.9;24.8;16.4;null;5;1.5;70;
2015-09-30;5;293.3;152.6;1.5;286.1;1.9;null;9.9;1011;962.6;37.5;27.6;19;null;5;1.6;69.2;
2015-10-31;5;296.8;184.6;13.5;238.5;3.5;null;13.2;1010.2;962.1;37.3;28.8;20.9;null;6.5;2.2;69;
2015-11-30;null;189;177.2;129.1;231.2;5.2;null;129.1;1008.6;960.5;36.4;28.6;22.1;null;null;null;70;
2015-12-31;null;187.5;175.5;30.5;293.8;4.4;null;30.5;1010.1;961.8;36.2;28;21.5;null;5;1.1;70;
2016-01-31;5;null;129.7;129.7;140.6;7.1;null;593.1;1011.1;962.3;30.4;25.3;22;null;3.6;1.3;97.5;
2016-02-29;0;null;141.7;83.1;286.9;3.6;null;9.8;1010.9;962.4;34;26.9;20.9;null;6.2;1.1;98;
2016-03-31;23;null;152.6;94.8;280.9;4.4;null;81.1;1011.5;962.9;34.1;27.1;21.8;null;3.1;.9;98;
2016-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-05-31;23;null;117.3;5.5;289.3;3.8;null;2.8;1013.5;964.5;34.6;25.3;18.6;null;4.6;.8;98;
2016-06-30;23;null;102.9;3.2;291.2;3.4;null;2.4;1015.1;965.9;33.7;24.7;17.8;null;4.6;1.2;98;
2016-07-31;14;null;95.5;.3;319.7;2.4;null;0;1015.2;965.8;33.3;23.8;15.8;null;5.1;1.2;98;
2016-08-31;5;null;124.8;.1;287.2;3;null;0;1013.2;964.4;34.9;25.8;17.6;null;4.6;1.3;98;
2016-09-30;5;null;149.4;15.5;236;4.2;null;15.5;1012;963.5;35.5;27.4;20.2;null;5.7;2.1;98;
2016-10-31;5;null;165.9;95.8;281;3.9;null;95.8;1009.4;961.2;35.3;27.8;21.7;null;5.1;1.9;98;
2016-11-30;23;null;147;120.1;215.3;5;null;120.1;1009.2;960.8;33.4;26.8;21.6;null;4.6;1.4;98;
2016-12-31;5;122.3;145;106.3;243.6;5.4;null;106.3;1009.5;961.1;32.8;26.3;21.6;null;3.3;.9;70;
2017-01-31;null;148.1;159.8;26.5;246;5.3;null;19.5;1009.4;961;34.4;27.2;21.8;null;6.3;null;70;
2017-02-28;23;75.7;116.2;116.2;143;6.8;null;236.9;1010.4;961.6;31;25.4;21.7;null;4.7;1.1;69.3;
2017-03-31;23;85.9;130.1;130.1;215.3;5.6;null;138.1;1010;961.3;32;25.8;21.4;null;4;.9;68.7;
