Nome: LENCOIS
Codigo Estacao: 83242
Latitude: -12.55777777
Longitude: -41.38888888
Altitude: 438.09
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;18;186.7;146.5;26.1;208.8;8.4;8;15.3;1012.5;963.6;32.3;26.4;22.7;75.5;3.3;1.5;44.4;
2012-02-29;18;146.9;131.4;131.4;200.9;8.4;12;139;1013;964;32.2;26.1;22.6;66.5;3.3;1.4;44.9;
2012-03-31;18;206;147.1;13.5;248.1;6.9;5;4.7;1012.4;963.7;33.5;26.9;23.3;59.2;3.3;1.5;45.3;
2012-04-30;18;188.3;128.3;8.6;225.3;7.4;7;6.6;1012.3;963.5;32.9;26.2;21.9;59.4;6.8;1.5;45.8;
2012-05-31;18;129.8;101.5;62.6;173.4;8;14;62.3;1014.8;965.5;29.4;23.9;20;69.6;5;1.4;45;
2012-06-30;18;114.7;87.2;58.8;179;7.4;11;58.7;1016.6;967;28.3;23;20;73.2;3.3;1.4;44.8;
2012-07-31;18;113.1;78.2;30.9;194.3;7.3;10;30.7;1017.7;967.8;27.5;21.8;18.3;72.2;3.8;1.3;44.4;
2012-08-31;18;151.6;83.1;32.4;208.9;8.2;14;32.8;1019.4;969.5;27.9;22.2;18.6;66.7;3.3;1.8;44.2;
2012-09-30;18;200.7;111.2;.4;233.9;6.9;1;.3;1016.8;967.5;31.3;24.7;20.9;58;3.7;1.8;45.9;
2012-10-31;18;215.4;134.8;62.3;234.4;7.6;9;62.3;1014.3;965.1;32.1;25.6;21.9;60.8;3.3;1.6;44.1;
2012-11-30;18;95.6;121.3;114.3;83.4;9.4;16;121.5;1011.9;962.9;29.5;24.9;22.4;78.7;3;1.2;43.1;
2012-12-31;18;211.4;159.9;4.6;256.8;6.8;3;4.6;1010.9;962.3;34;27.2;22.8;59.2;3.5;1.5;45.1;
2013-01-31;18;172.8;152.7;152.7;190.6;8.3;14;255.6;1011.9;963.2;32.5;26.8;23.3;66.2;8.3;1.6;44.2;
2013-02-28;18;166.8;132.3;79.6;219.8;6.9;7;8.6;1012.4;963.4;32.2;26.7;23.2;63.1;3.3;1.3;45.6;
2013-03-31;18;168.8;153.3;90.1;238.4;7;7;74.2;1011.8;963.3;33.8;27.3;23;61.4;3.3;1.3;44.8;
2013-04-30;18;134.7;123.1;60;203.5;8.1;12;53.4;1013.4;964.5;30.7;25.8;22.7;66.9;3.7;1.5;45.8;
2013-05-31;18;127.9;111.2;50.3;187.9;8.2;10;47.2;1014.9;965.7;30.1;24.9;21.8;68.3;3.7;1.4;46.3;
