Nome: ITABERABA
Codigo Estacao: 83244
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-02-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;144.5;5.9;230.4;5.5;5;5.9;983.4;33.4;26.3;20.3;66.9;null;null;51.2;null;
2012-02-29;null;null;133.9;19.8;228.7;6.4;7;19.8;984.2;33.3;26.3;20.5;66.4;null;null;49.9;null;
2012-03-31;null;null;145.9;4.7;257.1;5.1;6;4.7;983.7;34.5;26.8;20.5;63.6;null;null;50;null;
2012-04-30;null;null;127.8;7.2;220.8;5.1;4;7.2;984.2;33;26.2;19.8;65.5;null;null;50;null;
2012-05-31;null;null;107.6;20.3;170.2;6;7;20.3;986.1;30.8;24.8;19;71;null;null;49.9;null;
2012-06-30;null;null;91.8;26.7;177.9;5.7;10;26.7;987.7;29.8;23.8;17.8;74.1;null;null;49.9;null;
2012-07-31;null;null;82.6;24;171.4;5.5;7;24;988.3;29;22.7;16.1;72.7;null;null;50.5;null;
2012-08-31;null;null;78.9;27.9;208.4;5.3;11;27.9;990.1;28.5;22.2;15.7;71.3;null;null;49.5;null;
2012-09-30;null;null;102.3;1.3;227.6;5.5;1;1.3;988.4;31.2;24.2;17.4;65.6;null;null;48.8;null;
2012-10-31;null;null;118.7;4.8;238.3;5.1;7;4.8;985.6;32.3;25;18.6;73.7;null;null;50;null;
2012-11-30;null;null;132.7;36.9;124.6;7.5;6;36.9;982.5;31.9;25.9;20.2;72.7;null;null;51.9;null;
2012-12-31;null;null;160.9;1;258.9;4.2;2;1;982.3;34.7;27.2;20;64;null;null;49.9;null;
2013-01-31;null;null;156.5;156.5;200.1;6.3;12;206.9;983.3;33.6;26.9;20.3;69.7;null;null;50.5;null;
2013-02-28;null;null;136.9;46.1;228.5;6.2;3;9.8;983.9;33.8;26.9;20.3;71.2;null;null;50.6;null;
2013-03-31;null;null;158;16.7;240.6;5.4;5;5.6;983.2;34.8;27.5;20.7;67.6;null;null;51.4;null;
2013-04-30;null;null;131;10.1;160.6;6.5;6;7.9;984.2;32.8;26.5;20.1;71.9;null;null;50;null;
2013-05-31;null;null;115.9;16.3;186.8;7;7;15.7;985.3;31.7;25.3;18.9;73.8;null;null;50;null;
2013-06-30;null;null;94.2;21.3;148.9;7.6;15;21.1;986.8;29.9;24;17.8;79.6;null;null;50.7;null;
2013-07-31;null;null;85.9;29.1;148.5;7.2;12;29.3;988.3;28.8;23;16.3;81.9;null;null;50.5;null;
2013-08-31;null;null;86.7;27.6;168.6;6.4;19;27.6;987.9;29;22.9;16;79.5;null;null;49.7;null;
2013-09-30;null;null;95.9;42;188.8;6;12;42;987.1;30.6;23.7;16.9;77.5;null;null;50.6;null;
2013-10-31;null;null;123;5.4;198.6;5.9;7;5.4;985.5;32.5;25.2;18.2;71;null;null;51;null;
2013-11-30;null;null;128;49.1;198.6;6.3;11;49.1;983.1;32.5;25.6;18.7;70;null;null;50.4;null;
2013-12-31;null;null;141.9;141.9;160.3;7.1;10;154.8;982.4;31.8;26;19.4;69.9;null;null;49.7;null;
2014-01-31;null;null;139.5;16.6;245.5;5.4;null;7.1;984.2;33.1;26;18.8;69.3;null;null;49.9;null;
2014-02-28;null;null;115;56.8;176.5;7;null;55.3;984;32;25.4;18.5;72.6;null;null;50;null;
2014-03-31;null;null;130.1;128.9;205.3;6.7;null;128.9;983.8;32.8;25.9;19.1;69.9;null;null;51.2;null;
2014-04-30;null;null;128;30.6;205.3;5.9;null;29.4;983.9;32.9;26.2;19;68.1;null;null;50.7;null;
2014-05-31;null;null;106.4;23.9;166.5;5.9;null;23.5;985.3;31;24.6;17.6;72.8;null;null;50.7;null;
2014-06-30;null;null;83.8;24.5;159.2;6.5;10;24.4;987.4;29.9;23.1;14.7;72.8;null;null;49.4;null;
2014-07-31;null;null;81.5;40.1;152.8;7;null;40;989.8;28.9;22.6;15;74;null;null;50.5;null;
2014-08-31;null;null;82.1;5.6;199.6;5.9;null;5.5;989;29.5;22.5;14.4;72;null;null;50.9;null;
2014-09-30;null;null;95.9;18;185.6;6.1;null;18;987.3;30.8;23.7;15.9;69.3;null;null;49.9;null;
2014-10-31;null;null;114.3;5.2;202.2;6.7;null;5.2;986.3;32.4;24.7;16.9;64.2;null;null;49.9;null;
2014-11-30;null;null;122;87.5;153.7;7;null;87.5;983.7;32;25.2;17.7;67.4;null;null;50.2;null;
2014-12-31;null;null;124.5;124.5;145.7;7.6;null;225.7;984.3;31.5;24.9;17.8;71.6;null;null;48.1;null;
2015-01-31;null;null;138.5;79.1;247.5;5.4;null;5.6;984.8;33.4;25.9;18.1;63.5;null;null;50.5;null;
2015-02-28;null;null;120.6;120.6;195.1;7;null;151.4;984.5;null;null;18;64.4;null;null;50;null;
2015-03-31;null;null;130.1;45.6;245.2;5.8;null;4.7;983.3;null;null;18.6;61.7;null;null;50;null;
2015-04-30;null;null;122.1;70.9;197.6;5.5;null;64;983.7;null;null;18.3;66.6;null;null;50.2;null;
2015-05-31;null;null;123;42.4;160.1;6.7;13;38;986.1;null;null;16.4;73.8;null;null;50;null;
2015-06-30;null;null;117.4;40;123.6;7.1;null;37.9;988.4;null;null;14.7;77.7;null;null;49.2;null;
2015-07-31;null;null;121.9;53.6;143.1;7.4;null;52.7;988.8;null;null;14;75;null;null;49.1;null;
2015-08-31;null;null;124.6;18;187.3;6.2;null;17.4;988.5;null;null;13.2;70.1;null;null;48.3;null;
2015-09-30;null;null;124.2;1.6;252.4;3.5;null;1.5;986.4;null;null;15.1;62.1;null;null;50.9;null;
2015-10-31;null;null;132.1;14.3;224.4;4.8;null;14.2;985.8;null;null;16.3;61.1;null;null;50;null;
2015-11-30;null;null;131.1;41.2;236.9;4.2;null;41.2;982.6;null;null;17.6;57.2;null;null;49.8;null;
2015-12-31;null;null;137;3.3;252;3.5;2;3.3;984.4;null;null;17.8;56.5;null;null;50;null;
2016-01-31;null;null;136.3;136.3;136.6;7.6;null;578.5;983.1;null;null;17.8;75.9;null;null;47;null;
2016-02-29;null;null;124.9;72.4;244.8;5.3;null;1.5;984.4;null;null;17.4;61.2;null;null;49.9;null;
2016-03-31;null;null;130;34.2;229.1;4.8;null;14.2;984.6;null;null;17.9;64.9;null;null;49.2;null;
2016-04-30;null;null;122;32;205.6;5.1;null;26.4;984.5;null;null;16.4;68.7;null;null;49.3;null;
2016-05-31;null;null;122.9;19.1;176.7;5.7;null;16.8;986.8;null;null;15.2;71;null;null;48.7;null;
2016-06-30;null;null;117.3;14.2;178.2;5.2;8;13.4;988.1;null;null;14.6;70.9;null;null;48.9;null;
2016-07-31;null;null;121.9;27;188.5;6.1;11;26.7;988.8;null;null;12.4;78.1;null;null;49.2;null;
2016-08-31;null;null;124.7;30;167.8;5.6;9;28.9;988.1;null;null;13.2;74.2;null;null;50.8;null;
2016-09-30;null;null;124.3;26.9;185.2;5.7;null;26.9;987.4;null;null;14;72.6;null;null;49.1;null;
2016-10-31;null;null;132.3;37;199.8;5.9;null;37;984.5;null;null;15.4;72.8;null;null;48.7;null;
2016-11-30;null;null;131.1;49.4;173.7;5.8;null;49.4;983.7;null;null;15.7;68.8;null;null;49.7;null;
2016-12-31;null;null;137;34.5;205.8;5.6;null;34.3;983.3;null;null;16.5;64.6;null;null;50.6;null;
2017-01-31;null;null;136.3;14;248.6;4.5;null;14;983.1;null;null;16.6;61.1;null;null;49.5;null;
2017-02-28;null;null;120.6;11.9;151.9;5.5;null;11.9;983.7;null;null;16.4;59.7;null;null;50;null;
2017-03-31;null;null;130.1;21.6;214.2;5.5;null;21.6;983.2;null;null;16.7;59.2;null;null;50;null;
2017-04-30;null;null;122.1;85.2;205.9;5.4;5;85.2;984.1;null;null;15.9;67.2;null;null;50;null;
2017-05-31;null;null;123;32.2;162.6;5.8;null;32.7;985.7;null;null;null;73.8;null;null;49.6;null;
2017-06-30;null;null;117.4;23.9;138.6;5.7;null;23.9;987.6;null;null;null;73.6;null;null;49.8;null;
2017-07-31;null;null;121.9;31.1;142.6;6.7;null;31.1;991.2;null;null;null;72.9;null;null;49;null;
2017-08-31;null;null;124.6;8.2;199.1;5.3;null;8.2;990.1;null;null;null;70;null;null;50.4;null;
2017-09-30;null;null;124.2;23.9;158.5;7.1;null;23.9;991.1;null;null;null;71.5;null;null;49;null;
2017-10-31;null;null;132.1;7;247.9;4.8;null;7;986.3;null;null;null;null;null;null;51.4;null;
2017-11-30;null;null;131.1;53.6;152.1;6.3;null;53.6;983.3;null;null;null;null;null;null;49.4;null;
2017-12-31;null;null;137;96.6;138.6;6.3;6;96.6;982.6;null;null;null;null;null;null;51.3;null;
2018-01-31;null;null;136.3;110.7;235.5;5;7;110.5;983.4;null;null;null;null;null;null;51.3;null;
2018-02-28;null;null;120.6;46.7;170.3;5.7;null;46.7;982.6;null;null;null;null;null;null;50;null;
2018-03-31;null;null;130.1;48.3;196.9;5.9;null;48.3;982.6;null;null;null;null;null;null;51.8;null;
2018-04-30;null;null;122.1;24.7;153.1;6.4;null;26.6;984.9;null;null;null;null;null;null;49.8;null;
2018-05-31;null;null;123;28.1;149.6;6.1;null;28.1;986.3;null;null;null;null;null;null;49.8;null;
2018-06-30;null;null;117.4;29.9;148.1;6.6;null;29.9;988.7;null;null;null;null;null;null;49.3;null;
2018-07-31;null;null;121.9;12.3;190.5;6.1;12;15.5;989.3;null;null;null;null;null;null;49.6;null;
2018-08-31;null;null;124.6;23;177.2;6.1;null;23;989.4;null;null;null;null;null;null;49.7;null;
2018-09-30;null;null;124.2;5.5;197.9;5;null;5.5;986.7;null;null;null;null;null;null;49.7;null;
2018-10-31;null;null;0;0;194.6;5.5;null;2.8;984.6;null;null;null;null;null;null;50.7;null;
2018-11-30;null;null;131.1;33.6;167.6;6.4;null;31.8;984.1;null;null;null;null;null;null;50;null;
2018-12-31;null;null;137;108.1;195.1;6.1;null;107.8;984.5;null;null;null;null;null;null;50.4;null;
2019-01-31;null;null;136.3;29;248.9;5.3;null;28.5;985.3;null;null;null;null;null;null;50;null;
2019-02-28;null;null;120.6;67.1;238;5.2;6;67;983.2;null;null;null;null;null;null;50;null;

