Nome: ALAGOINHAS
Codigo Estacao: 83249
Latitude: -12.1486111
Longitude: -38.42527777
Altitude: 129.78
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2022-01-14
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;167.6;139.5;47.3;null;4.6;12;10;998.3;32.1;26;21;70.8;5.5;2.4;46.3;null;
2012-02-29;9;158.5;126.5;58.1;null;5;11;50.6;998.1;32.1;25.9;21.1;73.6;5.3;2.1;46.3;null;
2012-03-31;9;185.4;134.8;17.3;null;4.6;4;12.6;998.4;33.2;26.1;20.9;70.5;5.3;2.1;46.4;null;
2012-04-30;0;147.5;118.1;22.2;null;4.8;10;24.1;998.6;32.1;25.5;20.5;74.2;4.7;1.6;46.6;null;
2012-05-31;0;111.5;104.3;104.3;null;6.1;18;124;1000.4;29.8;24.4;20.4;79.9;4.7;1.7;45.8;null;
2012-06-30;0;77.2;85.7;74.7;null;5.7;19;72.1;1002;28.3;23.2;19.3;84.1;4.2;1.3;45.1;null;
2012-07-31;0;90.2;79.1;74.5;null;5.6;17;73.6;1002.7;27.6;22.3;18.6;82.3;6;1.5;46.1;null;
2012-08-31;14;82.8;76.6;76.6;null;5.9;23;95.9;1004.4;27.1;21.9;17.6;82;5;2;46.1;null;
2012-09-30;9;124.3;88.3;58.1;null;5.9;12;45.3;1003.1;29;23.1;18.5;76.6;4.7;2.2;46.3;null;
2012-10-31;9;131.8;106.7;44.3;null;4.8;10;31.9;1000.4;29.9;24;19.4;75.2;4.5;2.1;46.3;null;
2012-11-30;9;154.2;129.7;127.7;null;5.8;8;127.4;997.3;31.9;25.7;21.4;73.5;5;2.4;46.1;null;
2012-12-31;9;209;145.1;8.7;null;4.7;1;.3;997.5;33.5;26.3;21;68.2;4.8;2.3;46.9;null;
2013-01-31;9;188.9;154.4;36.9;0;5.8;12;35.1;998;33.9;26.9;22;70.7;6.8;2.4;45.9;null;
2013-02-28;9;159.6;135.2;32.5;null;4.9;10;31.9;998;33.7;26.8;21.4;69.8;5;2.4;47.1;null;
2013-03-31;9;182;152.6;15.5;null;4.4;null;15.3;998;34.5;27.2;21.4;71.8;8.2;2.5;46.7;null;
2013-04-30;9;120;123.8;123.8;null;6.4;null;190;998.7;31.3;25.9;21.5;79.8;4.7;2;44.9;null;
2013-05-31;0;39.9;104.4;104.4;null;6.5;null;174.7;1000.1;28.9;24.4;21;86.7;4.2;1.3;45.5;null;
2013-06-30;0;54.1;91.4;91.4;null;6.2;null;117.7;1001.2;28.2;23.8;20.8;87.8;3.8;1.3;45.3;null;
2013-07-31;0;66.2;84.5;84.5;null;5.4;null;190.1;1002.7;27.4;22.8;19.7;85.1;4.5;1.5;43.8;null;
2013-08-31;0;74.6;84.1;84.1;null;6.1;null;103.4;1002.6;27.3;22.5;19;84;4.7;1.8;45.3;null;
2013-09-30;9;71.7;95.3;90.6;null;5.6;null;62.9;1001.8;29;23.5;19.4;79.7;4.1;1.9;46.9;null;
2013-10-31;9;125.8;109.2;101.8;null;5.5;null;87.8;1000.5;29.7;24.3;19.9;78.2;5.1;2.2;79.7;null;
2013-11-30;9;141;117.9;69.8;null;5.8;null;37.6;998.2;30.7;25;20.3;75.4;5;2.5;47.2;null;
2013-12-31;9;157.3;146.8;83;null;5.8;null;69.3;997.2;32.4;26.5;22.5;73.7;5;2.4;46.6;null;
2014-01-31;9;178.1;141.1;29.4;null;4.6;null;21;999;32.6;26.1;20.8;71.5;5.8;2.6;46.5;null;
2014-02-28;0;101.5;119.3;100.3;null;6.1;null;99.7;998.2;31.2;25.7;21.7;78.4;5.3;1.7;45.8;null;
2014-03-31;9;130.7;133.4;38.2;null;5.3;null;36.4;998.5;31.8;26.1;21.6;76.4;4.2;1.9;46.3;null;
2014-04-30;0;122.6;129.6;74.9;null;5.2;null;74.4;998.6;32.3;26.3;22;77.4;4;1.7;47;null;
2014-05-31;0;81.5;105.7;105.7;null;6.1;null;129.9;1000;29.1;24.5;21.1;83.8;3.7;1.5;45.8;null;
2014-06-30;0;73.4;85.7;85.7;null;6;null;133.7;1002.1;27.9;23.1;19.4;84.7;3.7;1.4;46.7;null;
2014-07-31;0;65.7;81.2;81.2;null;6.4;null;160.5;1004.3;27.1;22.5;19;86.5;3.7;1.5;46.9;null;
2014-08-31;0;80.5;78.6;78.6;null;6.1;null;119.4;1003.9;27.3;22.1;17.7;82.2;4.7;1.6;46.7;null;
2014-09-30;9;101.9;92.9;90.7;null;5.9;null;71.3;1002.5;28.7;23.2;18.9;79.5;4.2;2;45.7;null;
2014-10-31;9;129.5;103.9;94.1;null;5.1;null;72.3;1001.7;29.4;23.9;19.3;76.9;5.3;2.3;46.5;null;
