Nome: GLEBA CELESTE
Codigo Estacao: 83264
Latitude: -12.2886111
Longitude: -55.29416666
Altitude: 384
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2014-05-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;48.2;119.8;119.8;87.1;7.8;28;426.1;1014;967.5;31.1;24.7;21.5;86.5;4;1.1;37.4;
2012-02-29;5;null;120.8;120.8;139.3;6.5;19;262.8;1013.9;967.6;33.3;25.6;20.9;80.2;4;1.1;40.2;
2012-03-31;23;77.2;131.7;131.7;150.5;6;17;134.9;1014.5;968.2;33.7;25.9;21.2;79.9;4;1;41;
2012-04-30;23;65.9;132.5;132.5;192.9;5;12;167.5;1014.2;967.9;34.1;26.5;21.8;79.2;3;.9;40.1;
2012-05-31;14;85.8;119;83.7;222.2;3.9;5;21.3;1016;969.5;33.8;25.5;19.7;75.2;5;1.3;42.2;
2012-06-30;5;102.4;108.5;45.5;222.3;3;6;24.1;1017.1;970.7;34.5;25;18.6;71.3;4;1.4;43.9;
2012-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-08-31;5;null;125;7.1;276.1;1.5;0;0;1017;971.1;36.6;25.8;17.4;48.2;5;2.1;48.2;
2012-09-30;5;167.1;150.7;83.5;204.5;4;4;82.1;1015.2;969.1;38.5;27.5;20.1;57.7;10.3;1.7;37.1;
2012-10-31;5;131.3;158.5;132.2;215;5.4;10;131.9;1012.8;967;36.4;27.8;22;69.6;8;1.3;41.6;
2012-11-30;23;66.8;135.9;135.9;113.4;7.7;22;201.7;1012.7;966.5;33.3;26.1;22.3;83.3;4;1.1;41.1;
2012-12-31;5;null;145.2;145.2;181.7;6.2;18;157.2;1012.8;966.7;34.1;26.4;21.7;79.6;7.2;1.1;94.6;
2013-01-31;32;56.9;134.9;134.9;103.3;7.4;24;334;1013.8;967.6;31.8;25.7;22.2;86.6;3;1.1;39.5;
2013-02-28;5;64.8;122.2;122.2;121.2;7.4;21;420.8;1013.7;967.3;33.3;25.8;21.6;82.6;2;.9;38.8;
2013-03-31;23;73.7;139.6;139.6;147;6.8;21;284.7;1014;967.8;33.8;26.4;22.3;81.9;4;1;40.7;
2013-04-30;14;83.9;119.6;119.6;141.7;6.7;16;213.8;1015.2;968.8;32.7;25.6;21.4;82.8;4;1;40.6;
2013-05-31;5;97.6;129.1;109.2;246.3;3.8;1;58.6;1015.5;969.3;34.8;26.1;20.4;74.4;3;1.1;41.7;
2013-06-30;5;101.6;119.1;35.7;256.8;3.1;null;1.5;1016.3;969.9;35.1;25.8;19.4;70.2;4;1.3;41.7;
2013-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-08-31;14;208.3;120.6;3.5;273;2.8;null;0;1016;969.5;36.7;25.5;17.2;52;40;2.7;43.1;
2013-09-30;5;160;148.9;22.3;196.1;5.2;null;21.2;1014.6;968.2;36.8;27.4;20.6;62.7;5;1.6;41.4;
2013-10-31;5;111.6;151.6;117.7;164.9;6.5;15;117.6;1014;967.8;35.6;27;22;73.7;5;1.4;41.5;
2013-11-30;5;65.4;131.2;131.2;131.2;7.3;null;317.8;1012.9;966.3;32.7;25.8;21.7;82.9;8;1.2;40;
2013-12-31;32;67.1;132.4;132.4;120;7.7;null;403.9;1013.2;966.9;32.2;25.5;21.9;84.2;3;1.3;39.9;
2014-01-31;5;null;130.2;130.2;143.1;6.9;null;212.6;1015;968.5;33;25.4;21.2;83.1;7.2;1.1;87.5;
2014-02-28;5;null;115.3;115.3;99.7;8;null;322.7;1013.8;967.4;32.4;25.3;21.6;83;4.1;1.3;95.5;
2014-03-31;5;null;134.9;134.9;152.1;6.7;null;243.6;1014.1;967.8;33.7;26;21.8;81.4;3.1;1.1;95.6;
2014-04-30;5;null;null;null;185.7;5;null;119.3;1015;968.8;33.6;26.1;21.5;81.3;4.1;1;95.6;
2014-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

