Nome: SAO JOSE DO RIO CLARO
Codigo Estacao: 83267
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;17;143.1;143.1;127.6;8.8;22;220;972;30.6;24.4;19.7;92.6;3.6;1;37.5;null;
2012-02-29;5;43.2;132.3;132.3;166.9;8.6;21;285.6;972;31.8;24.6;20;90.8;3;1;37.8;null;
2012-03-31;5;72.3;138.8;138.8;206.8;7.1;18;216.2;973.2;32.7;25;20.3;88.8;3;1;36.6;null;
2012-04-30;0;null;130.2;130.2;201.7;6.9;21;158.6;972.9;32.8;25;20.4;91.7;3;.8;37.4;null;
2012-05-31;0;59.5;127;118.2;243.7;5.4;7;81.8;974.8;32.1;23.6;19.1;88.2;3;.8;33.7;null;
2012-06-30;0;53.2;119.9;56.5;251.5;3.7;2;15.2;975.6;32.4;22.9;17.9;84.9;3.2;1;31.7;null;
2012-07-31;0;90;121.9;15.7;286.7;2.3;0;0;975.8;33.5;21.9;15.4;75;3;1;28.8;null;
2012-08-31;0;137.4;137.4;4.9;306.5;2;0;0;975.5;35.8;23.3;16.3;65.1;3;1;22.5;null;
2012-09-30;0;107.2;135.1;76.8;234.4;3.9;5;76.1;973.9;36.7;25.9;19.9;68.9;3;.9;24.6;null;
2012-10-31;0;106.8;149.9;104.3;218.7;6.3;10;104;971.7;null;null;null;80;4;.8;35.9;null;
2012-11-30;null;null;null;null;null;null;6;null;null;null;null;null;null;null;null;null;null;
2012-12-31;5;null;144.2;135.6;163.7;8.1;18;135.6;971.5;null;null;23.6;86.7;4.6;.8;95.6;null;
2013-01-31;5;52.3;147.5;147.5;127.8;8.8;26;337.8;972.2;null;null;23.6;91.7;3;.9;33.5;null;
2013-02-28;0;66.6;129.9;129.9;135.6;8.5;25;321.7;972.3;31.3;25.2;22.5;91.6;3;.8;33.8;null;
2013-03-31;5;59;141.6;141.6;143.6;7.9;19;269.9;972.6;31.9;25.6;22;90.4;2;.8;37;null;
2013-04-30;0;34;128.2;128.2;170;7.6;16;196.1;973.8;31.5;24.6;20.5;90.9;2;.9;36;null;
2013-05-31;0;77.1;127;72.1;237.6;5.2;1;.8;974.6;32.4;23.9;19;87.6;2;.9;34.1;null;
2013-06-30;0;44.2;123.9;25.5;241.8;4.4;null;6;975.1;33.4;24;18.2;82.6;2;.7;34.5;null;
2013-07-31;0;111.2;123.7;6.1;233;2.7;null;.2;976.3;33.6;22.3;15.4;72.2;3;1.1;30.1;null;
2013-08-31;0;196.8;126.4;1.8;275.2;3.1;null;.4;974.9;34.9;22.7;14.5;62.4;3;1.1;23;null;
2013-09-30;0;98;135.3;42.7;210.4;6.1;4;39;973.6;35.4;25.8;19.2;72.7;3;.9;28.6;null;
2013-10-31;5;98.7;145.1;145.1;199.2;8;17;223.4;972.7;34;25.9;21.2;84.9;2;.9;37.3;null;
2013-11-30;null;null;139.4;135.6;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-12-31;5;31.9;146.2;146.2;133.6;9;24;436.4;971.4;30.8;24.8;21.5;93.2;3;.8;37.5;null;
2014-01-31;0;40.3;144.3;144.3;172.7;8.7;23;263.9;973.2;31.5;24.5;20.7;89.5;3;.8;42.2;null;
2014-02-28;5;25.2;128.1;128.1;108.7;9.1;24;557.5;972.1;30.8;24.7;21.5;91.4;3;.9;37.5;null;
2014-03-31;5;40.2;140.1;140.1;142.1;9;27;288.8;972.5;31.6;25.3;21.9;90.5;2;.8;41.7;null;
2014-04-30;0;51.4;131.4;102.3;219.7;7.3;14;44.2;973;32.2;25.4;21.4;87.4;3;.9;41.6;null;
2014-05-31;0;72.2;131.3;59.5;219.5;5.8;null;33.4;973.7;32.9;24.8;19.1;84.3;3;.8;38.4;null;
2014-06-30;0;48.1;113.8;12.4;247.5;4.6;null;1.8;974.5;null;null;17.8;77.7;3;1.1;36.9;null;
2014-07-31;0;105.4;114.8;7.1;256.7;4.1;null;3.7;975.8;null;null;16.3;74;3;1;31.5;null;
2014-08-31;0;153.5;133.7;1.2;276.2;4.3;0;0;974.1;null;null;17;61.9;3;.8;22.5;null;
2014-09-30;0;84.5;139.6;56.7;225.7;6.3;null;56.5;972.2;36.3;27;20.5;75.9;2;.7;27.8;null;
2014-10-31;0;95.8;148.1;83.2;177.8;7.4;14;83.1;971.5;35.8;26.8;21.4;81.9;3;.8;25.5;null;
2014-11-30;null;null;142.1;123.3;null;null;5;null;null;null;null;null;null;null;null;null;null;
2014-12-31;0;57.3;146.7;146.7;131.6;8.9;22;349.4;971.4;31.3;24.9;21.7;91.8;3;.7;37.8;null;
2015-01-31;0;null;147.1;147.1;212.7;8;null;200.1;972.5;32.9;25.2;20.9;88;3.1;.7;95;null;
