Nome: CANARANA
Codigo Estacao: 83270
Latitude: -13.47083332
Longitude: -52.2711111
Altitude: 430
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;56.3;139.4;139.4;127.3;9.1;19;347.8;964.8;null;null;20.6;88.5;3;.1;47.4;null;
2012-02-29;0;null;131;131;175.8;7.1;18;286.5;965;31;24.2;20.2;85.3;3;.2;48.1;null;
2012-03-31;0;82.3;138.6;138.6;205.6;6.5;20;253.6;965.1;32.3;25;20.7;87;2;.1;46.8;null;
2012-04-30;0;69.3;133.5;109.6;243.9;5.4;5;55.4;965.1;33.3;26;21.1;81.8;4;.1;52.3;null;
2012-05-31;0;127.3;128.7;104.5;227.8;4.6;6;89.7;966.8;32.1;24.3;19.1;76.8;2.6;.4;54.5;null;
2012-06-30;0;null;124.4;29;287.7;3.1;2;7.6;967.6;32.9;24.6;18.8;71.3;3;.5;56.4;null;
2012-07-31;0;null;126.6;6.9;300.2;1.5;0;0;967.8;33.4;23.9;16.4;51.5;3;.5;53.5;null;
2012-08-31;0;397.1;133.6;2;null;1.8;0;0;968.3;34.4;25.4;17.9;41.1;3.5;1;53.1;null;
2012-09-30;0;285.6;140.8;14.3;200.4;2.4;2;13.8;966.5;36.4;27.6;20.9;49.2;3;.4;29.2;null;
2012-10-31;0;159.8;149.7;149.7;216.5;6;10;140.7;964;35.6;27.4;21.7;66.9;3.1;.3;45.1;null;
2012-11-30;0;63.3;141;141;119.2;8.5;14;181.7;963.7;31.4;25.2;21.7;86.7;3;.1;47.5;null;
2012-12-31;0;null;149.1;149.1;216.2;7.4;11;258.5;964.1;32.2;25.5;21.4;82.9;3.1;.1;95.9;null;
2013-01-31;0;null;145.1;145.1;139.3;8;25;490.7;964.8;30;24.7;21.5;89.6;3;.3;44.4;null;
