Nome: ITIRUCU (JAGUAQUARA)
Codigo Estacao: 83295
Latitude: -13.52777777
Longitude: -40.11972221
Altitude: 757.53
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;109.6;99.4;7.3;195.8;5.9;7;7.3;930.2;28.8;22.1;17.9;null;4.6;2.3;49.4;null;
2012-02-29;9;90.5;88.2;45.2;173.9;5.8;11;45.2;930.2;28.3;21.8;17.8;null;4.6;2.1;45.9;null;
2012-03-31;9;120.4;98.3;13.3;218.4;5.4;4;13.5;930.7;29.8;22.6;18;null;4.5;2.2;50.6;null;
2012-04-30;9;116.7;85.8;23;216.4;4.8;9;23;930.6;28.7;21.9;17.5;null;3.8;1.9;47.8;null;
2012-05-31;9;91.3;72.8;62.7;148.1;6.2;13;62.7;932.5;25.7;20.3;16.9;null;4.3;1.8;41;null;
2012-06-30;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;
2012-07-31;9;95.7;60;36;195.7;5.5;13;35.4;934.2;24.2;18.7;14.9;null;5;1.8;44.2;null;
2012-08-31;9;105.5;57.2;57.2;182.6;5.7;19;66.5;935.8;23.4;18;14.3;null;5.8;2.4;45.1;null;
2012-09-30;9;147.9;74.7;16.3;207.5;5.1;8;11.1;934.5;26.2;19.7;15.4;null;5;2.5;48.8;null;
2012-10-31;9;154.4;81.4;29.3;205.2;5.8;12;27;932;27.4;20.7;16.6;null;4.8;2.5;46.4;null;
2012-11-30;5;124.3;94.7;54.8;101.3;8;10;59.9;929.2;27.4;22.1;18.7;null;4.1;2.3;47.9;null;
2012-12-31;9;210.6;110.4;2.2;256.2;4.1;2;.8;929.3;30.6;23.1;18.2;null;4.5;2.6;49;null;
