Nome: DIAMANTINO
Codigo Estacao: 83309
Latitude: -14.40611111
Longitude: -56.44694444
Altitude: 274.02
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;79.4;131.4;131.4;null;6.8;21;308.7;null;978.7;31.3;25.5;21.6;87.4;0;0;14.2;
2012-02-29;0;65.1;120;120;null;5.9;20;359.8;null;979.4;32.5;25.5;20.9;86.4;0;0;13.8;
2012-03-31;0;null;135.8;135.8;null;5.8;14;165.8;null;980.4;32.8;25.4;20.6;86;0;0;14.9;
2012-04-30;0;null;120.7;118.7;null;5.1;11;100;null;980.1;33.3;25.8;21;85.1;0;0;14.6;
2012-05-31;0;88.8;101.1;101.1;null;3.5;6;172.5;null;981.5;32;24;18.8;84.3;0;0;14.5;
2012-06-30;0;102.2;77.5;62.6;null;3.3;5;23.4;null;982.4;31.6;23.3;17.3;82;0;0;14;
2012-07-31;0;null;75;30.1;null;3;0;0;null;982.2;32.5;22;15.2;77.4;0;0;13.6;
2012-08-31;0;266.8;109.8;17.5;null;1.8;0;0;null;981.9;35.2;24.7;17.3;66.1;0;0;13.4;
2012-09-30;0;245.1;144.5;46.6;null;2.7;4;40.9;null;980.7;36.8;27.3;20.3;61.5;0;0;11.6;
2012-10-31;0;169.9;167.6;59.8;null;5.3;9;57.7;null;979.1;36.3;27.9;22;68.1;0;0;14;
2012-11-30;0;91.4;134.5;134.5;null;5.4;17;177.8;null;978.3;32.5;26.5;22.1;82.2;0;0;13.9;
2012-12-31;0;null;151.5;151.5;null;6.5;11;241.7;null;978.2;33.2;26.5;21.6;79.4;0;0;93.1;
2013-01-31;0;70.5;141.6;141.6;null;5.8;22;428.4;null;979.2;31.6;26.1;21.9;84.4;0;0;13.9;
2013-02-28;0;65.9;113;113;null;7.5;20;249.2;null;979.7;31.5;25.5;21.3;84.5;0;0;13.9;
2013-03-31;0;72.2;127.7;127.7;null;6.9;18;309.9;null;979.9;32.3;25.8;21.6;85.7;0;0;13.7;
2013-04-30;0;74.3;107.8;102.9;null;6.2;10;80.1;null;981.6;32;25;20.3;83.5;0;0;15;
2013-05-31;0;110.9;101.2;50.5;null;4.2;null;6.4;null;981.8;32;24.3;19;79.1;0;0;13.6;
2013-06-30;0;98.7;95.1;54.3;null;4.5;6;54.3;null;982.7;33.3;24.6;18.8;77.8;0;0;15.3;
2013-07-31;0;132.5;80.5;9.2;null;2.6;null;0;null;983.6;32.6;22.5;15.6;67;0;0;14;
2013-08-31;0;264.9;61.5;3.4;null;3.1;null;0;null;982.9;34;23.7;16.1;51.8;0;0;14;
2013-09-30;0;189.4;140.9;37.8;null;4.7;null;35.2;null;980.9;35.4;26.8;20.1;69.8;0;0;14;
2013-10-31;0;61.9;140.1;140.1;null;5.9;null;247.3;null;980.6;34.1;26.4;21.1;82.5;0;0;14;
2013-11-30;0;93;132.7;132.7;null;6;12;226.9;null;979.2;32.4;26.1;21.3;85.6;0;0;14.3;
2013-12-31;0;30.4;130.5;130.5;null;5.6;19;373.3;null;979.6;31.7;25.8;21.3;88.3;0;0;14;
2014-01-31;0;67.5;145.1;145.1;null;7.6;null;239.5;null;981;32.4;25.4;20.7;86.8;0;0;14;
2014-02-28;0;39.6;108.8;108.8;null;8.1;22;422.7;null;980;31.3;25.2;21;89.6;0;0;15;
2014-03-31;0;66.8;126.1;126.1;null;7.2;null;349.8;null;980.3;32;25.7;21.2;88.7;0;0;14;
2014-04-30;0;72.1;117.8;117.8;null;6.3;10;186.9;null;981.2;32.3;25.8;21;87;0;0;14.2;
2014-05-31;0;90.8;87.3;70.6;null;4.9;null;23.5;null;981.6;31.6;24;18.1;86;0;0;14.1;
2014-06-30;0;109.4;79.7;43.2;null;4.3;null;19.9;null;981.8;31.8;23.7;18.2;84.4;0;0;14.2;
2014-07-31;0;147;78.3;53.8;null;4.7;3;45.8;null;983.4;32.2;22.7;16.1;82.9;0;0;13.9;
2014-08-31;0;195.7;106.9;13.7;null;2.5;null;0;null;982.1;35.5;24.9;17.4;75.5;0;0;14.7;
2014-09-30;0;188.2;146.1;109.5;null;4.4;6;62;null;980.5;35.9;27.1;21;81.7;0;0;14;
2014-10-31;0;150.3;161.7;160.4;null;4.7;10;231.7;null;980.5;35.4;27.1;20.7;80;0;0;14.5;
2014-11-30;0;84.1;142.9;142.9;null;6.5;15;210;null;979.8;33.5;26.7;21.4;84.1;0;0;14;
2014-12-31;0;75.2;128.9;128.9;null;5.9;21;407.2;null;980.6;31.5;25.7;20.9;88.5;0;0;15.6;
2015-01-31;0;null;145.1;145.1;null;5.9;null;213.9;null;981.1;33.2;25.7;20.4;86.6;0;0;93;
2015-02-28;0;null;108.8;108.8;null;7.5;null;192.6;null;981;31.9;25.5;20.9;89.1;0;0;94;
2015-03-31;0;null;77.4;77.4;null;7.3;null;207.4;null;980.5;32;25.7;21.1;88.2;0;0;94.1;
2015-04-30;0;null;122.3;122.3;null;7;null;199.2;null;981.1;32.7;25.7;21.1;89.4;0;0;94;
2015-05-31;0;null;109.5;106.8;null;6.2;null;85.3;null;981.6;31.7;24.9;20;87.8;0;0;94;
2015-06-30;0;null;86.6;55.1;null;4;null;15;null;982.6;32.5;23.6;17.4;82.8;0;0;94;
2015-07-31;0;null;92.5;23.2;null;3.8;null;1.3;null;982.5;33.2;23.7;16.7;77.8;0;0;94;
2015-08-31;0;null;134.1;29.1;null;1.9;null;18.7;null;981.5;36.9;25.9;18.4;69.5;0;0;94;
2015-09-30;0;null;162.2;6.1;null;3.8;null;2.3;null;980.5;37.6;28.2;20.7;69.7;0;0;94.1;
2015-10-31;0;null;165.5;145.7;null;5;null;145.5;null;980.8;36.1;27.7;21.1;78.4;0;0;94;
2015-11-30;0;null;151.7;151.7;null;6.4;null;314.1;null;980;35;27.1;21.4;83.8;0;0;94;
2015-12-31;0;null;162.7;162.6;null;6.1;null;165.3;null;980.4;34.5;27.1;21.8;85.1;0;0;94;
2016-01-31;0;null;143.4;143.4;null;7.9;null;244.1;null;980;32;26.3;22.1;88.3;0;0;94.1;
2016-02-29;0;null;129.4;129.4;null;6.6;null;192.5;null;981;34;26.8;21.6;84.4;0;0;94;
2016-03-31;0;null;151.3;151.3;null;7.2;null;298;null;980.9;32.8;26.3;21.7;85.6;0;0;94;
2016-04-30;0;null;89.3;89.3;null;4.5;null;126.4;null;980.7;34.5;26.9;20.2;82.9;0;0;94;
2016-05-31;0;null;119.5;73;null;4.7;null;4.7;null;981.9;null;null;18.4;83.2;0;0;93.9;
2016-06-30;0;null;null;null;null;4.5;null;10.9;null;983;null;null;17.6;81.2;0;0;94;
2016-07-31;0;null;null;null;null;2.1;null;0;null;982.6;null;null;17;68.7;0;0;94;
2016-08-31;0;null;80.4;80.4;null;3.6;null;118.6;null;981.8;null;null;18.6;70.1;0;0;94;
2016-09-30;0;null;86.4;59.4;null;4.2;null;46;null;982.1;null;null;19.9;74.6;0;0;94;
2016-10-31;0;null;117.6;117.6;null;5.5;null;172.4;null;980.3;null;null;21.7;78.5;0;0;94;
2016-11-30;0;null;111.1;111.1;null;6.8;null;208.1;null;979.8;null;null;22.5;85.6;0;0;94;
2016-12-31;0;null;133.9;133.9;null;7.8;null;289.9;null;979.8;31.6;25.8;22.7;86.4;0;0;94.1;
2017-01-31;0;null;145.1;145.1;null;6.6;null;369.8;null;980.2;32.4;26;22.4;88.5;0;0;15;
2017-02-28;0;null;114.5;114.5;null;7.6;null;472.7;null;980.5;31.3;25.5;22.5;90.4;0;0;14;
2017-03-31;0;null;147.9;147.9;null;6.4;null;255.8;null;980.2;33;26.3;22.7;89.6;0;0;14.4;
2017-04-30;0;null;125.4;125.4;null;5.7;null;173.7;null;980.5;32.7;26;22.4;87.3;0;0;14;
2017-05-31;0;null;121.1;120.9;null;4.2;null;114.8;null;980.8;32.9;25.8;21.8;86.2;0;0;14;
2017-06-30;0;null;79.7;51.6;null;2.9;null;0;null;982.3;32.3;23;17.9;81.7;0;0;16.7;
2017-07-31;0;null;67.7;20.8;null;1.5;null;0;null;983.9;32.5;21.6;15.3;74.8;0;0;14;
2017-08-31;0;null;123;35.5;null;2.6;null;21.8;null;981.3;36.1;26.2;20;69.4;0;0;14;
2017-09-30;0;null;146.1;11;null;3.4;null;5.1;null;null;36.6;27.2;21;69.7;0;0;14;
2017-10-31;0;null;167.4;124.3;null;6;null;61.8;null;null;35.5;27.3;22.3;78.3;0;0;14;
2017-11-30;0;null;137.7;137.7;null;6.8;null;189.3;null;null;34.1;27.1;23.1;84.4;0;0;93;
2017-12-31;0;null;149.6;149.6;null;6;null;264.9;null;null;32.2;26.3;23;87.8;0;0;15;
2018-01-31;0;null;141.6;141.6;null;7.1;null;308.9;null;null;32.3;26.1;22.4;88.6;0;0;14;
2018-02-28;0;null;124.9;124.9;null;7.5;null;331.8;null;null;31.7;26;22.9;89.1;0;0;14;
2018-03-31;0;null;132.6;132.6;null;6.2;null;447.6;null;null;33.3;26.5;22.8;86;0;0;14;
2018-04-30;0;null;123.8;123.8;null;6.2;null;228.4;null;null;32.5;25.8;22.1;86.8;0;0;14;
2018-05-31;0;null;102.6;81.3;null;3.2;null;30.4;null;null;32.6;24.2;19.4;83.2;0;0;93;
2018-06-30;0;null;71.1;25.5;null;4.5;null;1.4;null;974.2;30.3;22.1;17.3;82.6;0;0;93.9;
2018-07-31;0;null;80.5;13.3;null;2.4;null;0;null;975.6;33.6;22.8;16.7;74.8;0;0;94;
2018-08-31;0;null;112.6;45.7;null;4.3;null;40.2;null;975;34.3;24.7;18.5;70.6;0;0;94;
2018-09-30;0;null;129.5;68.6;null;4;null;46.7;null;null;35.8;26.4;20.3;72.7;0;0;94.1;
2018-10-31;0;null;157.9;130;null;6.5;null;129.3;null;null;35;27.4;23.3;82.1;0;0;94;
2018-11-30;0;null;142.9;142.9;null;7.7;null;326;null;null;32.7;26.6;23.5;86.4;0;0;94;
2018-12-31;0;null;144.2;144.2;null;6.7;null;219.2;null;null;33;26.4;22.7;84.7;0;0;94;
2019-01-31;0;null;148.7;148.7;null;7;null;201.9;null;null;33.1;26.5;22.6;83.6;0;0;94;
2019-02-28;0;null;123.4;123.4;null;7.9;16;466.8;null;null;33.2;26.6;22.9;86.3;0;0;94;
2019-03-31;0;null;142.7;142.7;null;6.2;null;449.1;null;null;33.3;26.5;22.7;87.2;0;0;15;
2019-04-30;0;null;128.5;128.5;null;6.6;null;217.2;null;null;32.8;26.2;22.7;88.2;0;0;13.8;
2019-05-31;0;null;106.7;73.1;null;5.1;null;11.8;null;null;32.8;24.8;20.3;84.9;0;0;14.1;
2019-06-30;0;null;null;null;null;3.2;null;0;null;null;33.6;24;18.7;78.8;0;0;93.1;
2019-07-31;0;null;null;null;null;2.8;null;1.5;null;null;33.8;23.2;16.8;72.5;0;0;94;
2019-08-31;0;null;null;null;null;2.7;null;0;null;null;35.6;25.7;19.5;65.9;3.1;0;94;
2019-09-30;0;null;null;null;null;2.7;null;20.5;null;null;38.3;29.1;22.4;67.3;0;0;15;
2019-10-31;0;null;null;null;null;6.3;null;195.8;null;null;35;27.3;22.5;81.9;0;0;14.5;
2019-11-30;0;null;null;null;null;7.2;null;237;null;null;34.4;27.1;23.1;84.5;0;0;14;
2019-12-31;0;null;null;null;null;7.2;null;166.3;null;null;33.5;26.9;23.1;88.6;0;0;14;
2020-01-31;0;null;null;null;null;6.5;16;203.1;null;null;34.2;27.4;23.5;86.2;0;0;14.9;
2020-02-29;0;null;null;null;null;6.7;21;253.3;null;null;32.7;26.7;23.3;87;0;0;14;
2020-03-31;0;null;null;null;null;5.1;11;112.6;null;null;34.1;27.2;22.8;81.4;0;0;15.2;
2020-04-30;0;null;null;null;null;4.5;4;30.4;null;null;34.6;26.7;22.1;79.8;0;0;14.8;
2020-05-31;0;null;null;null;null;4.4;null;92.5;null;null;31.5;23.3;18.3;80.5;0;0;93;
2020-06-30;0;null;null;null;null;3.1;0;0;null;null;34.8;24.7;18;66.3;0;0;94.1;
2020-07-31;0;null;null;null;null;1.9;null;0;null;null;34.9;24.3;17.9;66.3;0;0;94;
2020-08-31;0;null;null;null;null;1.9;0;0;null;null;36.6;26;19.4;57.8;0;0;94;
2020-09-30;0;null;null;null;null;2.7;0;0;null;null;38.9;29;21.9;55;0;0;94;
2020-10-31;0;null;null;null;null;5.5;9;117.7;null;null;37.2;28.9;23.9;68.8;0;0;94;
2020-11-30;0;null;null;null;null;5.9;null;141.8;null;null;35.8;28;23;73.9;0;0;94;
2020-12-31;0;null;null;null;null;7.1;18;310.4;null;null;33.8;27.2;23.2;80.6;0;0;93.9;
2021-01-31;0;null;null;null;null;7.6;16;261.5;null;null;33;26.4;22.8;85.6;0;0;94;
2021-02-28;0;null;null;null;null;6.8;16;338.9;null;null;33.1;26.5;22.6;85.8;0;0;94;
2021-03-31;0;null;null;null;null;7.2;19;348.4;null;null;32.1;25.7;22.1;88;0;0;94.1;
2021-04-30;0;null;null;null;null;6.4;10;188;null;null;32.7;25.6;21.6;86.4;0;0;94;
2021-05-31;0;null;null;null;null;4.1;3;42.2;null;null;31.8;23.7;18.7;84.1;0;0;94;
2021-06-30;0;null;null;null;null;4;0;0;null;null;32.1;23.1;17.9;80.4;0;0;94;
2021-07-31;0;null;null;null;null;1.3;null;0;null;null;33.7;21.9;14.7;69.6;0;0;94;
2021-08-31;0;null;null;null;null;1.8;0;0;null;null;36.5;25.9;19.1;66.1;0;0;94;
2021-09-30;0;null;null;null;null;3.9;4;37.6;null;null;38.1;28.9;22.5;70.1;0;0;94;
2021-10-31;0;null;null;null;null;6.4;8;292.2;null;null;35.6;28.2;23.3;80.7;0;0;94;
2021-11-30;0;null;null;null;null;8.5;16;317.8;null;null;32.5;26.5;22.9;89.3;0;0;94.1;
2021-12-31;0;null;null;null;null;8;17;412.6;null;null;32.6;27;23.4;89;0;0;94;
2022-01-31;0;null;null;null;null;7.2;19;449.7;null;null;33.2;26.6;22.6;89.7;0;0;94.1;
2022-02-28;null;null;null;null;null;8;24;632.9;null;null;32.2;26.2;22.5;90.4;4.1;.1;94;
2022-03-31;0;null;null;null;null;7.8;14;255.4;null;null;32.6;26.1;22.3;90;0;0;94;
2022-04-30;0;null;null;null;null;5.1;2;3.2;null;null;34.1;26.2;21.2;84.9;0;0;94;
2022-05-31;0;null;null;null;null;4.4;2;2.6;null;null;32.6;23;17;77.6;0;0;94.1;
2022-06-30;0;null;null;null;null;4.8;3;38;null;null;31.7;23.1;17.2;80.1;0;0;94;
2022-07-31;0;null;null;null;null;2.8;0;0;null;null;34.6;24.5;17.9;75.5;0;0;94;
2022-08-31;0;null;null;null;null;3.7;4;59.9;null;null;34.7;24.1;17.5;77;0;0;94.1;
2022-09-30;0;null;null;null;null;4.3;3;79.3;null;null;35.9;27.1;21.7;77.5;0;0;94;
2022-10-31;null;null;null;null;null;6;11;140.1;null;null;34.1;26.9;22.2;85.3;0;0;94;
2022-11-30;null;null;null;null;null;5.1;8;148.4;null;null;34;25.9;19.6;82.7;0;0;94;
2022-12-31;null;null;null;null;null;7.1;18;246.9;null;null;32.1;26.3;23;88.1;null;null;94;
2023-01-31;null;null;null;null;null;7.6;18;283.4;null;null;32.3;26;22.6;88;null;null;94;
2023-02-28;null;null;null;null;null;7.7;16;262.6;null;null;33;26.5;22.5;87.4;null;null;94;
2023-03-31;null;null;null;null;null;7;17;361.8;null;null;33;26.2;22.4;88.3;null;null;94;
2023-04-30;null;null;null;null;null;6.3;10;192.5;null;null;33;26.4;22.3;86.3;null;null;94;
2023-05-31;0;null;null;null;null;4.4;1;31.2;null;null;33;25;20.5;83.3;0;0;94;
2023-06-30;null;null;null;null;null;3.8;2;2;null;null;31.8;22.6;16.9;80.7;4.1;.1;94;
2023-07-31;0;null;null;null;null;2.2;0;0;null;null;34.9;23.9;17.5;74.2;0;0;94;
2023-08-31;0;null;null;null;null;3.8;1;18.2;null;null;37;27.4;21.1;70.4;0;0;94.1;
2023-09-30;0;null;null;null;null;4.9;5;74.2;null;null;37.7;28.8;23;74.7;0;0;94;
2023-10-31;null;null;null;null;null;5.5;2;21.7;null;null;38.3;30.3;24.7;72.6;0;0;94;
2023-11-30;0;null;null;null;null;4.2;5;158.6;null;null;36.9;29.5;24.5;75.6;0;0;94.1;
2023-12-31;0;null;null;null;null;5.5;13;226.3;null;null;35.8;28.2;24;81.9;0;0;94;
2024-01-31;null;null;null;null;null;6.6;16;269.4;null;null;34.5;27.7;23.8;85.8;0;0;94.1;
2024-02-29;null;null;null;null;null;6.9;14;99.3;null;null;34.2;27.5;23.7;85.7;0;0;94;
2024-03-31;null;null;null;null;null;6.5;10;277.1;null;null;34.8;27.7;24.3;86.2;1;0;94;
2024-04-30;null;null;null;null;null;6.6;12;303.4;null;null;34.1;27.5;24.2;87.1;0;0;94;
2024-05-31;0;null;null;null;null;4.6;1;1.1;null;null;32.3;24.7;20.2;84.4;0;0;93.9;
2024-06-30;0;null;null;null;null;3.3;null;0;null;null;35.1;24.6;18.8;77.1;0;0;94;
2024-07-31;0;null;null;null;null;1.8;0;0;null;null;34;23.1;16.5;73.2;0;0;94;
2024-08-31;0;null;null;null;null;2.4;0;0;null;null;35.7;25.7;19;65.9;0;0;94.1;
2024-09-30;0;null;null;null;null;2.4;2;20.4;null;null;39.1;29.1;22.1;64.1;0;0;94.2;
2024-10-31;0;null;null;null;null;5.9;13;194.9;null;null;37.1;29.1;24;75.9;.5;0;94.1;

