Nome: NOVA XAV.(XAVANTINA)
Codigo Estacao: 83319
Latitude: -14.697917
Longitude: -52.350226
Altitude: 305.33
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;52;145.2;145.2;113.5;8.1;27;552.5;976.8;30.7;24.7;21.5;88.3;5.4;.8;37.7;null;
2012-02-29;0;68.9;132.9;132.9;173.9;6.7;19;149.6;976.9;32.7;24.9;20.4;84.7;7.5;.7;40.4;null;
2012-03-31;0;84.3;141.9;141.9;220.3;5.5;11;143.1;977.2;34.1;25.7;20.8;82.2;6.4;.8;39.8;null;
2012-04-30;0;84.3;133.6;98.9;238.3;5.1;4;36.9;977;34.8;26.1;21.2;81.8;6;.6;40.7;null;
2012-05-31;0;100.5;127.8;76.1;210.5;4.2;4;56.8;979.1;32.5;23.8;18.5;78.3;6.7;1.5;40.7;null;
2012-06-30;0;107.5;120.8;23.1;275.3;2.5;1;10.6;980;33.6;23.2;16.7;78.1;4.9;.9;39.7;null;
2012-07-31;0;null;121.4;4.4;298.7;1.5;0;0;980.3;34.1;21.7;13.8;68.8;7.3;1.2;34.8;null;
2012-08-31;0;227.2;126.7;1.3;296.4;2.3;0;0;980.6;35.5;23.2;15.3;57.5;6.4;1.5;26.1;null;
2012-09-30;0;203.1;132.6;55.9;216.2;3.5;3;55.6;978.4;37.7;26.1;18.7;58.4;6.9;1.5;17.2;null;
2012-10-31;0;140;148;118.9;224.2;6;12;138.6;975.7;36.5;27;21.2;72.9;4.9;.8;32.5;null;
