Nome: POSSE
Codigo Estacao: 83332
Latitude: -14.08916666
Longitude: -46.36666666
Altitude: 830.35
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;103.2;138.7;138.7;null;8.3;25;373.8;1010.1;920.3;28.2;22.8;19;80.4;3;.4;50.6;
2012-02-29;0;172.4;132.6;127.5;null;6.4;13;106.1;1009.3;919.8;30.2;24.3;19.9;68;3.5;.9;59.5;
2012-03-31;0;204.6;140.8;106.8;null;6.1;14;70.7;1009.1;920.1;31.3;25.2;20.4;66.5;4.3;.8;60.8;
2012-04-30;0;238.3;133.9;61.5;null;4.2;5;39.9;1008.7;920;32.2;25.9;21;58.4;3;.5;62.3;
2012-05-31;0;215.8;126.1;30;null;5.5;7;19.7;1012.2;922.2;29.1;23.4;18.8;63.5;5.4;.7;61.8;
2012-06-30;0;297.6;124.8;3.4;null;3.1;0;0;1012.6;923;30.3;24.3;19.7;52.4;4.7;.9;63.1;
2012-07-31;0;367.1;126.7;1;null;2.2;0;0;1013.1;923.2;29.7;23.5;18.5;44.3;4;1.2;57;
2012-08-31;9;409.1;126.8;.3;null;2.4;0;0;1014.9;924.5;29.1;23.1;17.6;43.4;4;1.7;54;
2012-09-30;0;419.2;138.9;6.5;null;4.2;1;6.4;1011;922.5;33.1;26.8;21;38.8;4;1.3;50.4;
2012-10-31;0;391.6;149.9;13.6;null;5.2;9;13.6;1007.8;919.7;33.5;27.3;21.7;46.1;4;.8;52.6;
2012-11-30;0;116.2;137.8;137.8;null;9.2;25;379.8;1008.4;919;28.9;23.9;20.2;78.7;2;.3;48.6;
2012-12-31;0;240.8;154.5;154.4;null;6.2;12;150.4;1007.1;918.8;32.4;26.4;21.6;61.8;3;.4;59;
2013-01-31;0;97.4;141.6;141.6;null;8.2;26;301.2;1010;920.2;28;23.4;20.3;83;2;.2;46.8;
2013-02-28;0;179.4;132.9;120.8;null;6.6;12;80;1008.4;919.6;31.4;25.8;21.4;65.8;3;.5;56.8;
2013-03-31;0;140.3;139.8;139.8;null;7.4;19;299.7;1009.5;920.4;30.3;24.9;20.8;73.8;4;.4;56.8;
2013-04-30;0;147.1;127.4;127.4;null;6.1;11;211.5;1010.9;921.3;29.1;23.9;19.9;72.7;3;.5;57.1;
