Nome: FORMOSO
Codigo Estacao: 83334
Latitude: -14.949727
Longitude: -46.235795
Altitude: 854.6
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;90.9;140.4;140.4;152.7;8;21;252;null;29;23;18.9;75.2;3;1.3;68.4;null;
2012-02-29;0;124.1;132.4;103.6;197.3;6.6;10;45.6;null;31.1;24.2;19.2;65.2;5;1.4;69.7;null;
2012-03-31;0;125.5;137.6;137.6;201.2;6.2;16;212.7;null;31.3;24.3;19.4;66.6;3;1;69.6;null;
2012-04-30;14;139.1;130.7;102.6;266.5;4.8;5;45.1;null;32.2;24.9;19.1;60.2;4;1.2;69.9;null;
2012-05-31;9;118;123;42.3;203.3;6.2;6;14.1;null;28.6;22.3;17.5;66;4;1.4;69.6;null;
2012-06-30;0;146.5;120.3;10.9;234;3.8;1;.9;null;30.2;22.7;16.7;56.9;3;1.2;70;null;
2012-07-31;14;187.4;122.3;3.1;261.6;2.4;0;0;null;30;21.9;15.3;47.7;3;1.4;70;null;
2012-08-31;9;210.7;122.7;.9;235.5;3;0;0;null;29.5;21.7;15;45.1;4;1.8;69.9;null;
2012-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-10-31;0;230.4;146.7;34.6;247.9;4.9;3;32.6;null;34.2;26.3;19.8;43.3;4;1.4;68.4;null;
