Nome: ESPINOSA
Codigo Estacao: 83338
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.52
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2019-03-14
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;null;125.3;109.4;null;5.4;4;null;949.8;31;25.5;21.2;69.3;7;2.6;42.1;null;
2012-02-29;null;null;null;null;null;null;2;null;950.3;32.3;26.2;21.4;64.6;8;null;null;null;
2012-03-31;14;305.9;159.7;59;257.6;5;5;29.9;949.1;33.7;27.6;22.4;51.2;8;3.3;50.4;null;
2012-04-30;14;328.3;149;8.5;291.7;4.3;null;0;948.8;34.4;27.6;21.9;46.5;8;3.1;49.1;null;
2012-05-31;14;277.1;108;4.5;227.2;5.6;3;2.9;951.6;30.6;24.8;19.8;55.1;7;3;50;null;
2012-06-30;14;260.2;104.1;2.6;265;4.4;1;2;952.8;31.3;24.9;19.5;51.7;7;3.3;50;null;
2012-07-31;null;null;null;null;null;null;null;null;952.8;29.8;23.4;17.4;48.9;7;null;null;null;
2012-08-31;14;366.2;89.8;11.9;282.2;4.4;null;0;955.1;29.5;23.3;18;45.6;9;4.7;50.5;null;
2012-09-30;5;370.2;130.2;6.3;299.4;3.3;1;.4;952.6;33.2;26.2;20.2;42;8;3.8;49.5;null;
2012-10-31;14;470.1;163.1;2.3;295.6;4.3;1;.5;949.6;34.3;27.7;21.5;45.4;9;4.1;51.3;null;
2012-11-30;5;125.3;117.5;117.5;92.6;8.5;21;228.2;948.1;29.3;24.8;21.8;77.9;7;1.8;50.4;null;
2012-12-31;5;235.3;155.6;104.2;333.7;4.3;2;33.8;947.8;33.3;26.8;20.8;63;6;2.2;50;null;
2013-01-31;null;null;167.2;40;null;null;1;null;948.8;33.4;27.4;22.6;65.2;7;null;null;null;
2013-02-28;14;287.2;152.3;6.2;256.3;4.9;2;1.1;948.7;34.1;27.9;22.5;47.5;7;3.1;50;null;
2013-03-31;14;269.1;165.2;95.4;245.8;5.6;null;94.7;948.5;33.7;27.9;23;56;8;2.5;50.6;null;
2013-04-30;14;195.1;118.8;37.2;229.5;6;null;36.7;950.3;31.4;25.7;21.1;62;6;2.6;50.5;null;
2013-05-31;14;240.9;117.6;.2;250.6;4.4;null;0;951.1;32.1;25.6;19.8;50.1;7;2.6;50.3;null;
2013-06-30;14;null;96.7;.1;205;4.7;null;null;952.6;30.2;24.2;19;53.5;7;3;50;null;
2013-07-31;14;293.6;95.6;0;297.3;3.1;null;0;953.5;30.2;23.9;18.7;48;7;3.2;52.2;null;
