Nome: CAETITE
Codigo Estacao: 83339
Latitude: -14.07277777
Longitude: -42.48722221
Altitude: 876.29
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;139.3;102.9;91.6;241.1;5.4;4;51.4;914.5;27.9;22.8;18.6;67.6;7.6;3.7;45.7;null;
2012-02-29;14;140.9;98;74.8;242.5;5;8;53.2;914.4;29.1;23.1;18.5;63.1;8;3.7;46;null;
2012-03-31;14;192.7;113.5;36.3;259.9;3.6;5;11.9;914.7;30.6;24.3;19.1;57.5;null;null;44.6;null;
2012-04-30;9;200.5;110.3;9.2;289.7;2.7;0;0;915;31;24.6;19.1;52.2;null;null;47.9;null;
2012-05-31;14;156.3;85;14;205.9;4.8;5;11.6;917.1;27.4;21.9;17.6;63.3;null;null;42.7;null;
2012-06-30;14;154.1;76.7;11.6;216.4;4.2;4;10.5;918.4;27.1;21.5;17.1;62.9;null;null;47.3;null;
2012-07-31;9;163.2;70.4;12.6;264.5;3.5;4;12.1;918.5;26.3;20.4;15.6;60;null;null;45.9;null;
2012-08-31;9;164.8;65.7;13;241.8;4.5;9;12.7;919.9;25.4;19.7;15.1;62.2;null;null;45.3;null;
2012-09-30;9;210.7;91.2;3.2;285.9;2.5;1;3;918.6;29.2;22.7;17;52.5;null;null;46.2;null;
2012-10-31;9;235.7;113.5;.5;294.5;2.9;1;.4;915.2;30.7;24.1;18;47.7;null;null;46.9;null;
2012-11-30;9;65.2;93.8;93.8;78;8.2;26;454.9;914.7;26.4;22.2;19.5;82.5;null;null;41.1;null;
2012-12-31;14;181.7;127.6;101.7;315.5;2.6;4;45.9;913.9;30.4;24.7;19.3;56.8;null;null;46.2;null;
