Nome: POXOREU
Codigo Estacao: 83358
Latitude: -15.82749999
Longitude: -54.39555555
Altitude: 374.35
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;75.4;147.7;147.7;147.9;8;20;397.9;1008.1;968.4;30.8;25;21.1;83.8;6.2;1.2;48.4;
2012-02-29;0;88.8;135.8;135.8;187.2;7.5;12;224.2;1008.6;968.9;32.7;25.3;20.6;79;5;1;48.8;
2012-03-31;0;76.2;139.2;139.2;179.4;7.6;12;287.4;1009.9;970.1;32.6;24.9;20.2;82.7;5;1.1;48.7;
2012-04-30;0;78;131;130.1;183.8;7.5;10;117.1;1009.7;969.9;33.2;25.3;20.5;82;4;1;49.3;
2012-05-31;0;null;124.7;124.7;223.7;6.1;10;126.4;1012.3;972.1;31.2;23;17.2;78.8;4;1;50.7;
2012-06-30;0;90.5;118.8;95.7;232;5.1;3;52.8;1013.1;972.9;31.1;22.2;15.6;77.6;5.3;1;48.8;
2012-07-31;0;124.1;118;31.8;267.3;3.8;0;0;1013.7;973.5;32.2;20.9;12.4;69.2;8.9;1.2;50.2;
2012-08-31;0;201.5;128.1;10.2;281.8;2.8;1;3.8;1013.6;973.8;34.7;23;13.3;54.4;4;1.1;50.2;
2012-09-30;0;null;128.8;18.7;196.9;5.9;2;16.1;1010.6;971;37;26;17.2;55.2;6;1;49.4;
2012-10-31;0;null;150.3;135.5;226.2;7.8;8;143.3;1007.8;968.2;35.7;27.3;21.5;69.7;4.1;.8;95.5;
2012-11-30;0;67.4;145.2;145.2;128.4;8.5;16;364.8;1007.1;967.4;32;25.9;21.8;83.6;4;1;50.3;
2012-12-31;0;91.4;154.4;154.4;197.7;7.9;13;274.3;1007.4;967.7;33;26.4;21.8;77.9;4;1;49.2;
2013-01-31;0;62.1;149.3;149.3;103.5;8.4;20;249.6;1008.1;968.2;31.2;25.5;21.6;86.3;4;.7;48.3;
2013-02-28;0;57.1;130.1;130.1;110.5;8.3;16;390;1008.8;968.9;31.2;24.9;21.3;84.9;4;.8;48.5;
2013-03-31;0;73.9;142.4;142.4;156.5;7.9;19;265.6;1008.6;969;33.1;25.8;21.8;83.1;4;.7;48.2;
2013-04-30;0;72.1;128.7;79.5;126.7;7.6;10;101.2;1010.5;970.6;31.2;24.6;19.9;82.3;3;.6;50.4;
2013-05-31;0;112.9;129;27.9;235.2;6.6;1;2.3;1011.4;971.4;32.9;24.1;17.4;75.3;4;.9;49.8;
2013-06-30;0;103.5;124.4;53.8;228.3;5.6;2;49.1;1011.8;971.5;32.9;24.1;17.5;80;4;.6;49.7;
2013-07-31;0;148.1;121.1;3;261.6;2.5;null;0;1013.8;973.4;32.7;21.6;12.9;62.4;4;.9;50.9;
2013-08-31;0;197;124;.9;271;3;null;0;1012.6;972.2;33.8;22.1;12.2;51.1;4;1.1;51.2;
2013-09-30;0;209.6;136.6;13.5;205.1;6;null;13.2;1010.1;970.4;35.4;26.1;18.1;54.6;4;1.1;49.1;
2013-10-31;0;120.3;146.6;146.6;146.9;7.9;9;210.3;1009;969.3;33.8;26.2;21.2;73.2;3;.9;49.2;
2013-11-30;0;77.7;144.7;144.7;166.6;7.9;18;317.6;1007.3;967.5;32.4;25.8;21.2;81.7;9;1.2;49;
2013-12-31;0;62.9;150.3;150.3;109.4;8.4;null;439.4;1007.1;967.3;31.2;25.3;21.7;85.8;4;1.1;48.2;
