Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;104.8;154.5;154.5;159.8;6.2;15;291.9;1012.9;992.8;32.6;26.4;21.5;82.9;null;null;42.6;
2012-02-29;null;112.9;139;139;167.6;5.9;17;284.6;1013.3;993;33.3;26.5;22;80.3;null;null;41.7;
2012-03-31;null;75.7;143.7;143.7;198.1;5.4;13;244.7;1014.8;994.5;33.3;26.4;21.8;79.2;null;null;42;
2012-04-30;null;51.7;144.6;122.1;208.1;5;8;51.1;1014.9;994.6;33.8;27.1;22.8;77.3;null;null;41.8;
2012-05-31;null;74.4;112.5;112.5;220;4.2;7;264.2;1017;996.5;32;25;19.4;74.9;null;null;41.6;
2012-06-30;null;69.2;91.8;77.6;209.5;3.8;5;33.3;1017.8;997.4;31;24.1;18.4;78.6;null;null;41.6;
2012-07-31;null;85.4;82.5;31.3;240.8;2.5;0;0;1018;997.8;32;23.3;16.2;67.9;null;null;41.5;
2012-08-31;null;233;119.4;17;248.7;2.1;0;0;1017.6;997.4;35.9;25.7;16.9;50.2;null;null;41.6;
2012-09-30;null;298.6;174.1;50.2;193.1;2.9;5;40.8;1014.7;994.5;38;28.4;19.6;49.2;null;null;40.8;
2012-10-31;null;318.9;205.3;27.7;184.5;5.5;4;26;1012.5;992.5;36.8;29.2;22.2;58.2;null;null;41.7;
2012-11-30;null;202.3;190.6;161.9;120.8;7.6;16;161.8;1011.6;991.5;34.1;null;null;74.5;null;null;41.7;
2012-12-31;null;null;212.1;21.1;108.9;5.7;19;222.2;1012.5;992.4;33.9;null;null;71.5;null;null;94.7;
2013-01-31;null;92.1;184.4;184.4;109.4;6.7;18;194.2;1013.1;992.9;32.2;null;null;81;null;null;42;
2013-02-28;null;82.6;156.4;156.4;123.7;6.9;20;268.6;1013.2;993;32.2;null;null;81.8;null;null;41.4;
2013-03-31;null;95.8;174;174;172.1;5.5;null;316.9;1013.5;993.7;33.3;27.6;23.6;79.2;null;null;41.7;
2013-04-30;null;70.9;148.4;129.2;168.5;5.3;null;79.2;1015.6;995.3;32.3;26.7;22.4;75.6;null;null;41.7;
2013-05-31;null;112.2;115.7;50.9;190.9;4.9;3;20;1016.9;996.5;32.3;25.6;20.8;72.1;null;null;41.7;
2013-06-30;null;115.1;117.7;56.9;201.9;4;null;47.2;1017;996.7;33.3;26.1;20.9;72.2;null;null;41.2;
2013-07-31;null;144.7;95.5;16;233.7;3.3;null;10.6;1018.9;998.2;32.4;24;17.5;64.2;null;null;41.3;
2013-08-31;null;186;98.2;2.5;262.3;2.8;0;0;1018;997.6;34.1;24.2;16.5;51.6;null;null;41.5;
2013-09-30;null;null;151.7;46.9;210.7;4.6;null;45.9;1015.6;995.4;36;28.4;21.9;57.1;null;null;41.3;
2013-10-31;null;88.1;193.2;139.7;174.8;6;14;139.6;1014.8;994.6;34.6;28.2;23.5;68.1;null;null;41.5;
2013-11-30;null;106.2;172.7;172.7;170.3;5.6;16;181.6;1012.8;992.7;33.7;28.1;23.7;73.3;null;null;41.5;
2013-12-31;null;100.2;163.7;163.7;107.4;6.9;null;226.9;1012.8;992.4;33;27.4;23.5;76.8;null;null;41.2;
