Nome: SAO VICENTE
Codigo Estacao: 83363
Latitude: -15.82305554
Longitude: -55.41888888
Altitude: 786.99
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;80.9;140.7;140.7;141.6;8.2;20;424.5;null;27.3;22.8;19;84.9;7;1.4;58.3;null;
2012-02-29;0;107.8;126.5;107.4;144.4;7.9;18;281.9;null;28.5;22.9;18.9;82;5;.9;59.1;null;
2012-03-31;0;102.4;133.7;133.7;177.3;7.2;18;226.2;null;28.6;23.2;19.3;84;5;1;58.9;null;
2012-04-30;0;95.3;125.8;125.8;173.5;7.2;18;216.8;null;28.8;23.5;20;88.1;4;.7;56.2;null;
2012-05-31;0;141.2;122.9;122.9;230.7;6;12;177.9;null;27.7;22;18.2;81.5;8.9;1;59.2;null;
2012-06-30;0;137.7;115;113.8;222.1;5.1;7;101;null;27.1;21.4;18;80.8;6;1.1;54.7;null;
2012-07-31;0;206.9;113.4;59.8;258.7;3.5;1;2.4;null;27.6;21.1;16.5;70.3;5;1.1;55.5;null;
2012-08-31;0;338.9;125.1;20.1;271.8;2.9;0;0;null;29.9;22.7;17.8;54.8;6;1.6;57.8;null;
2012-09-30;0;338.3;134.4;87.2;194.3;5.2;8;84;null;30.7;25.2;20.8;59.5;5;1.4;58.7;null;
2012-10-31;0;172.4;142.2;142.2;209.2;7.3;13;162.9;null;29.4;24.9;21;76.1;6;1.2;58.7;null;
2012-11-30;0;null;136.8;136.8;125.2;8.5;21;265.1;null;27.1;23.6;21.1;86.7;2.1;.5;96.4;null;
2012-12-31;0;null;146.4;146.4;149;7.4;13;224.4;null;29.4;24.1;20.9;82.5;4.1;.7;97;null;
2013-01-31;0;54;143.2;143.2;120.4;8;21;355.1;null;28.1;23.5;20.6;90.6;9;1.8;58.9;null;
2013-02-28;0;79.4;125.8;125.8;101.1;7.9;16;239.2;null;28.2;23.4;21;86.9;7;1.6;59.5;null;
2013-03-31;0;72.9;137.3;137.3;144.9;7.5;15;205.6;null;28.9;24;21.6;88.3;5;1.1;59.1;null;
2013-04-30;0;85.7;124.2;124.2;143.2;7.3;11;173.5;null;27.9;23;20.7;87.8;7;1.3;58.8;null;
2013-05-31;0;148.3;126.1;89.2;209.9;6.2;2;25;null;28.4;22.7;19.6;84.6;5.6;1.3;56.5;null;
2013-06-30;0;142.4;119.3;93.8;226.7;5.7;null;82.5;null;28.7;22.9;18.9;83.5;6.4;1.1;59.3;null;
2013-07-31;0;244.9;120.3;26;238;4.6;null;8.9;null;28;21.5;16.5;75.2;7.6;1.8;56.5;null;
2013-08-31;0;326.1;122.5;5.9;272.6;4.3;null;0;null;29.3;21.9;15.9;68.1;7;2.1;59;null;
2013-09-30;0;265.9;130.6;45;194.6;6.4;null;43.6;null;30.8;24.3;19;72.9;8.4;1.7;58.1;null;
2013-10-31;0;137.8;137.8;137.8;158.9;7.8;19;167.6;null;29.5;23.8;19.5;85.9;6.4;1.5;59.4;null;
2013-11-30;0;99;137.5;137.5;174.8;6.9;null;266.6;null;29.3;23.5;19.8;88.3;7;1.5;58.9;null;
2013-12-31;0;77.6;143.2;143.2;111.1;8.3;18;322;null;27.5;23.2;20.1;92;6;1.5;58.4;null;
2014-01-31;0;null;139.5;139.5;102.5;8.3;null;394.2;null;28.4;22.7;19.3;92.6;3.1;.7;96.5;null;
2014-02-28;0;null;122.9;122.9;63;8.5;null;476.6;null;28.5;22.7;18.3;93;9;1.3;56.9;null;
2014-03-31;5;112.9;133;133;99;8.1;null;348;null;29.4;22.9;18.2;92.8;4;2.1;59;null;
2014-04-30;5;null;124.6;124.6;149.7;7.1;null;180.4;null;29;23.2;18.9;91.2;2.6;.8;95.6;null;
2014-05-31;0;105.5;121.7;117.1;169.7;6.8;null;91.8;null;28.8;21.9;16.6;87.7;5;1.1;52.5;null;
2014-06-30;5;133.7;115.9;63.5;198.3;6.8;null;18;null;28.9;21.9;17;83.6;4;1.6;53.5;null;
2014-07-31;0;null;119.6;78.4;205.3;6;null;36.4;null;28.5;21.4;16.4;79.2;3.1;.8;95.9;null;
2014-08-31;5;null;130.5;35.8;206.4;5.2;5;48.4;null;31.2;24;18.3;61.9;2.6;.7;96.9;null;
2014-09-30;5;null;134.2;85.7;170.9;7.2;null;81.4;null;32.6;25.3;20.1;68.4;4.6;.8;96.7;null;
2014-10-31;5;null;144;144;133.7;7.2;null;228.8;null;32.5;25.3;19.6;70.7;2.6;.7;96.9;null;
2014-11-30;5;null;139.8;139.8;132.2;7.8;null;339.6;null;31.4;23.9;19.3;79.9;2.1;.8;97;null;
2014-12-31;5;null;144;144;111.2;7.9;null;181.8;null;29.3;23.5;19;84.9;2.1;.8;96.9;null;
2015-01-31;5;null;146.4;146.4;150.1;6.9;null;152.6;null;31.8;24.1;19.1;79;6.2;.8;97;null;
2015-02-28;5;null;127.2;127.2;104.1;8.1;null;213.5;null;31.1;23.2;19.3;85.8;2.6;.8;96.9;null;
2015-03-31;5;null;135.7;135.7;152.6;7.5;null;311.9;null;30.3;23.7;19.3;87.1;2.1;.6;97;null;
2015-04-30;0;null;126;126;102.5;7.9;null;218.1;null;29.8;23.5;19.5;91;1;.6;96.9;null;
2015-05-31;9;null;124.8;118.1;158.8;7.6;null;91.5;null;28.7;22.6;18.4;84.7;1;.5;97;null;
2015-06-30;0;null;101.1;66.1;212.9;7.5;null;29.5;null;30.1;22.9;17.3;71;10.3;.6;96.9;null;
2015-07-31;0;null;122;60.3;211.1;7.5;1;41.5;null;30.1;22.4;16.7;70.8;1;.5;96.7;null;
2015-08-31;0;null;132.9;21.2;266.8;7.4;null;10.5;null;33.6;24.9;18.6;57.9;1;.4;97;null;
2015-09-30;0;null;138.1;102.3;185;7.5;null;69;null;34.9;25.2;18.7;64.8;2.1;.4;97;null;
2015-10-31;0;null;140.4;140.4;160.4;7.3;null;66;null;32.9;24.3;19.1;72.4;2.1;.4;96.2;null;
2015-11-30;0;null;140.2;140.2;128.8;7.5;null;190.9;null;33.4;24.2;18.4;78.6;1;.3;97;null;
2015-12-31;0;null;149.7;136.2;107.2;7.4;null;0;null;33;24.8;19.1;72.4;1;.4;97;null;
2016-01-31;0;null;140.3;140.3;85.6;7.5;null;211;null;29.6;23;18.9;88;1.5;.5;96.8;null;
2016-02-29;0;null;133.2;133.2;130.1;7.5;null;138.5;null;30.1;24;19.5;76.3;1;.4;97;null;
2016-03-31;0;null;135.2;135.2;98.3;7.5;null;259;null;29.3;23.7;18.8;83;1;.3;97;null;
2016-04-30;0;null;126.5;126.5;166.2;7.4;null;85;null;30.6;24;18.9;73.3;1;.4;96.9;null;
2016-05-31;0;null;null;null;179.8;7.5;null;13.9;null;28.7;22.9;18.1;82.6;1;.5;96.9;null;
2016-06-30;null;null;113;16.2;null;null;null;null;null;28.6;21.2;15.9;83.2;null;null;null;null;
2016-07-31;5;null;124.8;5.5;null;1.9;null;0;null;32.6;22.6;15.6;74.2;2.1;.7;96.7;null;
2016-08-31;23;null;133.8;1.6;185.3;2;2;42.8;null;32.1;22.5;17.2;76.6;4;1.4;52.8;null;
2016-09-30;5;null;127.1;.4;null;3.3;null;null;null;30.2;23.1;17.6;78;4.6;1;52.4;null;
2016-10-31;23;null;141.8;.1;159.8;3.7;null;null;null;32.6;24.9;19.1;79.5;3;.8;58.1;null;
2016-11-30;23;null;null;null;null;4.4;null;null;null;null;null;18.6;87.4;2;.5;54.8;null;
2016-12-31;23;null;null;null;null;4.4;null;null;null;null;null;19;86.6;3;.6;56;null;
2017-01-31;23;null;146;145.1;null;6.7;null;null;null;29.1;null;19.9;85.3;2;.3;59.9;null;
2017-02-28;23;null;null;null;null;5.1;null;null;null;29.7;23.7;18.6;85.7;10;1.1;56.9;null;
