Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.7761111
Longitude: -56.07194443
Altitude: 207
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;104.3;153.1;153.1;183.1;8.5;17;189.9;993.7;31.8;26.6;23;81.3;3.5;.8;43.9;null;
2012-02-29;0;108.7;139.3;139.3;190.8;8.1;17;136;994.5;33;26.5;22.5;81.3;4.3;.5;43.4;null;
2012-03-31;0;101.6;142.4;142.4;234.3;7.6;14;168.6;995.7;33.3;26.3;21.9;82.4;4.6;.6;42.7;null;
2012-04-30;0;118.9;133.2;94;206.3;7.9;8;29.4;995.2;33.1;26.5;22.3;82.6;3;.5;42.2;null;
2012-05-31;0;197.7;128;115;246;5.4;9;108.8;997.5;31.7;24.2;18.9;80.9;2.6;.4;41.8;null;
2012-06-30;0;181.2;118.4;104.5;242.2;6;6;51.6;998.9;30.5;23;17.6;82.6;3.5;.5;40.1;null;
2012-07-31;0;253.8;119.1;16.8;268.5;2.9;0;0;998.6;31.8;21.8;15;76.6;3;.5;42.7;null;
2012-08-31;0;429.8;129.5;5.3;282.6;3.2;0;0;998.4;34.8;24.3;16.1;59.7;3.5;.7;42.8;null;
2012-09-30;0;442.4;142.3;21.7;212.3;6.3;8;20.3;995.7;37.5;27.9;20.1;53.8;4.1;.9;39.8;null;
2012-10-31;0;348.1;157.9;26.1;211.8;8;6;25.7;993.3;37.1;29.5;24.2;63.2;4.5;.8;43;null;
2012-11-30;0;139.1;149.7;149.7;147.1;8.9;18;323.9;992.4;33.3;27;23.6;80.6;4;.7;41.9;null;
2012-12-31;0;110.8;159.4;157.6;219.4;8.5;16;140;993;33.7;27.6;23.9;78.9;3.6;.7;44.1;null;
2013-01-31;0;92.6;155.2;155.2;150.5;8.9;20;256.9;993.4;32.3;27.2;24;84.3;2.8;.7;42.9;null;
2013-02-28;0;85.5;133.8;133.8;146.6;8.5;20;214.3;994;31.8;26.6;23.3;83.6;2.8;.6;44;null;
2013-03-31;0;121.3;146.1;146.1;210.7;7.8;null;432.7;994.4;32.9;27;23.6;83.8;2.6;.5;42.5;null;
2013-04-30;0;58;132.3;125;192.8;7.9;null;91.4;996.2;31.8;25.7;22.2;83.2;2;.4;42.9;null;
2013-05-31;0;107.1;130.9;63.2;210.5;7.2;null;18.9;997.2;31.6;24.6;20.1;80.6;2.5;.3;42.7;null;
