Nome: RONCADOR
Codigo Estacao: 83373
Latitude: -15.94638888
Longitude: -47.88416666
Altitude: 1104.94
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2017-09-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;32;62.2;null;null;null;8.8;18;null;892.2;25.6;20.5;16.8;83.6;7;1.9;55;null;
2012-02-29;0;102.1;null;null;null;6.5;11;null;892.2;27.6;20.9;16.3;76.3;9;2.2;61.4;null;
2012-03-31;0;109.8;null;null;181.8;6;15;194;892.6;27.9;21.5;16.7;77.4;7;1.6;63.8;null;
2012-04-30;0;122.5;null;null;222.6;5.5;12;62.9;892.7;28.1;21.5;16.6;75;7;1.8;62;null;
2012-05-31;14;88;null;null;null;5.9;4;null;894.7;25;18.7;13.9;76.9;9;2.1;58.4;null;
2012-06-30;14;112.4;null;null;null;4;2;null;895.3;26;19;13.1;69.6;6;2;61.9;null;
2012-07-31;5;160.3;null;null;null;3.2;null;null;895.5;25.8;18.6;12.3;59.9;9;2.6;56.5;null;
2012-08-31;14;185.2;null;null;null;2.9;null;null;896.6;26.2;18.5;12.6;50.1;9;3.6;49.7;null;
2012-09-30;0;283.8;null;null;222.7;4.7;3;54.8;894.6;30.1;22.3;15.7;47.5;7;2.3;32.2;null;
2012-10-31;5;277.4;null;null;266;4.7;11;63.1;892.1;30.2;22.5;16;56.8;7;2.1;36.3;null;
2012-11-30;32;112.5;null;null;109.3;8.3;20;330.9;890.7;26.8;21.4;17.9;82.2;7;2;51.4;null;
2012-12-31;0;null;null;null;null;6;7;null;891.4;28.7;22;17;73.9;9;1.7;60;null;
2013-01-31;5;null;null;null;null;7.9;13;null;892.1;26.1;21.1;17.5;82.1;7;1.9;53.4;null;
2013-02-28;0;136.9;null;null;191.9;6.2;10;163.8;892.1;28.6;22;16.5;73.2;9;1.9;64.8;null;
2013-03-31;0;113.8;null;null;166.8;7.1;17;176.9;892.6;28.2;22;17.4;79.9;7;1.8;59.8;null;
2013-04-30;0;101.2;null;null;192.3;5.9;12;116.4;893.5;26.4;20.1;15.1;80;6;1.5;61.9;null;
2013-05-31;14;152.6;null;null;267.4;3.2;4;29.5;894.2;26.9;19.4;12.8;70.6;6;2.1;55;null;
2013-06-30;14;125.6;null;null;236.2;4.5;3;11.8;895.2;25.8;19.4;14.6;74;7;2;53.3;null;
2013-07-31;14;193.8;null;null;237.3;2.6;null;0;896;26.4;18.3;12.3;63.6;7;2.4;49.1;null;
2013-08-31;5;null;null;null;null;2.9;null;null;895.1;28.1;19.6;12.6;49;7;3.1;47.8;null;
2013-09-30;14;232.9;null;null;182.5;5.5;5;null;894.1;29.6;21.9;16.1;56.6;9;3.5;44.7;null;
2013-10-31;0;195;null;null;189.2;6.6;11;125.9;892.8;28.1;21.4;16.4;70.3;7;1.9;50.4;null;
2013-11-30;0;134.9;null;null;177;7.1;17;110.8;891.1;27.5;21.5;17;77.9;6;1.2;60.5;null;
2013-12-31;0;103.5;null;null;142.2;8;19;180.6;890.6;27.2;21.6;17.9;83.3;7;1.6;59.2;null;
2014-01-31;0;null;null;null;null;6.2;4;null;893.1;27.9;21.2;16.4;75.8;7;1.8;64.1;null;
2014-02-28;5;117;null;null;126.7;7.3;11;null;892.3;27.3;21.2;17;78.5;7;2.3;62.4;null;
2014-03-31;0;81.4;null;null;158.6;7.4;21;441.1;892.6;26.8;21;17;84.5;9;1.6;60.2;null;
2014-04-30;0;98.3;null;null;212;5.6;13;169.8;893.1;27.2;20.8;16.4;80.2;7;1.6;60.1;null;
2014-05-31;14;131.3;null;null;276.2;3.2;4;11.8;894.1;26.5;19.5;13.6;71.5;7;1.9;61.2;null;
2014-06-30;0;119.9;null;null;198.1;3.9;1;null;895.5;25.7;18.4;13;70.7;7;1.4;56.3;null;
2014-07-31;14;158.5;null;null;null;3.6;2;null;897.2;25.4;17.8;12.2;65.3;7;2.5;55.3;null;
2014-08-31;14;null;null;null;null;1.9;null;null;895.4;28.7;20.6;15;49.8;9;3.4;47.2;null;
2014-09-30;0;304.3;null;null;256.7;3.2;2;8.8;893.8;30.9;22.7;16.6;50.9;7;2.2;48.5;null;
2014-10-31;0;280.2;null;null;235.7;4.8;10;156.2;893.4;30.3;22.3;16.3;58.7;9;2.1;51;null;
2014-11-30;0;116.8;null;null;165;7.6;21;314.4;891.6;27.7;21.5;16.7;78.7;9;1.4;67.3;null;
2014-12-31;0;85.6;null;null;null;7.4;13;null;892.5;25.8;20.5;16;83;7;1.6;68.5;null;
2015-01-31;0;179;null;null;221.4;5;5;null;893.4;29.8;22.1;15.4;67.5;7;1.7;69;null;
2015-02-28;0;null;null;null;null;6.7;6;null;893.2;27.2;21.3;16.9;77;7;2.4;62.4;null;
2015-03-31;0;78.3;null;null;124.5;7.8;19;334.1;892.9;26.3;20.5;16;85.7;5;1;62.6;null;
2015-04-30;0;92.2;null;null;167.3;6.4;11;100.2;893.3;27.3;21;15.8;82.9;7;1;63.1;null;
2015-05-31;0;89.1;null;null;206.3;5;6;28.6;895;25;18.7;12.8;81.2;7;1.1;61.3;null;
