Nome: GOIAS
Codigo Estacao: 83374
Latitude: -15.93972221
Longitude: -50.14194444
Altitude: 508.68
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-10-02
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;95.5;115.4;115.4;131.4;9.1;26;549.7;954.6;31.4;24.4;20.6;null;4;2.3;48.3;null;
2012-02-29;5;132.8;128.6;128.6;181.7;7.6;21;248.4;954.2;33.3;25.1;20.5;75.3;4;2.3;58.7;null;
2012-03-31;5;161.9;136.1;136.1;210.1;7;14;143.7;954.5;34.5;26;21.2;72.7;4;2.2;56.9;null;
2012-04-30;0;169.9;134.4;119.3;235.6;5.6;7;73.9;954.4;35.3;26.7;21.6;69.8;4;2;58.7;null;
2012-05-31;5;225.9;106.4;44.3;241;4.9;3;10.7;956.5;33.4;24.8;19.7;63.3;5;2.4;58.1;null;
2012-06-30;9;217.2;103.7;52.1;263.5;3.4;4;42.5;957.3;34.1;25.1;19.6;61.9;5;2.1;59.3;null;
2012-07-31;5;313.2;101.3;7.4;273.4;2.2;1;.2;957.5;34.3;24.5;18.3;49;5;2.5;58.8;null;
2012-08-31;5;439.5;125.9;3;281.5;1.5;0;0;958.6;34.8;26;20.5;37.9;5;2.7;55.9;null;
2012-09-30;0;389.8;167.4;13.3;238.2;5.6;5;12.4;956.6;37.8;28.4;22.4;32.2;5;2.2;45.1;null;
2012-10-31;0;346.5;196.1;21.8;239.6;5.6;6;21.6;953.3;38.1;29.2;23.5;49.4;4;2.2;52.6;null;
2012-11-30;32;97.1;127.5;127.5;130.2;8.5;26;285;952.8;32;25.5;21.8;80.5;4;2.3;56.9;null;
2012-12-31;27;140.3;156.3;155.2;211.4;7.3;19;140.8;953.3;34;26.8;22;73.2;4;2.1;55.8;null;
2013-01-31;32;92.5;126.2;126.2;89.1;8.4;26;376.3;954.6;31.1;25.1;21.7;null;3;1.9;53.3;null;
2013-02-28;32;99;116.7;116.7;155.5;7.5;19;117.9;953.9;34.3;26.2;21.4;75.3;4;2.2;57;null;
2013-03-31;27;107.7;137.9;137.7;187.1;7.4;22;131;954.3;34.1;26.2;21.9;77.2;4;2.2;57.1;null;
2013-04-30;5;127.7;117.8;115.1;196.6;6.4;6;99.4;955.5;33.4;25.6;21.2;71.7;5;2.3;57.9;null;
2013-05-31;0;217.6;112;72.9;273.6;2.6;2;29.1;956.1;34.4;25.2;19.4;62;4;1.9;59.1;null;
2013-06-30;32;191.3;99.9;28.6;235.2;4.5;4;8.3;957.1;33.6;24.7;19.4;64.4;5;2.2;57.3;null;
2013-07-31;5;261.9;98.7;8.5;285.3;1.1;0;0;957.9;34.1;24.3;18;51.2;5;2.3;58.2;null;
2013-08-31;5;330.3;127.3;3.6;289.7;2.3;0;0;956.7;35.8;26.1;19.4;42.2;5;2.4;55.3;null;
2013-09-30;5;316.6;158.1;27.9;226.5;4.8;4;26.9;955.8;36.7;27.9;22.4;43.3;5;2.5;54.5;null;
2013-10-31;5;188;154.7;144.9;204.9;7.4;12;144.9;954.4;35.6;27.1;22.3;66.1;4;2.3;56.1;null;
2013-11-30;27;117.3;127.4;127.4;168.6;7.8;20;232;953.2;33.1;25.5;21;77.7;5;2.3;56.9;null;
2013-12-31;32;89.3;133.6;133.6;177.1;8;27;315.5;952.7;32.3;25.4;21.4;81.8;4;2.4;56.3;null;
2014-01-31;0;137.2;136;136;215.7;7.7;24;223.6;955.4;34;25.7;20.6;null;5;2;53.3;null;
2014-02-28;36;127.3;115.3;115.3;142.6;7.7;18;232.6;954.1;33.2;25.5;20.8;75.6;4;2.4;57.4;null;
2014-03-31;5;96.2;125.1;125.1;172.9;7.4;20;257.6;954.8;33;25.5;21;79.6;4;2.5;56.9;null;
2014-04-30;27;117.1;119.2;110.5;218.5;6.4;15;74.3;955.3;33.6;25.7;21.3;78.7;4;2.4;57.2;null;
2014-05-31;36;117.2;107.8;42.1;264;1.9;1;.4;956.6;34;24.9;19.2;null;4;2.2;52.9;null;
2014-06-30;5;194.3;94.8;14.3;241.8;3.2;2;1.1;957.1;33.5;24.3;18.7;61.9;4;2.4;58.1;null;
2014-07-31;5;95.7;102.6;6;253.7;3;1;.6;959.1;33.3;24.5;18.6;50.9;5;2.7;58.4;null;
2014-08-31;5;284.5;136.8;2.3;278;1.7;0;0;957.2;36;26.6;19.8;40.8;5;2.2;54.2;null;
2014-09-30;5;339.5;174.8;34.9;245;4.9;6;38.8;955.3;37.9;28.8;22.9;50;5;2.4;54.4;null;
2014-10-31;5;326.1;189.6;66.5;229.9;5.6;6;66.4;954.7;37.6;28.9;22.9;47.3;5;2.2;54;null;
2014-11-30;32;141.9;138.8;138.8;163.5;7.8;17;256.3;953.6;33.5;26.2;21.6;74.3;4;2.3;57.1;null;
2014-12-31;5;116;128.7;128.7;144.1;7.9;24;227.5;954.2;30.1;25;21.4;78.5;4;2.4;56.9;null;
2015-01-31;0;148.9;149.8;149.8;249.9;6.1;21;153.1;955.5;33.9;26.4;21.4;null;4.1;1.9;53.8;null;
2015-02-28;5;116.9;113.9;113.9;165.7;7.5;19;442.9;954.8;31.6;25.3;21.3;77.7;4;2.6;57.4;null;
2015-03-31;32;95.1;114.5;114.5;148.5;8;26;252.4;954.8;30.9;24.9;21;81.3;6;2.3;57.7;null;
2015-04-30;0;104.6;117.8;109.6;186.9;6.7;15;74.4;955.1;32.4;25.6;21.6;79.8;4;2.1;56;null;
2015-05-31;5;158;103.8;88.9;228.9;5;8;70.7;956.9;32.1;24.6;19.9;69.5;5;2;56.9;null;
2015-06-30;5;182.8;98.6;29.2;250.8;3.5;0;0;957.4;33.3;24.6;19.4;60;5;2.7;57.7;null;
2015-07-31;5;272.8;114.9;13.8;254;2.8;2;2;957.8;33.9;24.5;18.3;54.8;5;2.3;58.9;null;
2015-08-31;36;326.9;132;8.4;283.7;1.2;1;4.4;957.3;36.4;26.5;19.9;44.8;5;2.3;54.7;null;
2015-09-30;0;340.9;184.6;27;251;2.6;2;25.8;954.3;39.5;29.3;22.2;48.2;4;2;49.1;null;
2015-10-31;0;299.1;142.4;65.2;236.3;5;4;65;954;null;null;23.5;50.3;4;2;45.7;null;
2015-11-30;27;196.7;142.1;81.3;187.6;7.2;13;81.8;952.9;null;null;23;66.9;4;2.4;57.6;null;
2015-12-31;27;169.6;149.1;145.2;196.6;7;19;148.5;954.8;null;null;22.3;72.1;4;2.2;57.1;null;
2016-01-31;27;62.7;148.1;148.1;104.7;8.7;27;461.6;953.8;null;null;22.1;null;4;2.3;52.3;null;
2016-02-29;27;145.6;134.9;134.6;188.3;7.1;17;126.3;954.8;null;null;22.3;76.1;4;2.3;58.6;null;
2016-03-31;27;129.4;139.4;139.4;196.2;6.3;13;180.3;955.1;null;null;22.3;74.3;4;2.2;59;null;
2016-04-30;36;206.7;129.7;72.7;279.4;2.9;0;0;954.9;null;null;21.6;58.1;4;2.1;57;null;
2016-05-31;5;197.8;129.6;21;249.7;3.7;2;1.2;956.6;null;null;21.5;56;4;2.4;58.2;null;
2016-06-30;9;252.6;123.3;5.4;245.5;2.6;0;0;958.3;null;null;18.8;53.1;5;2.4;59;null;
2016-07-31;0;337.8;128.3;1.6;280.8;.9;0;0;957.5;null;null;18.9;46.3;4;2;57.8;null;
2016-08-31;5;328.4;132.1;47.7;264.6;3.2;3;47.4;956.7;null;null;20.6;42.5;4;2.3;57.3;null;
2016-09-30;0;352.4;132.9;63.7;229;6.1;5;64.5;955.7;null;null;22.6;43.7;4;2;52.2;null;
2016-10-31;36;200.2;154.8;117.7;215.2;6.6;13;117.7;954.4;34.4;27.1;22.1;62.3;4;2.3;56.3;null;
2016-11-30;5;124.2;133.9;133.9;144.7;8.2;19;288.9;953.3;31.9;25.8;22.1;75.4;4;2.2;55.8;null;
2016-12-31;5;151.6;145.5;144.3;191.8;7.3;12;129.6;953.9;32.6;26.2;22.1;71.5;4;2.2;59.1;null;
2017-01-31;0;145.8;142.8;142.8;174.8;7.8;16;190.5;954.7;32.3;26.1;21.8;null;4;1.8;50.5;null;
2017-02-28;27;95.1;112.4;112.4;155.9;7.7;23;236.2;954.4;31.5;25.2;21.3;78;4;2.2;58;null;
2017-03-31;32;122.6;125.1;125.1;197.2;7.1;17;290.1;954.3;32.4;25.8;21.7;77.6;4;2.3;61.3;null;
2017-04-30;5;148.2;123.7;123.7;220;5.6;11;105.4;955.2;32.6;26;21.9;73;4;2;57.2;null;
2017-05-31;36;188.8;116.3;88.6;253.6;2.8;4;31.3;956.4;32.9;25.5;20.8;62.8;4;2.1;59.5;null;
2017-06-30;5;243.6;94.8;26.2;261.4;2.9;0;0;957;32.1;24.6;19.5;59;4;2.4;59.4;null;
2017-07-31;5;357.6;80.6;9.2;282.1;.8;0;0;960.3;30.6;22.8;17.7;47.5;5;2.7;59;null;
