Nome: PIRENOPOLIS
Codigo Estacao: 83376
Latitude: -15.85472222
Longitude: -48.96611111
Altitude: 766.92
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;27;94.7;99.8;99.8;122;8.7;27;326.8;926.7;28.7;22.7;19.2;83.4;6;1.3;65.3;null;
2012-02-29;27;110.3;97.5;97.5;151.8;7.7;20;179.5;926.9;30.4;23.2;18.6;78.8;5;1.6;68.5;null;
2012-03-31;27;138.5;106.5;106.5;200.3;6.7;17;203.8;926.8;31.4;23.8;18.7;75.6;5;1.4;68.9;null;
2012-04-30;27;129.5;102.4;102.4;215.2;6.4;16;163.2;927.2;31.7;24.1;19.1;75.7;5;1.5;68.8;null;
2012-05-31;14;160;81.5;67.4;224.1;5.7;8;23.3;929.1;30;22.2;17.2;69.4;8;2.2;69.7;null;
2012-06-30;32;162.6;75.7;45.3;243.3;4.6;8;22.1;930;30.6;21.9;16.3;67.6;5;1.8;69.2;null;
2012-07-31;5;223.2;72.3;24;270.7;3.5;2;8.6;930.1;31;21.2;14.3;55.4;6;2;66.6;null;
2012-08-31;5;305.6;84.1;9.8;277.1;3;0;0;931.2;31.1;22.3;15.4;43.5;9;3.4;65.9;null;
2012-09-30;5;297.4;120.5;14;233.3;5.2;5;9;928.9;34.4;25.4;18.3;43.4;7;2.4;59.3;null;
2012-10-31;5;274.3;137.4;85.4;252.7;6.4;8;84.4;926.2;34.5;26;19.7;52.1;7;2.4;64.7;null;
2012-11-30;27;90.2;107.5;107.5;135;8.8;22;289.1;925.4;29.5;23.7;20;81.6;6;1.5;67.3;null;
2012-12-31;27;121.4;120.3;120.3;188.4;7.5;20;202.5;925.9;31.3;24.3;19.5;76.6;4;1.4;67.3;null;
2013-01-31;27;82.7;106.9;106.9;120.5;8.7;28;501;926.7;28.9;23.3;19.9;83.9;4;1.4;62.6;null;
2013-02-28;27;109.5;100.6;100.6;156;8;19;231;926.6;31.4;23.9;19.2;78.1;3.1;1.4;68;null;
2013-03-31;27;96.3;110.2;110.2;139.6;8.1;23;312.1;927;30.6;24.1;19.9;81.2;5;1.5;66.3;null;
2013-04-30;27;116.3;92.8;91.4;183.6;7.5;10;75.5;928.1;30.4;23.2;18.8;75.8;5;1.6;68.7;null;
2013-05-31;32;167.6;82.6;73.9;257.1;4.4;3;51.2;928.8;30.9;22.2;16.2;67.4;6;2;67.8;null;
2013-06-30;32;140.1;74.8;48.4;222.9;5.8;7;23.9;929.6;30.1;21.8;16.3;70.8;6;1.8;67.8;null;
2013-07-31;5;221.5;72.3;19;274.5;3;0;0;930.5;31;21.2;14.6;57.9;7;2.2;66.8;null;
2013-08-31;5;293.2;93.2;15;272.3;3.9;2;4.4;929.3;32.5;22.8;15.9;46.2;7;2.4;66.6;null;
2013-09-30;5;281.9;119.1;19.3;221.7;6.3;5;14.5;928.2;33.8;25.2;18.6;49.5;8;3.2;65.6;null;
2013-10-31;32;182.7;118.6;118.6;185.6;7.5;18;144.2;927.3;32;24.6;19.4;66.8;7;1.9;68.3;null;
2013-11-30;27;117.5;109.8;109.8;153.3;8.3;21;264.6;925.7;30.7;23.9;19.2;75.2;7;1.7;68.4;null;
2013-12-31;27;87.8;115.1;115.1;137;8.5;26;343.9;925.4;30;23.9;20;81.7;5;1.4;66.7;null;
2014-01-31;27;123;110.6;110.6;198.9;7.6;22;270.1;927.7;31;23.6;18.4;75.1;5;1.6;68.8;null;
2014-02-28;27;119.8;95.2;95.2;146.1;8.1;17;252.3;926.7;30.7;23.7;19.2;74.5;7;1.8;67.5;null;
2014-03-31;27;94.2;104.3;104.3;154.2;8.1;22;277.1;927.3;30.3;23.6;19.2;79.9;7;1.6;68.9;null;
2014-04-30;27;84.9;98.1;98.1;189.2;6.6;22;298.5;927.9;30.4;23.5;19.2;80;5;1.6;68.8;null;
2014-05-31;32;152.5;82.6;58.6;253;4.8;1;4.3;928.7;30.9;22.2;16.2;67.1;4;1.6;68.4;null;
2014-06-30;5;162.4;67.8;22.6;232.2;4.6;1;.1;930.1;30.1;21;14.8;64.7;6;2;67.7;null;
2014-07-31;5;220.8;74.1;14.5;242;4.2;1;2.6;931.7;30.1;21.4;15.3;55;6;2.4;67.2;null;
2014-08-31;5;297.7;90.1;6.7;279.1;2.5;0;0;930.1;32.9;22.9;15.3;42.9;7;2.7;65.5;null;
2014-09-30;5;268.6;122.8;66.8;240.3;5.5;6;64.8;928.1;34.3;25.6;19.2;50.8;6;2.4;61.4;null;
2014-10-31;5;272.3;131.7;47.2;233.1;6.3;12;45.7;927.4;33.9;25.6;19;51.9;7;2.3;63.5;null;
2014-11-30;27;113.5;113.4;113.4;141.5;8.2;20;179.2;926.3;30.9;24.1;19.8;76.6;4;1.5;69.3;null;
2014-12-31;27;98.9;108.9;108.9;118.2;8.2;26;317.1;926.9;29.3;23.4;19.3;79.2;6;1.6;67.1;null;
2015-01-31;32;154.7;124.7;124.5;237.9;6.6;13;117.8;927.8;32.7;24.7;18.8;70.1;6;1.7;69.2;null;
2015-02-28;27;103.8;97.3;97.3;143.6;7.5;19;151.3;927.4;30.2;23.6;19.2;78.2;5;1.6;67.9;null;
2015-03-31;32;78.3;99.7;99.7;124.1;7.9;26;283.2;927.5;29.8;23.2;19.2;82.8;4;1.3;69.1;null;
2015-04-30;32;80.9;97;97;157.7;7.8;25;289.4;927.8;30.8;23.6;19.5;83.2;3;1.2;68.8;null;
2015-05-31;5;126.9;86.5;73.4;219.4;5.7;7;30.4;929.3;30;22.6;17.7;71.8;6;1.9;69.2;null;
2015-06-30;5;168.6;73.9;29.8;240.9;4.5;0;0;931.1;29.9;21.7;16;63.5;7;2.6;68.6;null;
2015-07-31;5;215;75.9;16.1;247;4.5;1;1.8;930.5;31;21.6;14.5;57.5;6;2.2;68.5;null;
2015-08-31;5;293.8;94.3;8.1;279.2;2;1;.2;929.7;33;23.3;15.6;44.3;7;2.4;67.1;null;
2015-09-30;5;291.6;126.7;51.8;231.6;4.7;6;49.1;927.3;35.4;25.9;18.2;47.2;4;1.9;62.4;null;
2015-10-31;5;279.6;150.1;51.3;233.1;6.2;6;66.1;926.9;35.9;26.8;19.5;50.8;8;2.1;63.8;null;
2015-11-30;27;141.6;127.5;127.5;191.6;7.9;18;277.2;926.1;33;25.3;20.1;72;7;1.9;68.4;null;
2015-12-31;27;146.7;132.3;132.3;185.3;7.8;15;244.4;927.6;32.6;25.2;20.1;72.6;4;1.6;68.7;null;
2016-01-31;27;69.9;111.8;111.8;84.2;9;30;455.2;926.4;28.8;23.7;20.8;86;4;1.4;63.8;null;
2016-02-29;27;128.1;114.9;114.9;174.1;7.2;16;141.7;927.8;32.2;24.7;19.8;74.9;5;1.7;68.6;null;
2016-03-31;27;122.4;116.2;116.2;169.4;7.6;18;176.3;928.3;31.6;24.6;20.3;76.4;5;1.6;68.4;null;
2016-04-30;32;201.9;109.2;70.4;251.3;4.4;2;6.1;927.8;33.1;24.6;18.2;63.5;5;1.8;70;null;
2016-05-31;5;193.6;96.9;26.4;235.5;5.3;2;5;929.7;32.8;23.5;17.5;62.7;6;1.9;69.4;null;
2016-06-30;5;204;74.8;7.5;245.2;4.7;0;0;931.1;31.8;21.8;14.9;57.2;5;2.1;69.3;null;
2016-07-31;5;264.9;77.9;3.6;277.7;2.4;0;0;930.5;32.4;21.8;14;49.1;6;2.2;67.5;null;
2016-08-31;5;293.3;97.6;18.2;245.5;4.6;2;16.5;929.3;33.2;23.8;16.5;48.4;7;2.3;65.7;null;
2016-09-30;5;305;126.8;37.6;226.8;6.5;9;36.8;928.2;35.1;25.9;19.1;48;7;2.5;62;null;
2016-10-31;27;196.9;125.2;125.2;199;7.3;16;162;926.6;32.7;25.1;19.4;64.8;6;1.9;66.9;null;
2016-11-30;27;113.1;112.3;112.3;113.9;8.7;20;341.9;926.2;30.3;24.1;20;77.4;7;1.9;66.9;null;
2016-12-31;27;141.7;122.9;122.9;177.7;7.5;19;123.5;926.6;31.2;24.5;19.6;73.9;6;2.1;69.5;null;
2017-01-31;27;137.1;119.4;119.4;167.9;7.8;18;141.1;927;31.4;24.3;19.2;75.4;6;1.9;69.6;null;
2017-02-28;27;95.6;98.4;98.4;139.2;8.1;18;249.1;926.9;30.5;23.7;19.5;79.3;6;2.2;67;null;
2017-03-31;27;106.6;109;109;182.3;7.5;21;195.1;927.3;31.3;24;19.2;80.1;5;1.5;69.2;null;
2017-04-30;27;118;101.4;101.4;205.9;6.9;19;303.1;927.8;31.3;24;19.2;77.8;5;1.9;67.4;null;
2017-05-31;5;163;92.7;69.9;240.4;5.1;6;16.6;928.8;31.2;23.2;17.9;69.8;6;2;69.8;null;
2017-06-30;5;210.9;73;24.2;249.2;4.3;0;0;930.4;30.3;21.6;15.7;61.4;7;2.3;71.9;null;
2017-07-31;5;264.6;60.4;10.2;281.9;2;0;0;933;28.9;19.8;12.8;50.6;8;3.6;69.9;null;
2017-08-31;5;349.3;96.4;7.6;272.5;3;0;0;929;34.2;23.4;15.3;41.6;7;2.4;63.8;null;
2017-09-30;5;401;124.1;10.6;254.2;3;1;7.4;929.5;34.1;25.7;18.8;35.4;7;3.9;66.7;null;
2017-10-31;5;310.4;148.6;83.4;243.4;5.7;8;79.2;926.5;35.4;26.8;19.9;45.9;7;2.8;64.4;null;
2017-11-30;27;119.9;114.7;114.7;131;8.3;20;270.3;925.9;30.8;24.2;20.1;75;6;2.1;69;null;
2017-12-31;27;87.5;112.6;112.6;109.8;8.4;24;319.9;926.3;29.5;23.7;19.6;79.9;4;1.7;67.2;null;
2018-01-31;27;null;116.9;116.9;171.7;7.8;20;141.9;926.9;31;24.1;19.2;74.7;5.1;1.9;97.6;null;
2018-02-28;27;null;102.9;102.9;137.9;8.1;18;189.9;926.3;30.6;23.9;19.6;77.6;4.1;1.7;97.8;null;
2018-03-31;27;null;115.1;115.1;175;7.8;17;165.4;926.8;31.1;24.5;20.2;78.3;4.1;1.7;97.9;null;
2018-04-30;32;null;93.8;93.8;155.3;7.6;14;123;928.8;30.1;23.3;18.9;76.1;6.2;2.2;97.9;null;
2018-05-31;32;null;78.7;72.4;240.9;4.3;2;40.9;929.8;30.4;21.8;16;65.4;7.2;2.5;98;null;
2018-06-30;5;null;71.2;34.9;237.4;4.2;0;0;930.9;30.5;21.4;15.5;60.6;7.2;2.4;98;null;
2018-07-31;5;null;72.3;17.3;270.8;2.2;0;0;930.7;31.3;21.2;14.1;52.9;10.3;2.4;97.9;null;
2018-08-31;5;null;103.1;18.1;227.8;5.5;6;8.1;929.9;33.3;24;17.3;48.8;7.2;2.5;97.8;null;
2018-09-30;32;null;119.1;84;230.4;5.5;null;0;927.2;34.8;25.3;17.5;46.4;7.2;2.6;97.7;null;
2018-10-31;27;null;123.8;123.8;156.9;8.5;26;209.8;926.7;32.4;25;20.5;74;6.2;1.9;97.8;null;
2018-11-30;27;null;108.6;108.6;114.1;8.9;23;279.9;926.6;29.5;23.8;20.1;79.9;7.2;2;97.6;null;
