Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;78.3;84;84;104.8;8.4;25;269.9;1010.5;885.8;25.4;20.5;17.3;79.8;9;1.9;61.2;
2012-02-29;0;115.3;85.2;85.2;184.2;6.9;14;114.9;1010.2;886.1;26.9;21.5;17.6;71.2;9;2.7;63.1;
2012-03-31;0;137;91.7;91.7;187.5;6.2;16;196.9;1010.5;886.5;27.6;21.9;17.8;69.9;7;1.8;65.1;
2012-04-30;0;124.9;88;88;200.2;6.2;9;121.3;1010.3;886.6;27.8;22.2;18.2;69.7;7;1.8;64;
2012-05-31;14;112.5;65.8;64.5;175.3;6.1;8;44.4;1014.1;888.4;25;19.5;15.5;72.4;9;2.3;65.3;
2012-06-30;14;143.7;68.5;43.2;236.4;4.1;1;2.4;1014.6;889.3;26.2;20.3;15.6;63.3;9;2.2;68.3;
2012-07-31;5;214.4;66.7;21.2;251.7;3.2;1;.2;1015.1;889.4;26.1;19.8;14.1;49.7;10;2.5;64.8;
2012-08-31;14;259.7;69.4;11.2;283.3;2.8;0;0;1016.6;890.7;26.1;19.8;14.6;45;12;4.5;63.4;
2012-09-30;5;280.5;99.5;38.3;238;4.5;3;32.9;1012.2;888.8;29.9;23.4;18.2;42.6;10;2.6;60.4;
2012-10-31;14;266.3;108.8;108.8;232.4;5.1;9;109.8;1008.9;886.1;30.2;23.8;18.5;48.6;7;2.2;61.9;
