Nome: FORMOSA
Codigo Estacao: 83379
Latitude: -15.54916666
Longitude: -47.33888888
Altitude: 938.68
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;100.2;96;96;148;8.1;23;284.5;909.3;27.2;22.1;18.6;78.4;4.5;1;62.9;null;
2012-02-29;0;143.1;99.6;90.5;201.6;6.8;13;53.8;909.3;28.6;23.3;19.4;69.3;3.4;1;66.1;null;
2012-03-31;0;149.6;106.2;106.2;229;5.8;15;137.7;909.8;29.3;23.6;19.7;68.3;2.5;.8;66.9;null;
2012-04-30;0;160;104.1;99.6;255.3;5.3;8;77.9;909.9;30;24.1;19.9;65.6;2.5;.8;68.5;null;
2012-05-31;0;148.6;74.4;50.9;200;6.5;6;20.8;911.9;26.8;21.3;17.5;69;5.8;1.1;66.9;null;
2012-06-30;0;196.9;80.2;30.3;278.2;3.5;3;8.6;912.6;28.3;22.1;17.2;57.8;3.5;1;69.2;null;
2012-07-31;0;260.8;null;null;298.4;2.4;0;0;912.9;27.8;21.3;15.8;49.1;6.4;1;68.1;null;
2012-08-31;9;352.2;78.5;8.2;302.7;3.4;0;0;914.3;27.4;21.3;16;43.3;6;1.7;64.7;null;
2012-09-30;0;357.5;116.6;8.8;268.5;2.8;2;4.2;911.9;31.2;25;19.6;38.4;4.4;1.2;59.8;null;
2012-10-31;0;353.6;131.2;51.2;262;4.7;7;50;909.2;31.9;25.6;20.2;45.4;5.4;1.1;61.7;null;
2012-11-30;0;112.5;101.7;101.7;130.2;8.2;24;269.1;907.9;27.5;23;20.3;81.3;3.8;.9;61.1;null;
2012-12-31;0;189.3;130.6;127.2;261.6;5.2;12;103.2;908.4;30.8;25.1;20.6;63.1;4.2;.8;67.6;null;
2013-01-31;0;124;103.6;103.6;132.6;8.2;21;350.4;909.2;27.1;22.7;19.8;80.3;6.3;.7;59.9;null;
2013-02-28;0;162.2;105.5;105.5;209.1;6.2;9;174.7;909.1;29.6;24.2;20;66.5;10;1;67;null;
2013-03-31;0;129.4;108.6;108.6;188.9;6.4;17;292.7;909.6;28.7;23.8;20.3;75.3;3;.7;65.1;null;
2013-04-30;0;108.9;86.2;86.2;190.8;6.1;11;89.7;910.8;27.5;22.2;18;76;3;.6;66.1;null;
2013-05-31;0;183.8;86.2;64.2;290.6;3.4;2;11.7;911.6;28.3;22.1;16.9;63.4;2.8;.8;65;null;
2013-06-30;0;156.8;75;46.4;259.3;4.1;2;28.9;912.6;27.3;21.5;16.5;64.3;2.7;.8;67.3;null;
2013-07-31;0;229.4;76.2;16;293.7;2.5;0;0;913.3;27.9;21.2;15.4;53.3;5;.9;67.2;null;
2013-08-31;9;312.1;87.7;8.2;309.8;3.1;0;0;912.3;29;22.3;16;44;5.5;1.4;65.6;null;
2013-09-30;9;272;104.3;59.9;248.5;5.8;5;57.7;911.3;30.5;23.9;18.1;51.7;4.3;1.6;63.2;null;
2013-10-31;0;211;108.4;108;199;6;12;108;910.1;29.2;23.6;19;62.1;4;1.1;63.2;null;
2013-11-30;0;150.2;103.8;103.8;190;6.9;14;188.6;908.3;28.7;23.3;19.3;71;3;.8;64.3;null;
2013-12-31;0;91.8;105.4;105.4;136.4;7.9;24;319.5;907.8;27.7;22.9;19.8;81.3;3;.8;63;null;
2014-01-31;0;180.7;112.7;109;221.5;6.2;14;84.8;910.2;29.2;23.6;19.1;67.1;3.5;.9;67.3;null;
2014-02-28;0;162.7;95.1;95.1;178.8;6.8;14;185;909.4;28.5;23.2;19.2;69.3;3.2;1;65.4;null;
2014-03-31;0;103.5;96.7;96.7;165.5;7.7;22;286.5;910.4;27.8;22.7;19.2;79.1;3.1;.7;66.9;null;
2014-04-30;0;121.4;96;96;226.1;5.5;13;152.1;910.4;28.5;23.2;19.2;74.1;2;.6;66.7;null;
2014-05-31;0;186.6;84.4;63.1;279.4;3.6;3;11.2;911.2;28.2;22.1;17;63.4;3;.7;69.5;null;
2014-06-30;0;200.5;69.2;30.8;254.6;3.8;2;9.1;912.8;27.2;21.1;16;61.1;3;.7;68;null;
2014-07-31;0;228;70.3;13.3;277.8;3.7;0;0;914.7;27;20.6;15.3;58;3.7;1.2;65.6;null;
2014-08-31;0;328.6;89.6;7.7;315.2;2;0;0;913.1;29.5;22.5;16;41.1;5.3;1;65.8;null;
2014-09-30;0;354.8;119.9;5.8;281.9;3.2;1;2.1;911;32.3;25.3;19.4;42.9;4.7;1.1;63.2;null;
2014-10-31;9;346.6;128.5;67.5;255.2;4.6;5;66.7;910.4;31.6;25.1;19.8;46.3;4;1.3;59.9;null;
2014-11-30;0;142.7;108.2;108.2;185.2;7.3;17;197.1;908.7;29.3;23.7;19.8;72.1;3.5;.8;64;null;
2014-12-31;0;120.4;103.1;103.1;156.1;7.5;21;230;909.7;27.5;22.7;19.1;76.8;3.3;.7;64.2;null;
2015-01-31;0;220.1;129.7;114.2;264.9;5;9;98.4;910.3;31;25;20;60;2.5;.9;67.9;null;
2015-02-28;0;139.3;94.1;94.1;177.1;7;18;243.2;909.9;28.2;23.1;19.5;71.6;2.5;.8;62.8;null;
2015-03-31;0;93.8;97.8;97.8;155.1;7.5;18;185.9;910.2;27.8;22.7;19.3;80.3;2;.7;63.3;null;
2015-04-30;0;103.3;95;95;186.1;7.2;15;162;910.5;28.7;23.3;19.7;77.4;2.2;.5;65.4;null;
2015-05-31;0;124.8;78;65.4;211.2;5.6;4;23.3;912.3;26.7;21.4;17.3;73.3;2.5;.8;66.1;null;
2015-06-30;0;184.1;70;29.1;263.8;3.4;0;0;914.2;26.8;20.9;16.2;61.6;4.2;.8;67.4;null;
2015-07-31;0;234.7;78.9;15.7;263.9;3.7;0;0;913.9;27.7;21.7;16.4;56.4;6;1;68.6;null;
2015-08-31;9;324.1;91.6;7.8;317.9;2.2;0;0;913.1;29.5;22.9;16.7;47;5;1.2;67.1;null;
2015-09-30;0;333.4;130.6;18.7;265.6;3.1;3;15.1;910.7;33.3;26.2;20.1;42.8;4;1.1;64.3;null;
2015-10-31;0;381;156.2;47.6;269.4;4.1;7;46.5;910;34.1;27.4;21.7;44.8;4.5;1.2;62.2;null;
2015-11-30;0;214.1;132;132;202.4;6.1;14;182.6;908.7;32;25.6;20.7;62.6;4.8;.9;64.2;null;
2015-12-31;0;219.6;135.7;86.6;242.3;6;11;79.5;910.4;31.6;25.4;20.5;60.7;2.7;.8;48.5;null;
2016-01-31;0;90.9;105.8;105.8;121.8;8.6;26;417.7;909.1;27.6;23;20.2;82.9;4;.9;60.6;null;
2016-02-29;0;172.1;116;116;244.4;5.7;8;127.3;910.3;30.5;24.8;20.2;66;3;1;68;null;
2016-03-31;0;170.4;116.4;116.4;211;5.9;13;63.3;911.3;30.2;24.6;20.5;69.2;3;.8;48.8;null;
2016-04-30;0;255.4;112.8;68.6;265.3;3.6;2;1.5;911.1;30.9;24.9;19.6;54.2;3.3;.9;55.7;null;
2016-05-31;0;225.2;97.9;21.6;273.2;3.8;1;1.2;912.8;30.2;23.4;17.9;55.9;3;.6;68.2;null;
2016-06-30;0;243;96.1;7.7;254;3.3;0;0;914.1;28.6;21.9;16.1;52.3;3;.7;69.3;null;
2016-07-31;0;286;85.3;2.7;306.8;2;0;0;913.6;29.3;22.2;15.8;45;4.5;.9;65.5;null;
2016-08-31;0;308;100.8;2.2;270.3;3.7;2;.9;912.4;30.4;23.6;17.5;44.9;2.8;.9;64.8;null;
2016-09-30;0;321.7;121.2;17;253.7;3.6;4;16.5;911.3;32.4;25.4;19.7;44.3;3.7;1;61.2;null;
2016-10-31;0;274.2;129.9;89.4;223.5;6.1;11;89.3;909.3;31.7;25.4;20.8;55.1;3.5;1;64.3;null;
2016-11-30;0;144.3;108.3;108.3;155.2;7.5;21;264.5;909;29;23.6;19.8;72.3;2;.7;64.1;null;
2016-12-31;0;159.3;118.2;118.2;207.7;6.8;17;229.1;909.6;29.3;24;19.8;70.4;3;.7;64.2;null;
2017-01-31;0;188.9;122.2;114.7;228.5;6.5;13;80.6;909.5;30.3;24.5;20.2;66.5;3.5;.9;65.8;null;
2017-02-28;0;104.3;99.2;99.2;137.1;8.1;22;243.4;909.6;27.9;22.9;19.4;78.7;2.2;.8;60.9;null;
2017-03-31;0;149.1;116.5;116.4;215.6;6.3;14;110.6;910;29.7;24.2;20;70.9;2.8;.6;67.1;null;
2017-04-30;0;162.8;110.7;96.9;242.8;4.8;6;58.7;910.5;29.4;24.2;19.8;67.5;2.8;.8;67.5;null;
2017-05-31;0;169.1;90.1;58.2;242.4;4.3;4;34.3;911.6;28.4;22.7;18.2;65.5;3;.7;65.8;null;
2017-06-30;9;228.4;74.1;16.8;288.9;2.7;0;0;913.3;27.6;21.5;16.3;54.4;8;1.1;68.8;null;
2017-07-31;9;274.4;59.2;6.8;288.8;2.6;0;0;916;25.3;19.2;14;49.2;6;1.6;68.2;null;
2017-08-31;5;321.9;98.6;5.3;311;1.6;0;0;912.1;30.5;23.2;16.2;37.2;3;1;64.8;null;
2017-09-30;9;338.9;98.1;2;287.1;2.6;0;0;912.9;29.6;23.3;17.4;40.5;3.8;1.4;63;null;
2017-10-31;9;330.4;140;17.4;198.4;4.3;5;16.6;909.4;33.1;26.3;20.4;42.1;3.5;1.3;63.4;null;
2017-11-30;0;132.9;103.8;103.8;138.6;8;25;330.8;908.3;28.3;23.2;19.8;75.1;2.7;.7;62;null;
2017-12-31;0;127.4;109.9;109.9;136.4;8.1;19;222.7;908.5;28.2;23.4;19.9;75.5;2;.6;63.2;null;
2018-01-31;0;null;112.7;112.7;194;7.2;17;129.2;909.2;29.1;23.7;19.6;70.1;3.1;.7;97.4;null;
