Nome: ARINOS
Codigo Estacao: 83384
Latitude: -15.91527777
Longitude: -46.10722222
Altitude: 523
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;135.7;147.8;147.8;null;6.5;14;174.6;954.1;31.1;25.1;20.8;74.2;10;.9;58.5;null;
2012-02-29;0;170.6;138.2;91.1;null;4.6;7;22.6;954.2;32.7;26.1;20.9;65.5;3.6;.8;59.1;null;
2012-03-31;0;183.6;142.6;86;null;5.1;7;69.7;954.6;33;26.1;21;65.7;3.1;.7;59;null;
2012-04-30;0;194.3;134.3;11.2;null;3.3;0;0;954.5;34.1;26.4;20.6;61.3;4.1;.7;59;null;
2012-05-31;0;175.4;126.3;8.3;null;4.5;5;5.5;957.1;30.6;23.7;18.5;64.7;3.6;.8;59.4;null;
2012-06-30;0;194.2;123.4;.8;null;2;0;0;957.6;32.5;24.1;17.5;57.8;5.1;.8;60;null;
2012-07-31;0;233.7;124.4;.2;null;1.5;0;0;958.1;31.8;22.9;15.2;49.9;5.7;1;60;null;
2012-08-31;9;308.3;130;.1;null;2.5;0;0;959.7;31.7;23.8;16.4;43.8;8.8;2.2;60;null;
2012-09-30;0;318;138.6;2;null;2.2;1;2;956.9;35.5;26.9;19;40;5.1;1.3;58;null;
2012-10-31;0;356.2;153.5;7.2;null;3.2;4;7.2;953.9;36.6;28.3;19.8;41.2;5.1;1.2;59.7;null;
2012-11-30;0;122.7;142.1;142.1;null;7.8;23;282.6;952.8;31.5;25;19.3;76.9;4.1;.8;56.3;null;
2012-12-31;0;209.5;158.8;104;null;4.5;9;32.2;953;35.2;27.6;19.3;59.5;4.1;.8;60;null;
2013-01-31;0;132.2;146.6;146.6;null;7.1;21;292.7;954.3;31.5;24.8;18;76.9;3.1;.7;57.9;null;
2013-02-28;0;160.4;135.2;125;null;4.3;7;86.5;954.1;33.6;26.7;21.1;64.9;3.6;.7;59.1;null;
2013-03-31;0;147.8;145;145;null;5.1;1;209.9;954.5;33.2;26.5;21.9;72.5;4.6;.7;59;null;
2013-04-30;0;119.5;126.7;102.8;null;4.7;null;48.6;955.7;30.8;24.4;19.9;74.9;3.6;.7;59.8;null;
2013-05-31;0;162;126.5;42.7;null;2.4;null;11.4;956;31.1;23.7;17.6;65.4;4.6;.6;59;null;
2013-06-30;0;142.6;120;35.5;null;2.9;null;26.7;956.9;30.5;23.1;17.2;66.5;2.6;.5;59.4;null;
2013-07-31;0;195.2;124.7;6.4;null;1.2;null;2.4;957.7;31.3;23;16.1;56.5;8.2;.9;59;null;
2013-08-31;0;266.4;129.5;1.2;null;1.9;null;0;957;32.4;23.9;16.3;46.3;4.6;1.2;60;null;
2013-09-30;0;279.6;137;20.6;null;3.9;null;20.3;955.7;34.2;26.4;19.7;48.4;6.2;1;58.3;null;
2013-10-31;0;223.1;145.5;62.2;null;5.3;null;62.1;954.4;32.8;26.2;20.4;57.8;3.6;.8;58.9;null;
2013-11-30;0;204.5;147.4;87.5;null;5.4;null;87.5;952.3;33.3;26.5;21.2;62.7;4.1;.8;58.8;null;
2013-12-31;0;111.4;150.7;150.7;null;7.1;null;402.7;951.9;31.5;25.5;21.5;77.9;3.6;.7;58.2;null;
2014-01-31;9;181.8;155.5;125.8;null;4.4;null;67.1;954.6;32.7;26.4;21.1;62.2;4.1;.8;60;null;
2014-02-28;9;146.6;134.1;76.4;null;4.4;null;53.6;953.7;32.5;26.3;21.1;63.5;4.6;1.2;59;null;
2014-03-31;0;146.6;141.2;112.7;null;5.7;null;107.4;954.2;32.6;25.7;21.3;72.9;5.1;.8;59.7;null;
2014-04-30;0;127.3;133.1;35.2;null;3.7;null;26.6;954.6;32.4;26;21.6;68.6;5.5;.7;59.8;null;
2014-05-31;0;161.5;127.9;3.3;null;2.2;null;0;955.9;32;24.1;17.4;59.5;4.1;.6;60;null;
2014-06-30;0;166.9;119.3;7.9;null;2.9;null;7;957.7;30.7;22.9;16.7;61.5;7.2;.8;60;null;
2014-07-31;0;216.2;122.8;.3;null;2.4;null;0;959.5;30.7;22.5;15.6;56.2;4.6;1;60;null;
2014-08-31;0;264.4;129.1;.1;null;1.2;null;0;958.1;32.9;23.9;15.6;44.8;6.2;.8;60;null;
2014-09-30;0;337.6;140.6;0;null;1.7;null;0;955.8;35.6;27.4;19.3;38.1;5.7;1.4;59.7;null;
2014-10-31;0;348.7;152.1;19.8;null;3.4;null;17.8;954.8;35.6;27.8;20.9;43.4;6.1;1.2;59.5;null;
2014-11-30;0;189.3;148.5;94.4;null;6;null;94.4;953.3;33.7;26.8;21.7;64.6;3.6;.9;59.4;null;
2014-12-31;0;127.1;151.1;151.1;null;6.3;null;334.2;954.4;31.6;25.6;21.1;72.9;4.1;.7;58.9;null;
2015-01-31;0;264;159.8;89.4;null;3.9;null;12.3;955.1;35.2;27.9;21.7;53.6;3.6;.9;60.6;null;
2015-02-28;0;159.9;133;133;null;5.1;null;157;954.8;32.1;26;21.3;68.1;3.6;.8;58.6;null;
2015-03-31;0;122.5;140.4;118.9;null;5.6;null;104.9;954.9;31.5;25.4;21.2;76.3;4.1;.7;59.4;null;
2015-04-30;0;137.4;132.7;65.1;null;5.2;null;46.1;955.1;32.2;25.9;21.5;73;3.6;.6;59.8;null;
2015-05-31;0;95.2;126.1;13.5;null;3.7;null;3.8;957.5;29.9;23.6;18.6;69.6;3.1;.5;59.7;null;
2015-06-30;0;109.8;119.3;2.8;null;2.6;null;0;959.2;30.8;23;16.3;59.7;3.6;.7;60;null;
2015-07-31;0;211.9;126.3;.9;null;2.8;null;0;958.6;31.5;23.6;16.9;53.7;6.2;.9;60;null;
2015-08-31;0;298.7;131.2;.3;null;1.5;null;0;958.1;33;24.4;16.3;44.4;4.6;.7;60;null;
2015-09-30;0;364.8;144.1;2.8;null;2.4;null;2.7;954.8;37.5;28.4;19.7;38.5;4.1;.7;58.8;null;
2015-10-31;0;358;159;51.4;null;3.4;null;51.4;954.4;38.2;29.7;21;40.6;4.6;1;59.8;null;
2015-11-30;0;179.3;155.3;155.3;null;5.2;null;167.9;952.7;36.1;28.6;22.3;54.2;4.6;.7;59.3;null;
2015-12-31;0;175.7;161.2;54;null;4.9;null;45.4;954.7;35.7;28.1;22.4;57.3;4.1;.6;60;null;
2016-01-31;0;101.5;150.2;150.2;null;7.7;null;452.7;954;31.1;25.7;22.2;80.8;2.1;.6;57.1;null;
2016-02-29;0;183.3;144.3;111;null;3.5;null;49.9;955.2;34.6;27.8;22.1;61.6;3.6;.5;59.8;null;
2016-03-31;0;163.9;145.2;145.2;null;4.1;null;158.3;955.8;33.2;26.6;21.8;68.7;3.6;.5;59.5;null;
2016-04-30;0;207.6;133.9;45.7;null;2.6;null;8.5;955.6;34.1;26.5;20.3;59;4.6;.7;60;null;
2016-05-31;0;202.2;129.5;10.8;null;2.4;null;0;957.6;33.1;24.8;18;59.3;4.1;.4;60;null;
2016-06-30;0;203.7;119.2;7.7;null;2.5;null;4.9;959;31.5;22.9;16;57.4;5.2;.6;60;null;
2016-07-31;0;244.4;136;1;null;1.6;null;0;958.7;32.2;23.3;15.8;50.6;5.7;.8;60;null;
2016-08-31;0;267.1;134.2;8.3;null;2.5;null;8.1;957.6;33.7;25.2;17.4;47.2;5.1;.9;59.8;null;
2016-09-30;0;345.5;141.4;4.8;null;3.1;null;4.7;956.2;36.1;27.6;19.9;42;6.2;.8;58;null;
2016-10-31;0;285.5;151.8;151.8;null;4.6;null;206.6;954.2;35.3;27.8;21.8;53.2;5.5;.8;58.6;null;
2016-11-30;0;158;145.4;145.4;null;6.7;null;159.2;953.9;32.1;26;21.7;70.8;3.1;.7;58.3;null;
2016-12-31;0;177.4;154.7;120.3;null;5.2;null;86.3;954.4;33.4;26.5;21.8;66.8;5.1;.8;59.8;null;
2017-01-31;0;226;156.6;156.6;null;4.4;null;170;954.6;34.8;27.4;21.7;61.6;2.6;.6;59.7;null;
2017-02-28;0;133.6;131.6;131.6;null;6.2;null;162.9;955;31.7;25.6;21.3;72.9;5.1;.7;58;null;
2017-03-31;0;188.6;145;122.3;null;4.6;null;87.7;954.8;33.4;26.6;21.3;64.8;2.6;.4;60;null;
2017-04-30;0;180.8;135.5;34.3;null;3.5;null;1.3;955.5;33.8;26.7;20.9;60.1;2.6;.7;60;null;
