Nome: JANUARIA
Codigo Estacao: 83386
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 480
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;96.4;115.3;115.3;202.4;6.3;11;128.3;958.3;30.1;24.3;19.7;76.3;5.1;2;52.8;null;
2012-02-29;9;122;118.8;83.7;267.5;4.6;5;21.5;958.3;32.4;25.2;19.7;66.6;5.5;2.2;53.1;null;
2012-03-31;27;139;128.8;74.5;268;4.2;5;54.7;958;33.6;25.7;19.7;65.2;4.8;1.9;53.3;null;
2012-04-30;27;155.6;118.5;12.7;293.8;3.2;1;.2;958.2;34.4;25.7;18.7;59.2;4.8;1.9;53.3;null;
2012-05-31;9;133.8;91.6;27.3;243.6;4.2;4;24.6;961;31.3;23.5;17.6;64.7;5.6;1.8;54.1;null;
2012-06-30;9;146;84.9;1.6;293.3;2.2;0;0;961.8;32.3;23.2;15.8;59.1;4.8;1.9;53.3;null;
2012-07-31;9;183.5;77.4;.7;305.1;1.9;0;0;962.4;31.6;22.2;14.2;52.2;5.3;2.2;53.3;null;
2012-08-31;9;224.7;84;.3;291.4;2.5;0;0;964.3;31.1;22.7;15;47.2;7;2.8;53.3;null;
2012-09-30;9;236.6;119.9;.2;291.2;1.7;0;0;961.2;34.6;25.6;17.8;42.1;6.1;2.5;52.9;null;
2012-10-31;9;283.5;161.5;1.2;285.9;3.3;1;1.1;958;36;27.6;20.7;40.7;6;2.4;54.1;null;
2012-11-30;5;79.6;119.2;119.2;105.4;8.1;25;468;956.9;30.1;24.9;21.4;80.2;5.8;1.8;52.3;null;
2012-12-31;9;165;156;97.2;327.3;2.8;3;23.9;956.7;34.2;26.8;20.7;60.9;5.8;1.7;53.3;null;
2013-01-31;5;86.9;130.2;130.2;164.2;6.6;20;307.2;957.9;30.7;25.2;21.2;78.3;4.3;1.6;52.4;null;
2013-02-28;5;119.4;127.4;89.4;276.8;4;5;25.5;957.6;33.8;26.1;20.1;67.6;6.6;1.8;53.7;null;
2013-03-31;27;116.1;141.4;141.4;246.7;4.6;1;148;957.9;33.7;26.4;21.2;70.2;5;1.6;53;null;
2013-04-30;9;77.5;98.9;98.9;249.7;4.5;null;124.4;959.7;30.8;24.1;19.3;76.7;4.3;1.3;53.2;null;
2013-05-31;27;117.8;87;40;299.4;2.5;null;.6;960.5;31.6;23.1;16.6;67;5.1;1.5;54;null;
2013-06-30;9;128.4;80.6;16;278.9;2.7;null;.2;961.7;31.7;23;16;62.6;4.8;1.7;54.3;null;
2013-07-31;9;171.5;79.5;7;305.6;1.4;null;0;962.6;32;22.6;15;53.8;5.3;2;53.3;null;
2013-08-31;9;214.7;89.6;3.4;322.3;1.6;null;0;961.7;32.4;23.3;15.3;46.3;6;2.4;53.2;null;
2013-09-30;9;225.4;121.2;7;255.8;4;null;5.4;960.4;34.2;25.7;18.6;47.7;6.3;2.5;52.7;null;
2013-10-31;9;193.3;134.5;71.5;232.6;4.8;null;71.2;959;33.6;25.9;20.2;55.8;6.3;2.4;53.2;null;
2013-11-30;9;157.6;142.2;129.4;209.6;4.9;null;129.4;957;33.9;26.5;20.7;59.8;5.8;2.3;52.8;null;
2013-12-31;5;62.3;124.9;124.9;134.5;8.1;null;296.5;956.7;30.1;24.9;21.4;82.1;4.3;1.6;53.3;null;
2014-01-31;5;118.7;124.1;102.4;286.4;4.5;null;50.1;959.1;31.9;25;19.4;69.4;5.1;1.7;54.3;null;
