Nome: MONTE AZUL
Codigo Estacao: 83388
Latitude: -15.160374
Longitude: -42.866344
Altitude: 623.22
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;157.9;149.4;83.6;225.4;5.6;6;83.6;943.8;31.1;25.5;21.2;61.1;5.1;2.4;55.8;null;
2012-02-29;9;183.4;139.5;65.7;247.5;5;5;65.7;944;32.7;26.5;21.7;52.3;8.3;2.9;56.7;null;
2012-03-31;9;213.8;148.3;10.4;254.1;4.5;4;10.4;944.4;34;27.5;22.5;50.3;11.3;3.2;56.1;null;
2012-04-30;9;233.9;139.9;1;291.9;3.6;1;1;944.1;35.1;27.8;22.1;44.1;6.6;2.6;56.7;null;
2012-05-31;14;187;130.5;4.2;233.6;4.9;6;4.2;946.6;31;24.9;20.5;53.8;12.5;3.4;57.1;null;
2012-06-30;9;200.8;126.4;0;268.6;3.7;0;0;947.4;31.6;25.2;20.3;49.4;9;3.1;56.4;null;
2012-07-31;9;211.7;127.3;0;294.1;2.7;0;0;948.1;30.6;23.9;18.8;46.6;8.8;3.2;56.8;null;
2012-08-31;9;248.2;127.2;0;283.2;3.8;0;0;949.9;29.9;23.3;18.4;45;10.1;4.2;56.7;null;
2012-09-30;9;274.1;137.4;0;284.3;3.2;0;0;947.6;33.8;26.2;20.2;38.6;10.3;3.2;56.7;null;
2012-10-31;9;304.5;151.7;0;284.1;3.6;0;0;944.7;35;27.7;21.8;42.1;9.1;3.7;56.9;null;
2012-11-30;0;84;140.3;140.3;74.4;8.8;22;208.3;943.5;29.4;24.7;21.7;78;7;1.4;56.7;null;
2012-12-31;0;null;158.5;68.8;298.5;3.7;3;17.4;943.3;34.1;27.5;22.1;53.3;5.8;2.1;56.7;null;
2013-01-31;0;null;153.7;144.1;188.7;6.8;13;142.9;944.5;32;26.5;22.5;64.5;6.6;2.1;56.7;null;
2013-02-28;9;null;139.2;62.9;264.5;4.1;1;54.4;944.3;34.3;27.9;22.9;48;9.5;3.3;56.6;null;
2013-03-31;9;null;150.7;62.1;233.4;5.1;null;58.3;944.6;34.4;28;23.2;54.9;9.3;2.6;56.5;null;
2013-04-30;14;null;133;53;234.5;5.1;null;51.6;946;31.7;25.8;21.5;59.9;8;2.5;56.7;null;
2013-05-31;0;null;133;1;273.1;3.5;null;.2;946.8;32.5;25.6;20.5;53.4;8.6;2.3;57;null;
2013-06-30;9;null;124.7;1.2;256.2;3.5;null;1;947.7;31.1;24.8;20;54.6;7.5;2.8;57.2;null;
2013-07-31;9;null;128.6;.1;296.6;2.7;null;0;949;30.8;24.3;19.1;48;8.3;3;56.6;null;
2013-08-31;9;null;131.8;0;295.9;3.1;null;0;948.1;31.3;24.5;19.3;51.8;8.3;3.5;57.1;null;
2013-09-30;9;null;138;0;265.4;4;null;0;947;33.2;26.5;21.2;46.7;9.6;3.5;56.7;null;
2013-10-31;9;null;146.1;60.9;222.6;5;null;60.9;945.6;32.4;26.3;21.2;48.5;10;3.4;56.6;null;
2013-11-30;14;null;147.9;123.6;236.6;5.4;null;123.6;943.5;32.9;26.7;21.9;54.3;9.6;3.3;57.2;null;
2013-12-31;0;null;145.9;145.9;124.8;7.5;null;376.2;943.6;29.1;24.4;21.2;79.1;5;1.3;55.7;null;
2014-01-31;0;null;151.7;88.8;284.2;4.7;null;14;945.4;32.3;26.1;21.7;58.5;8.3;2;56.7;null;
2014-02-28;9;null;135.4;66.5;249;4.9;null;52.3;944.7;33.1;26.7;22.2;53.7;6.6;2.7;56.5;null;
2014-03-31;9;null;144.3;102.2;222.6;5.7;null;99.5;945.1;32.2;26.4;22.3;61.1;8.3;2.4;56.8;null;
2014-04-30;0;null;133.7;80;265.4;4.3;null;77;945.5;32.1;26.2;21.6;58.1;6.6;1.6;56.2;null;
2014-05-31;0;null;131.6;4.1;283.6;3.5;null;1.2;946.5;31.5;25.3;20.4;53.8;9.1;2.1;56.7;null;
2014-06-30;9;null;122;.8;252.4;3.9;null;0;948.5;29.7;23.9;19.3;53.2;8.3;2.5;56.9;null;
2014-07-31;9;null;125.4;.2;278.6;3.4;null;0;950.6;29.5;23.4;18.9;50.2;8.6;3.6;56.9;null;
2014-08-31;9;null;131.4;.1;286.8;2.4;null;0;949;31.4;24.4;18.6;42.6;9;3.2;56.8;null;
2014-09-30;9;null;136.5;0;295;1.9;null;0;947.2;33.2;26;20.1;41.3;8.3;3.5;56.7;null;
2014-10-31;9;null;148.4;21.5;254;4.1;null;21.5;946.3;33.3;26.9;21.4;49.4;10;3.3;56.7;null;
2014-11-30;0;null;147.1;129.6;213.7;5.6;null;129.6;944.2;31.9;26.4;22;59.3;7.6;2.3;57.2;null;
2014-12-31;9;null;153.2;80.8;221.4;6.1;null;80.8;944.9;31.7;26;21.6;59.7;5;2.1;56.6;null;
2015-01-31;9;236.1;156.8;22.6;286.1;3.8;null;22.6;945.4;34.4;27.8;22.5;46.3;5.3;2.4;55.9;null;
2015-02-28;9;164.2;134.6;69.7;204.4;5.8;null;69.7;945.3;32.8;26.6;22.3;56.6;7;2.3;56.5;null;
2015-03-31;9;196.1;149.5;58.6;245.5;5.4;null;58.6;945;33.8;27.8;23.2;54;8.3;2.3;57.1;null;
2015-04-30;0;180;136.8;34.1;226.6;5;null;34.4;945.2;32.9;27;22.6;58;9;2.1;56.4;null;
2015-05-31;14;183.3;130.5;9.8;264.3;4.2;null;9.8;947.6;30.7;24.9;20.6;56.4;8.3;3.2;56.7;null;
2015-06-30;14;197.2;121.3;17.5;231.5;4.7;null;17.5;949.9;29.6;23.7;19.6;56.7;11.3;3.6;56.3;null;
2015-07-31;9;207.1;127.4;0;277.2;3.9;null;0;949.8;30.2;24;19.4;52.8;9.1;null;56.7;null;
2015-08-31;9;235.1;132.1;0;299.3;2.7;null;0;949.1;31.2;24.7;19.3;50.5;null;null;56.9;null;
2015-09-30;5;280.5;145;0;295.3;1.4;null;0;945.9;36.3;28.4;21.5;41.8;null;null;56.3;null;
2015-10-31;5;307.2;157.2;2.4;295.7;2.4;null;2.4;945.5;36.3;29.3;23.2;38.2;null;null;56;null;
2015-11-30;5;null;157.2;51.5;204.8;4.2;null;51.5;944;36.1;29.3;23.6;50.8;null;null;54.6;null;
2015-12-31;9;null;167.8;33.3;270.2;2.7;null;32.8;945.8;36.8;29.9;24.2;45.9;null;null;55.8;null;
2016-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

