Nome: CANAVIEIRAS
Codigo Estacao: 83398
Latitude: -15.67333332
Longitude: -38.96111111
Altitude: 4.71
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;131.4;155.9;114;239.9;6.8;12;93.2;1014.2;30.1;null;null;79.9;4;1.7;36.7;null;
2012-02-29;0;98;151.5;111.7;248;6.6;17;102.5;1014.1;29.8;null;null;79.4;4;1.1;36.7;null;
2012-03-31;5;111.1;120.9;120.9;227.7;6.5;16;171.5;1014.2;29.7;null;null;79.5;4;1.4;36.7;null;
2012-04-30;0;105.2;135.9;91.4;228.4;5.3;14;55.4;1014;29.9;null;null;78.2;5;1.6;36.6;null;
2012-05-31;0;59.8;127.9;127.9;156;7.5;15;224.9;1016.6;28;null;null;88.4;4;1.2;36.6;null;
2012-06-30;0;60;122.9;122.9;164.8;6.7;20;164.1;1018.7;27.8;null;null;91.4;2;.4;31;null;
2012-07-31;0;79.8;126;126;163.8;6.9;18;169;1019;27.3;null;null;86.3;5;1.1;36.4;null;
2012-08-31;9;90.5;128.3;128.3;207.4;7.1;24;199.2;1021.3;27;null;null;83.2;6;2;36.7;null;
2012-09-30;36;92.2;130.9;130.9;182;7.3;1;137;1019.3;27.2;null;null;83.6;7;2.3;37.1;null;
2012-10-31;9;127.4;143.5;128.1;249.4;6.5;14;82.4;1016.4;28.1;null;null;81.5;6;2.1;36.7;null;
2012-11-30;0;74.9;145.2;145.2;124.3;8.6;18;178.2;1013;28.4;null;null;87.7;5;1.1;32.2;null;
2012-12-31;5;133.6;158.8;90.9;318.5;5.4;7;23.1;1012.9;30.6;null;null;78.8;4;2.2;35.6;null;
2013-01-31;5;117.1;157.1;157.1;205.3;7.4;16;205.2;1013.6;30.5;null;null;82.2;5;1.9;36.7;null;
2013-02-28;9;111.8;138.3;137.5;220.1;6.4;15;135.7;1013.8;30.3;null;null;80.2;4;1.5;36.7;null;
2013-03-31;9;124;150.5;91.8;264.3;6.2;6;54.3;1013.4;31.3;null;null;79.8;5;1.8;37.2;null;
2013-04-30;0;74.3;129;117.8;140.1;7.7;12;114.5;1014.6;29.7;24.9;20.2;86.6;5;1.3;36.7;null;
2013-05-31;0;69.4;127;127;184.6;6.5;14;254.2;1015.8;28.8;24;20.3;87.8;6;1;37.1;null;
2013-06-30;0;43.6;120.5;120.5;127.9;7.5;19;401.6;1017.3;28.1;23.2;20;91.5;4;.8;36.6;null;
2013-07-31;0;57.1;123.1;123.1;157;7.1;21;254.9;1018.8;27.6;22.7;19.5;88.5;5;.9;35.2;null;
2013-08-31;0;86.9;125.9;125.9;151.3;7;18;221.8;1018.7;27.3;22.7;18.6;84.2;4;1;36.7;null;
2013-09-30;9;94.2;128.2;128.2;144.3;7.9;19;246.8;1018.2;27.5;23.8;20.2;85.5;8;2;37.1;null;
2013-10-31;9;111.8;139.4;139.4;160.1;7.4;17;215.7;1016.9;27.5;24.2;21;83.8;7;1.7;30.5;null;
2013-11-30;9;124.8;142.4;142.4;221.3;7.2;13;241.5;1013.8;28.8;25.4;21.6;82.6;5;2.1;37.1;null;
2013-12-31;9;96.2;151.1;151.1;55.9;8.1;13;579.3;1012.3;29.1;25.9;22.2;87.9;6;2.4;37.6;null;
2014-01-31;9;120.4;151.1;151.1;240.9;7.2;4;191.3;1014.9;29.9;26.1;22.1;81.6;5;1.5;36.7;null;
2014-02-28;9;111.3;132.9;132.9;212.2;7.3;null;164.1;1014.2;30.2;26.1;21.7;83.2;4;1.6;36.7;null;
2014-03-31;9;97.3;141.8;141.8;178.9;7.4;null;287.8;1014.2;29.8;25.9;22.2;84.6;5;1.4;37;null;
2014-04-30;9;100.3;131.2;127;192.8;5.8;null;100.6;1014.2;29.9;25.5;21.3;82.8;8;1.4;37;null;
2014-05-31;0;73.1;127.7;127.4;166.2;6.5;null;126.6;1016;29;24.1;20.3;86.9;5;.7;33.6;null;
2014-06-30;0;66.9;118.8;118.8;148;7.2;null;218.5;1018.1;27.9;23;19.3;89.4;4;.8;36.6;null;
2014-07-31;0;62.9;121.7;121.7;138.9;8;null;248.5;1020.8;27;22.3;18.7;89.9;4;1.1;37.5;null;
2014-08-31;0;89.8;124.4;88.4;174.4;6.5;null;25.7;1020.1;27.2;22.2;17.6;81.9;10;.7;34.4;null;
2014-09-30;0;96.5;129.7;64.8;167.8;7;null;43.3;1018.9;27.7;23.8;19.3;null;6;.9;30;null;
2014-10-31;0;54;138.6;138.6;166.6;7.8;null;170.6;1017.4;28;24.1;19.9;82.5;10;1.8;35.9;null;
2014-11-30;0;98.6;141.2;141.2;162.6;7.4;null;172;1014.3;28.5;24.9;21.3;84;6;1.5;36.9;null;
2014-12-31;0;88.6;149.9;149.9;210.7;6.9;null;159.9;1014.8;29;25.5;21.4;null;5;.6;33.5;null;
2015-01-31;0;150.3;151.9;116.1;278.3;6.4;null;64.6;1015.6;30.5;26.3;20.9;79.7;5;1.6;37.1;null;
2015-02-28;0;111.9;134.4;134.4;189.7;7.3;null;220.3;1014.3;30.7;26.5;22.1;82.1;5;.9;36.7;null;
2015-03-31;0;129.8;144.9;121;214.4;5.6;null;66.9;1013.7;30.7;26.7;22.1;78.5;3;.5;35;null;
2015-04-30;0;89.3;132.6;85.5;164.1;6.3;null;62.3;1014.4;30.6;25.9;21.4;null;3;.6;32.5;null;
2015-05-31;0;65.3;126.6;126.6;147.8;7.1;15;373.8;1016.6;28.6;23.9;19.9;89.3;7;.9;36.7;null;
2015-06-30;0;54;116.4;116.4;143.1;8;null;415.1;1019.2;null;null;20;91;6;1.1;36.7;null;
2015-07-31;0;79.7;120.2;118.1;179;7.1;19;98.7;1019.6;null;null;18.9;88.9;6;1;36.7;null;
2015-08-31;9;89.2;120.7;120.7;203.5;6.8;null;184.2;1019.6;null;null;17.9;89.5;6;1.6;36.7;null;
