Nome: RONDONOPOLIS
Codigo Estacao: 83410
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;82.2;149.3;149.3;null;6.5;21;572.2;null;31.3;25.3;21.9;92.8;2.6;.3;8;null;
2012-02-29;9;92.7;136.3;125.5;null;6;15;180;null;32.6;25.5;21.2;89.2;1;.3;8.2;null;
2012-03-31;9;98.9;141.7;50.3;null;4.1;10;53;null;32.9;25.7;21.4;84.9;.6;.2;8.6;null;
2012-04-30;9;122.3;132;72.5;null;4.5;10;64.9;null;33.1;25.8;21.5;89.5;.6;.2;8.4;null;
2012-05-31;23;93.5;null;null;null;3.5;9;80.6;null;null;null;18.7;86.9;1;.2;8.5;null;
2012-06-30;23;77.9;null;null;null;2.9;5;99.9;null;null;null;17.1;87.8;.6;.2;7.7;null;
2012-07-31;23;120.8;120.1;21;null;1.9;0;0;null;31.7;22.1;15.5;76.7;2.1;.2;12.4;null;
2012-08-31;9;272.7;130.1;6.6;null;1.9;null;0;null;34.7;24.4;16.5;57.8;.6;.2;8.9;null;
2012-09-30;0;208;139.8;45.6;null;3.5;7;44.1;null;37.3;27.2;20.6;60.1;2.2;.3;6.9;null;
2012-10-31;9;156.6;153.2;53.3;null;4.6;11;52.7;null;36.5;28.2;23.1;73;1;.2;7.9;null;
