Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;101.9;104;104;null;8;24;467.4;1010.6;929.4;29;23.3;19.4;76.5;3;.9;50.8;
2012-02-29;36;147.6;109;109;null;6.7;18;358;1010.2;929.5;30.9;24.2;19.6;70.1;3;1.1;52.1;
2012-03-31;9;162.8;120.3;120.3;null;6.1;19;268;1010.3;929.9;31.6;25.1;20;66;3.3;.9;56.3;
2012-04-30;36;149.1;111.7;111.7;null;6.5;19;176.2;1010.4;930;32;25.1;20.1;67.6;3;.9;57;
2012-05-31;9;170.6;89.4;79.7;null;4.7;4;40;1013.5;932.1;29.6;23.1;17.9;60.9;3.1;1;57.1;
2012-06-30;9;173.5;89.1;50;null;4;4;18.3;1014.1;932.9;30.6;23.5;17.7;58.4;3.3;.9;49;
2012-07-31;0;233;84.3;20.1;null;2.7;2;3;1014.6;933.1;31;22.8;15.7;48.5;3.1;.9;43.2;
2012-08-31;9;309.8;111.2;9.1;null;2.7;0;0;1015.5;934.3;31.4;24.1;17.4;38.8;3.8;1.4;39.5;
2012-09-30;14;316.2;137.6;59.8;null;4.4;5;57.3;1011.8;931.9;34.9;26.7;19.5;39.9;3.3;1.1;32.4;
2012-10-31;5;311.4;158.9;93.8;null;5.8;8;92.8;1008.5;929;34.9;27.4;21.1;46;3.1;1.3;45.5;
2012-11-30;36;123.9;121.7;121.7;null;8.3;22;224.5;1008.1;927.8;30.8;24.9;20.7;72.6;4.1;1.1;53.6;
2012-12-31;36;178.9;143.9;143.9;null;6.8;16;188.6;1008.5;928.6;32.3;26.1;20.9;65.2;3.1;1;57;
2013-01-31;5;115.5;118.4;118.4;null;8.1;22;353.5;1009.7;929.2;29.6;24.4;20.6;76.3;3.3;1.1;50.3;
2013-02-28;0;137.9;113.9;113.9;null;7.6;16;125.1;1009.6;929.3;31.7;25.3;20.4;68.3;2.6;.8;53;
2013-03-31;5;142;127.3;127.3;null;7.2;16;234.9;1009.9;929.6;31.7;25.5;21.1;71;2.6;.9;54.2;
2013-04-30;5;156.7;106.9;90.8;null;6.2;8;44.3;1011.7;931.2;30.7;24.6;19.9;64.7;2.1;1;55.2;
2013-05-31;5;148.5;100.7;67.2;null;3.6;5;44.1;1012.6;931.7;31.2;24.2;17.7;55.8;3;1;45.8;
2013-06-30;5;153;91.2;24.5;null;5;5;7.3;1013.8;932.6;30.5;23.7;17.8;59.8;3.6;.8;48;
2013-07-31;0;239.3;84.2;7.5;null;2.6;0;0;1015.2;933.6;31.1;22.7;15.5;48.3;3;1;44.7;
2013-08-31;5;292.7;107.3;4.4;null;3.2;1;.7;1013.4;932.4;32.7;24.4;16.7;38.3;3;1.1;40;
2013-09-30;5;290.1;133.2;34.1;null;5.9;2;32.9;1011.3;931.2;33.8;26.4;19.9;43.4;4.1;1.3;35.8;
2013-10-31;5;201.1;134.2;134.2;null;6.7;14;135.2;1010;930;32.4;25.9;20.6;58.3;3.3;1.2;49.1;
2013-11-30;5;138;122.9;122.9;null;7.5;20;273.6;1008.7;928.4;31.3;25;20.3;68.7;3.3;1;49.1;
2013-12-31;36;107.5;123.4;123.4;null;8.3;23;530.5;1008.1;927.7;30.7;24.7;20.5;75.6;4.6;1.1;51;
2014-01-31;9;173.4;135.4;135.4;null;6.9;16;143.6;1010.6;930.3;32;25.6;20.2;61.8;5.1;1.2;54.8;
2014-02-28;5;154.2;112.6;112.6;null;7.4;13;187.8;1009.8;929.4;31.4;25.1;20.6;65.3;3;1;54.5;
2014-03-31;0;105.4;111.3;111.3;null;8.2;22;361.1;1010.8;930;30.6;24.4;20.2;75.5;3.6;.8;49.8;
2014-04-30;0;117;108.1;108.1;null;5.9;16;325.2;1011.1;930.6;31.2;24.9;20.2;70.4;3.6;.9;56.4;
2014-05-31;0;173.9;97.2;73.7;null;3.9;2;19.7;1012.5;931.5;30.9;23.9;17.5;58.3;3.6;.8;41.6;
2014-06-30;0;172.4;82.9;26;null;4.3;0;0;1014.5;933;30.3;23;16.5;55;2.5;.8;38.4;
2014-07-31;9;212.3;84.2;25.7;null;4.3;4;15.7;1016.4;934.7;30.3;22.7;16;49.5;3.1;.9;47.6;
2014-08-31;9;293;112.3;6.8;null;2.1;0;0;1013.7;933;33.2;25.1;17;37.1;3;.9;39.9;
2014-09-30;9;280.4;144.7;33.5;null;5.4;6;31.3;1010.5;930.8;35.1;27.2;20.8;44.7;3.3;1.2;40.1;
2014-10-31;9;280.4;163.6;69.8;null;6;9;69.2;1009.7;930.1;34.9;27.7;21.2;44;3.3;1.1;47.4;
2014-11-30;0;147.2;129.9;129.9;null;7.9;16;170.5;1009;928.8;31.9;25.5;20.8;67.3;3.8;1;52.4;
2014-12-31;0;120.1;120.6;120.6;null;8.3;20;337.9;1010.2;929.5;30.2;24.6;20.2;72.4;3;1;51.1;
