Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.36638888
Longitude: -46.88944444
Altitude: 595.59
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;91;147.3;147.3;null;7.1;20;194;null;30.3;24.5;20;73.9;6;1.9;9.9;null;
2012-02-29;14;112.8;136.2;136.2;null;5.6;9;186.7;null;31.7;25.4;19.9;66.5;4;1.5;9.9;null;
2012-03-31;14;133.7;141.5;130.8;null;5.1;11;91.4;null;32.6;25.6;20.2;65.2;6;1.6;10;null;
2012-04-30;14;133.3;134;62.8;null;4.8;8;22;null;33.2;26.2;20.6;63.2;5;1.6;10;null;
2012-05-31;14;122.4;124.3;26.6;null;5.5;5;13.4;null;29.7;23;17.5;65.2;6;1.7;11.2;null;
2012-06-30;14;139.8;123.6;4.8;null;3.2;1;.2;null;31.7;23.9;17.3;58.8;4;1.5;11.4;null;
2012-07-31;14;170.6;123.5;1.3;null;2.5;0;0;null;30.9;22.5;14.6;52.1;5;1.6;10;null;
2012-08-31;14;219.1;128.7;.4;null;3.4;0;0;null;30.8;23.7;16.3;43.7;6;2.1;10;null;
2012-09-30;9;237.5;138.5;19.1;null;3.5;2;19;null;34.6;26.7;19.1;42.5;4;1.6;9.8;null;
2012-10-31;5;254.3;153.5;29.4;null;4.3;7;29.4;null;35.8;28.1;20.6;44.9;6;1.8;10;null;
2012-11-30;9;95.3;143.1;143.1;null;7.8;20;381.1;null;31.1;25.3;21.3;77;5;1.6;10;null;
2012-12-31;5;149.7;158.7;147.8;null;4.8;10;108.2;null;33.9;27.3;21.6;62;6;1.6;10;null;
2013-01-31;32;104.9;149.4;149.4;null;7.3;21;287.9;null;30.9;25.3;21.2;75.5;6;1.9;10;null;
2013-02-28;9;116.7;134.6;119;null;5.8;10;73.4;null;32.8;26.3;20.9;65.7;4;1.3;11.5;null;
2013-03-31;14;106.2;144;144;null;6.3;1;181.7;null;32;26.1;21.4;72.9;4;1.4;10;null;
2013-04-30;14;91;127.1;113.8;null;5.6;null;78.5;null;30.3;24.2;19.5;73.1;4;1.2;10;null;
2013-05-31;14;126.1;126.6;57.9;null;3.2;null;21.2;null;30.7;23.6;17.3;64.4;4;1.4;10;null;
2013-06-30;14;104.3;120.2;61.4;null;4.1;null;51.6;null;29.9;23;17;68.6;3;1;10;null;
2013-07-31;18;146.7;123.7;7;null;2.5;null;0;null;30.8;22.6;15.4;57.9;4;1.5;10;null;
2013-08-31;14;199;129.3;2.1;null;2.9;null;0;null;31.9;23.9;15.7;45.8;4;1.6;9.9;null;
2013-09-30;9;200.6;136.1;68;null;4.6;null;67.6;null;33.6;26.1;19.2;50.5;6;1.9;10;null;
