Nome: MONTES CLAROS
Codigo Estacao: 83437
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;104.4;109;109;191.1;5.8;13;158.2;1011.5;941;29.1;23.4;19.4;71.6;4;1.8;68.6;
2012-02-29;5;141.4;115.4;72.2;247.7;4.9;2;5.4;1010.8;940.8;31.2;24.8;19.5;60.5;4.1;1.8;72.6;
2012-03-31;5;159;120.2;58.9;245.7;5.2;6;40.6;1011.1;941;31.4;24.9;19.5;60.6;6.3;1.9;73.7;
2012-04-30;5;165.3;114;26.9;271.3;3.4;2;17.6;1010.8;940.8;32.4;25.1;18.7;56.7;3.8;1.7;73.8;
2012-05-31;5;130.1;82.7;41.7;217.6;4.5;5;39.7;1014.8;943.4;28.7;22.1;17.1;64.2;4;1.7;74.8;
2012-06-30;5;143.5;77.6;2.8;283.6;2.7;1;.8;1015.8;944.7;29.6;22.1;15.8;58.7;3.8;1.4;75.5;
2012-07-31;5;189.5;73.5;3.2;295.4;2.2;2;2.3;1016.5;945;29;21.3;14.5;52.3;4.6;1.7;74.9;
2012-08-31;9;233.4;76.7;5.7;261.2;4.3;3;5.3;1018.7;947;28.2;21.4;15.3;49.3;11.3;2.7;75.4;
2012-09-30;5;266.6;111;10.5;264.6;2.6;2;10.2;1014.6;944.1;32;24.6;17.7;41.7;5.8;2.3;73.9;
2012-10-31;5;306.6;140.4;30.5;265.8;3.6;1;30.4;1010.5;940.8;33.4;26.3;19.7;39.9;5;2.1;73.1;
2012-11-30;5;86.1;109.4;109.4;114.4;8.1;24;273.5;1009.5;939.1;28.6;23.8;20.8;78.5;5.3;1.6;66;
2012-12-31;5;179.4;151.6;104.9;307.8;3.7;4;36.6;1008.7;939.3;33;26.5;20.6;56.4;6.6;1.8;75;
2013-01-31;5;132.9;129.4;129.4;145.7;6.2;17;326.5;1010;940;30.2;25;20.7;70.5;7.1;1.6;70.5;
2013-02-28;5;174.2;123.4;74.1;264.7;4.2;1;4.6;1010.2;940.4;32.4;25.8;19.8;56.5;4.3;1.8;75.3;
2013-03-31;5;165.3;134.7;110.6;227.7;5.7;1;102.1;1010.3;940.6;32.1;25.9;20.9;64.1;4;1.8;72.7;
2013-04-30;9;99.9;93;93;211.4;5.1;null;98.5;1012.9;942.1;28.8;23.2;18.7;72.6;4.1;1.6;73.5;
2013-05-31;5;145.4;86.7;15.9;272.9;3.2;null;0;1014;943;29.8;22.6;16.5;61.7;4.3;1.6;74.2;
2013-06-30;5;140.9;79.5;8.3;243.2;3.5;null;2.1;1015.6;944.4;29.3;22.3;16.3;60.6;3.5;1.5;75.1;
2013-07-31;5;188.7;79.9;2.9;287.2;2.6;null;0;1016.8;945.4;29.4;22;15.5;53.1;4.6;1.6;75;
2013-08-31;5;241.1;90.3;1.4;289.1;2.3;null;0;1015.5;944.5;30.1;22.8;16.3;46.5;4.6;2.1;75.4;
2013-09-30;5;255.3;113.2;38.3;226.8;4.3;null;37.8;1013.6;943.2;31.5;24.8;19;48.9;5.3;2.5;73.4;
2013-10-31;5;192.1;111.7;72.6;219.1;5.1;null;72.5;1012.3;941.9;30.3;24.1;19.1;59.6;4.6;2;72.5;
2013-11-30;5;179.5;122.9;122.9;221.4;5.4;null;196.3;1009.6;939.6;31.1;24.9;20.3;61.5;4.8;1.9;71.8;
2013-12-31;5;71.7;116;116;128.7;7.6;null;414.7;1009.1;938.8;28.6;23.9;20.8;81;4.8;1.9;65.7;
2014-01-31;5;156.8;128.1;89.4;271.8;4.4;null;25.1;1012.5;942.4;30.8;24.9;19.7;62;5.6;1.8;73.8;
2014-02-28;5;184.6;118.5;36;267.6;4.7;null;12.7;1010.7;940.9;31.8;25.4;20.1;55.8;5;2.1;75.6;
2014-03-31;5;138;120.4;81.2;214.2;6.2;null;76.8;1011.3;941.2;30.6;24.9;20.7;67.5;3.6;1.6;74.7;
2014-04-30;5;141.9;109.4;39.6;261.6;4.1;null;35.4;1011.6;941.5;31.2;24.7;19.5;63.1;4.5;1.6;74.5;
2014-05-31;5;160.6;89.7;4.2;281.8;2.9;null;2;1013.5;942.7;30.1;23;16.8;56.9;4;1.5;74;
2014-06-30;5;150.2;71.4;2.6;234.8;3.6;null;1.8;1016.5;945;28.3;21.5;15.8;60;4.6;1.7;74.7;
2014-07-31;5;185.6;72.5;.4;274;3.3;null;0;1018.6;946.9;28.4;21.2;15.1;54.3;4.6;1.9;75.1;
2014-08-31;5;232.5;86.2;.2;284.7;2.2;null;0;1016.7;945.4;30;22.4;15.4;44.4;4.6;1.8;75.7;
2014-09-30;5;298.4;114.4;2.8;289.9;2;null;2.7;1013.3;943;32.1;24.9;18.3;39.4;5.6;2.5;74;
2014-10-31;5;281.4;130.8;87.3;242;3.8;null;87.3;1012.3;942.3;31.9;25.4;19.5;45.7;5.3;2.3;71.8;
2014-11-30;5;144.7;121.6;121.6;197.2;6;null;141.9;1010;940.1;30.2;24.8;20.6;66.8;4;1.7;72.4;
2014-12-31;5;156;130.3;99.3;224.2;5.8;null;93;1010.9;940.9;30.9;25.1;20.2;62.6;5;2;72.4;
2015-01-31;5;262.7;165.7;11.3;300.4;3;null;0;1010.4;941;34.8;27.4;20.4;44.4;4.3;2;75.8;
2015-02-28;5;178.9;118.5;96.2;188.6;5.3;null;95.7;1011.2;941.5;31.4;25.4;20.5;61.4;4.6;1.9;72.8;
2015-03-31;5;152.9;129.4;129.4;240.3;6;null;129.6;1010.7;940.8;32.1;25.7;20.6;64;5.1;1.6;74.8;
2015-04-30;5;124.7;108.3;65.5;219.9;5;null;64.7;1011.6;941.4;30.9;24.6;20;66.3;3.6;1.5;74.6;
