Nome: SALINAS
Codigo Estacao: 83441
Latitude: -16.154862
Longitude: -42.284921
Altitude: 476.07
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;102.4;118.5;106.7;191.7;6.6;7;65.6;959.3;30.2;24.3;19.7;73.4;3.5;1.1;40.2;null;
2012-02-29;36;146.4;124.5;79.5;239.4;6.1;6;48;959.2;32.4;25.6;19.8;59.9;5.6;1.7;39.7;null;
2012-03-31;14;173.3;134.2;43.4;233.4;5.2;5;25.2;959.3;33.2;26;20;59.7;5;1.7;40.1;null;
2012-04-30;36;178.1;127.4;7.6;252.8;4.3;1;1;959.1;34.1;26.2;19.4;54.9;4;1.6;40.3;null;
2012-05-31;14;120;87.9;64;157;7.1;12;63.7;962.3;29.2;22.9;17.9;68.9;5;1.5;40.3;null;
2012-06-30;18;118.6;81.6;1.1;192.5;5.1;0;0;963.2;29.9;22.7;16.5;64.7;3.5;1.3;40.2;null;
2012-07-31;14;154.4;78.9;1.3;244.6;4.5;1;.8;963.8;29.8;22.1;15.2;60.8;8;1.7;40;null;
2012-08-31;14;174;80.3;1.6;211.1;5.3;3;1.4;965.7;28.9;22;15.5;58.4;5;2.2;40.3;null;
2012-09-30;14;216.2;118.6;6.3;232.1;4.9;2;6.2;963.1;33;25.3;18.4;51.1;5;2.3;40.3;null;
2012-10-31;9;253.1;149.2;3.3;263.5;4.3;3;3.3;960;34.4;26.9;20.4;50.6;5.1;2.5;39.8;null;
2012-11-30;36;83.8;117.7;117.7;81.3;8.8;21;243.2;958;29.2;24.6;21.5;81.4;3.8;1.4;41.6;null;
2012-12-31;36;140.3;145.2;114.4;318.5;3.6;4;54.9;957.8;33.6;26.1;19.7;67.8;4.1;1.4;39.8;null;
2013-01-31;36;143.9;145.7;145.7;187.1;6.8;16;164.5;958.7;32.6;26.2;21.4;70.1;3.5;1.6;39.7;null;
2013-02-28;36;138.3;128.2;91.1;253.9;5.1;2;62.6;959;33.3;26.1;20.4;65.8;3.6;1.5;40;null;
2013-03-31;18;159.5;149;112.8;231.6;5.9;null;101.1;958.8;33.8;27;21.7;69.8;6.1;1.6;40.8;null;
2013-04-30;18;122.3;113.4;29;169.4;7.3;null;17.2;960.3;31;25.1;20.6;73.3;3.5;1.6;40.3;null;
2013-05-31;18;138;99;19.3;204.4;5.5;null;15.2;961;31.1;23.8;18.1;71.3;4.8;1.5;40.3;null;
2013-06-30;18;130.1;87.7;9.6;177.3;6.2;null;7.9;962.8;29.8;23.3;17.9;70.9;4.1;1.4;40.3;null;
2013-07-31;14;151.4;83.9;.8;209.2;4.4;null;0;964;29.7;22.6;16.5;65.3;4.6;1.9;40;null;
2013-08-31;14;180.6;93.9;18.7;228;5.2;null;18.4;963.3;30.4;23.2;17.1;62.7;5.1;2.2;40.3;null;
2013-09-30;36;193.3;118.5;1.6;192.1;5.9;null;1.4;962.2;31.8;25.3;19.9;60.7;5.8;2.2;40;null;
2013-10-31;36;186.3;130;33.7;180.3;6.3;null;33.6;960.8;31.7;25.5;20.3;64;4.5;2.1;40;null;
2013-11-30;18;162.6;138.4;138.4;213;6.2;null;225.9;958.4;32.1;26.1;21.2;68.1;3.5;1.8;40.7;null;
2013-12-31;36;62.2;124.7;124.7;124.2;8;null;303.5;957.2;29.5;24.6;21.2;87;3.5;1.3;39;null;
2014-01-31;36;115.4;129.5;90.7;252.8;6.1;null;26.3;960.3;31.3;25.1;20;76;5;1.4;40;null;
2014-02-28;9;146.9;126.8;41.5;238.8;6.5;null;17.9;959.5;33;26;19.7;67.4;4.1;1.7;40.4;null;
2014-03-31;36;118;126;95.9;200.9;7.1;null;92.5;959.6;31.8;25.4;21;78.1;4.1;1.3;40.3;null;
2014-04-30;36;140.5;122.3;17;218.4;6.4;null;12.1;960.2;32.6;25.8;20;70.2;5.3;1.5;40.8;null;
2014-05-31;18;158.3;102.4;11.2;225.9;4.5;null;9.5;961.5;31.3;24.2;18.1;65.8;5.1;1.6;40.5;null;
2014-06-30;18;121.3;78.7;13;171.6;6.3;null;12.5;963.8;29.1;22.4;17;69.8;4.3;1.4;41.2;null;
2014-07-31;18;151.1;80.8;5.3;183.4;5.5;null;4.8;965.6;28.6;22.3;16.7;63.5;4.5;1.9;40.3;null;
2014-08-31;36;191.7;87.4;.8;267.4;3.2;null;.6;964.3;30.4;22.7;15.1;56;5;1.8;40.3;null;
2014-09-30;36;230.9;118.5;.5;259.7;4.1;null;.4;962.2;32.8;25.3;18.4;50.6;5.6;2.4;41;null;
2014-10-31;36;241.4;140;67.1;235.5;5.2;null;67.1;961.3;32.7;26.2;20.2;60.7;5.1;2.5;40.3;null;
2014-11-30;36;121;129.8;129.8;177.7;7.1;null;218.3;958.9;31.1;25.5;21.2;75.6;3.5;1.5;40.2;null;
2014-12-31;36;96.9;123.4;123.4;214.3;6.5;null;136.7;959.6;30.6;24.6;20.4;83;5;1.4;40;null;
2015-01-31;36;175.4;148.8;87.9;307.9;4.3;null;13.9;960.3;34;26.3;19.8;71.4;4.8;1.6;40.3;null;
2015-02-28;36;129.7;119;118.8;205.7;6.4;null;118.8;960;32.2;25.5;20.5;76.9;4.5;1.7;39.5;null;
2015-03-31;36;148.5;141.6;57.3;216.8;6.1;null;40.9;959.6;33.3;26.4;20.4;73.4;3.3;1.5;41.6;null;
2015-04-30;18;122;117.1;44;176.4;6.3;null;38.9;960.3;31.9;25.4;20.5;75.9;5;1.3;41;null;
2015-05-31;18;109.7;92.3;23.6;152.3;6.9;null;21.3;962.9;29.1;23.3;18.7;75.6;4.6;1.5;40;null;
2015-06-30;18;134.9;81.6;3.2;137.6;6.6;null;2;965;28.9;22.6;17.6;73.6;4.3;1.8;40;null;
2015-07-31;9;143.3;82.9;12;176.3;6.1;null;11.5;964.7;28.9;22.5;17;73;5.1;1.7;40;null;
2015-08-31;9;178.5;92.8;3.4;235.3;4.7;null;3.1;964.3;29.9;23.3;17;66.3;5.5;2.3;40;null;
2015-09-30;36;263.4;149;.1;298.7;1.9;null;0;960.8;35.8;27.5;19.7;56.5;5.1;2.3;40;null;
2015-10-31;9;285.9;174.8;75.4;267.9;3.8;null;75.4;960.5;35.6;28.4;21.4;58.4;5.8;2.2;40.3;null;
2015-11-30;36;209.2;174.6;53;233.6;5.5;null;53;958;35.7;28.4;22.2;68.2;5.8;1.9;40;null;
2015-12-31;36;222.8;179.6;78.4;294.3;4.8;null;78.4;959.8;35.7;28.2;21.9;52.9;5.3;1.8;39.7;null;
2016-01-31;36;124.4;142.7;142.7;129.4;8.3;null;319.9;958.9;31.4;25.9;22.2;74.9;4.6;1.6;39;null;
2016-02-29;36;120.5;130;76.4;290.6;4.2;null;5.1;960.5;33.4;26;20.2;65.7;4.1;1.3;39.8;null;
2016-03-31;36;168.5;148.9;26.3;263.1;5.4;null;4.4;960.8;34.1;27.1;20.7;57.6;3.5;1.5;39.8;null;
2016-04-30;36;187.7;135.6;5;240;4.7;null;0;960.8;33.9;26.8;20.2;52.6;4.5;1.7;40;null;
2016-05-31;36;161.3;103.5;2.1;215.8;4.7;null;1;962.9;31.8;24.3;17.7;55.6;4.6;1.5;40;null;
2016-06-30;36;153.8;82.6;8.9;202.7;4.9;null;8.6;964.4;30.4;22.7;16.3;55.5;4.8;1.6;40;null;
2016-07-31;36;151.2;82.9;1.4;226.7;3.6;null;1.2;964.6;29.8;22.5;16.4;54.8;4.1;1.6;40;null;
2016-08-31;36;192;105.5;5.1;223.4;5.2;null;5;963.5;31.4;24.4;18.1;50.5;6.5;1.9;40;null;
2016-09-30;36;215.7;126.5;58;238.7;4.5;null;58;962.4;32.9;25.9;19.5;46.5;4.8;2;40;null;
2016-10-31;36;196.5;141.7;46.8;220.6;5.6;null;46.8;960.1;32.9;26.3;20.9;56.4;4.5;1.9;40;null;
2016-11-30;36;142.3;135.6;135.6;170.3;7.8;null;203.2;959.5;31.7;25.9;21.4;65.2;5;1.9;40.3;null;
2016-12-31;0;106.4;134.7;115.3;183.6;6.9;null;102.5;959.5;31.2;25.4;20.7;70.3;4.1;1.2;40;null;
2017-01-31;0;175.8;156.7;96.3;288.3;4.7;null;70.9;959.5;33.8;26.9;20.6;55.3;3.6;1.2;41.1;null;
2017-02-28;18;100.9;null;null;170;7.8;null;175.1;959.8;31.3;25.5;21.3;69.9;4.1;1.3;40;null;
2017-03-31;18;161.2;143.1;96.9;244;6;null;45.9;959.4;33;26.6;20.9;59;3.8;1.6;40.3;null;
2017-04-30;18;117.5;114.6;61.7;214.9;5.3;null;46.4;960.9;31.3;25.2;20.5;65.5;3.8;1.3;40;null;
2017-05-31;14;124.6;96.7;13.9;159.6;6.6;null;4.4;962.6;29.6;23.7;19.1;63.3;3.5;1.4;40.3;null;
