Nome: ARACUAI
Codigo Estacao: 83442
Latitude: -16.84888888
Longitude: -42.06083333
Altitude: 317.67
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;126.6;140.6;76.6;null;6.4;8;59.7;976;32.5;25.8;20.8;69.9;1;.7;46.2;null;
2012-02-29;0;187.8;153.4;16.4;null;5.5;5;5.9;975.9;36.3;27.5;21.1;56.9;2;.7;46.7;null;
2012-03-31;5;230.5;166.9;17.4;null;5;4;15;975.9;36;28;21.9;54.1;2;.7;46.7;null;
2012-04-30;0;196.7;141.9;40.2;null;3.8;1;39.8;975.8;35.2;27.3;21.4;57;2;.5;47.1;null;
2012-05-31;0;127;89.9;89.9;null;6.1;10;97.9;979.2;29.8;23.4;18.7;70.1;2;.4;46.7;null;
2012-06-30;0;115;81.1;4.6;null;3.7;0;0;980.4;30.6;23;17.2;68.5;1;.3;46.8;null;
2012-07-31;0;157.8;78;10.4;null;3.8;2;8.6;980.8;30.7;22.5;15.8;60.1;2;.3;46.2;null;
2012-08-31;0;188.7;84.8;6.3;null;5.1;4;5.3;982.8;30.5;23;17.2;57.7;3;.9;46.5;null;
2012-09-30;5;228.1;124.2;8.5;null;4.2;1;7.9;980.2;33.8;25.9;19.8;50.7;2;.7;46.7;null;
2012-10-31;5;261.1;160.1;7;null;4.3;2;6.8;977.1;35.6;27.5;21.5;48.6;2;.8;47.5;null;
2012-11-30;0;100.4;128.9;128.9;null;8.3;18;285.1;975.2;31;25.5;22.1;78.7;1;.4;47.5;null;
2012-12-31;0;146.3;164.2;111.1;null;3.5;3;40;974.7;35.1;27.2;21.3;64.9;1.1;.4;47.1;null;
2013-01-31;0;146.1;163;150.7;null;6.8;11;147.8;975.6;34.6;27.1;22.1;67.4;2;.5;46.9;null;
2013-02-28;5;147.6;144.8;47.4;null;4.7;3;30.8;975;35.1;27.3;21.5;62.3;1;.6;46.4;null;
2013-03-31;0;172.5;165.4;58.3;null;5.4;1;53;975.8;35.4;27.9;22.5;60.7;1;.5;47.7;null;
2013-04-30;0;131.4;117;48;null;6;null;46.7;977.6;32;25.4;20.7;65.9;1;.6;47;null;
2013-05-31;0;142.6;102.1;16.4;null;4.1;null;15.7;978.4;31.9;24.3;18.5;63.2;1;.5;46.7;null;
2013-06-30;0;129.8;88.8;6.5;null;5;null;6.2;980;30.9;23.9;18.5;62.7;2.1;.6;47.5;null;
2013-07-31;0;157.5;86.6;.1;null;4.4;null;0;982.4;30.5;23.3;17.5;58.2;2;.7;46;null;
2013-08-31;5;196.2;98.9;.1;null;3.7;null;0;982.2;31.8;24.1;17.5;51.5;2;.9;47.1;null;
2013-09-30;5;197.2;121.2;13.6;null;5.4;null;13.6;981.1;33;25.6;19.9;53.8;2;.9;46.7;null;
2013-10-31;0;197.3;130.3;28;null;6.1;null;28;979.7;32.8;25.8;20.4;57.4;2;.6;47.1;null;
2013-11-30;0;184.9;147.9;124.7;null;5.9;null;124.7;977.1;33.8;26.8;21.4;59.9;2;.6;46.7;null;
2013-12-31;0;81.6;138.4;138.4;null;7.8;null;308;975.5;31.9;25.8;21.6;79.9;2;.4;47.5;null;
2014-01-31;0;144.8;147.3;87.3;null;4.8;null;13.6;978.7;34.1;26.4;20.6;67;2;.6;46.7;null;
2014-02-28;5;201.8;153;23.7;null;4.9;null;3.3;978;36.4;27.9;21.2;52.5;2;.7;46.7;null;
2014-03-31;0;162.6;151.5;30.2;null;6.7;null;26;978.2;34.5;27.2;21.7;63.7;2;.5;47.1;null;
2014-04-30;0;156;129.9;34.1;null;4.3;null;33.1;978.5;34;26.5;20.6;60.9;1;.5;46.2;null;
2014-05-31;0;162.7;103.4;.5;null;4.2;null;.1;980.1;32.1;24.6;18.1;59.9;2;.3;46.7;null;
2014-06-30;0;131.7;83.2;5.4;null;5.3;null;5.3;982.3;30.2;23.3;17.5;64;2.1;.4;47.8;null;
2014-07-31;0;145.8;81.1;1.8;null;5.2;null;1.7;984.4;29.8;22.8;17.1;62;2;.5;47.1;null;
2014-08-31;0;173;90.5;0;null;3;null;0;983;31.8;23.5;16;53.5;2;.5;45.6;null;
2014-09-30;5;242.9;125.5;0;null;3.3;null;0;980.8;33.9;26;19.4;46.7;2;.9;48;null;
2014-10-31;5;240.5;147.9;53.3;null;4.3;null;53.3;980.1;34.1;26.6;20.6;51;2;.9;47.1;null;
2014-11-30;0;136.4;139.7;139.7;null;6;null;185.8;977.5;33.1;26.2;21.1;66.6;2;.5;46.9;null;
2014-12-31;0;117.3;141.6;141.6;null;5.9;null;155.3;978.1;32.6;25.9;21;69.6;1;.5;47.1;null;
2015-01-31;5;223.1;185.7;58.1;null;3.3;null;8.5;978.5;37.3;28.5;21.3;51.5;1;.8;46.9;null;
2015-02-28;0;145.4;143.3;79.4;null;5.5;null;74.3;978.3;34.8;27.2;21.3;65;2;.6;46.7;null;
2015-03-31;0;163.1;153.2;133.1;null;5;null;132.1;977.9;34.5;27.1;21.1;63.7;1;.3;49.5;null;
2015-04-30;0;133.8;124;29.9;null;5.3;null;27.3;979;32.9;26;20.6;66.1;2;.4;46.7;null;
2015-05-31;0;119.4;94.7;9.1;null;6.4;null;8.2;981.4;30.1;23.8;18.7;68.5;2;.4;47.2;null;
2015-06-30;0;133.3;84.3;4.8;null;5.4;null;4.4;983.6;29.8;23.2;17.8;64.4;2;.5;46.5;null;
2015-07-31;0;140.5;85.5;10.7;null;5.1;null;10.5;983.5;29.8;23.1;17.5;62.9;2;.5;46.7;null;
2015-08-31;0;185.2;96.5;2.1;null;4.3;null;2;983;31.2;23.8;17.3;54.5;3;.6;47.1;null;
2015-09-30;0;268.2;128.4;0;null;1.6;null;0;979.5;null;null;20.6;42.5;2;.9;46.7;null;
2015-10-31;5;299.3;138.1;6.1;null;3;null;6.1;978.9;null;null;22.4;43.5;2;1;46.7;null;
2015-11-30;0;255;138.1;49.8;null;4.6;null;49.8;976;null;null;23.1;49.5;3;.7;46.5;null;
2015-12-31;0;229.2;203.4;163.8;null;4.3;null;163.8;977.9;37.6;29.1;22;53.9;3;.6;46.7;null;
2016-01-31;0;122;154.2;154.2;null;7.5;null;332.5;976.9;32.5;26.5;21.8;74.5;2;.6;47.1;null;
2016-02-29;0;154.7;160.2;92.1;null;3.1;null;15.7;978.4;36;27.8;20.9;61.8;1;.4;47.1;null;
2016-03-31;0;225.1;179.8;20.7;null;4.3;null;2.8;978.8;36.4;28.6;22;55.2;2;.5;46.7;null;
2016-04-30;0;211.1;151.6;3.4;null;4.2;null;.3;978.9;35.4;27.7;20.7;52;2;.5;46.7;null;
2016-05-31;0;181.2;113.8;2;null;4.1;null;1.4;981.2;32.5;25.2;18.1;54.7;3;.4;46.7;null;
2016-06-30;0;138.7;80;15.4;null;4.3;null;15.3;982.8;30.4;22.9;15.9;60.3;3;.4;46.7;null;
2016-07-31;0;158.8;82.3;.6;null;3.4;null;.5;983.2;30.3;22.7;15.8;56.3;3;.6;46.5;null;
2016-08-31;0;192.1;109.3;5.8;null;4.1;null;5.8;982;32.1;24.7;18.3;52.7;3;.6;46.7;null;
2016-09-30;0;229.4;139.3;17;null;3.9;null;17;980.9;34.6;26.6;20.4;47.3;2;.7;46.7;null;
2016-10-31;5;246.8;161.9;12.9;null;4.8;null;12.9;978.5;34.8;27.4;21.9;53.2;2;.9;47.1;null;
2016-11-30;0;157.3;144.7;129.6;null;6.6;null;129.6;977.6;32.9;26.5;21.1;65.4;2;.7;46.2;null;
2016-12-31;0;128.4;148.4;110.9;null;6.3;null;110.9;977.9;33.1;26.2;20.9;70.4;3;.7;47;null;
2017-01-31;0;188.2;179.9;74.8;null;4;null;74.8;977.7;35.4;27.9;21.5;56.5;2;.5;47.5;null;
2017-02-28;0;116.2;135.5;112.4;null;6.5;null;112.4;978.3;33.4;26.5;21.5;70.3;4;.4;46.1;null;
2017-03-31;0;198.3;160.1;94.4;null;4.5;null;94.4;977.7;35.2;27.5;21.3;58;2;.5;46.1;null;
2017-04-30;0;135.4;125.5;2.6;null;4.1;null;2.6;979.3;32.6;26;20.4;63.2;3.5;.5;46.5;null;
2017-05-31;0;141.4;103.4;5.8;null;5.7;null;5.8;980.8;30.9;24.4;19;62.4;2;.4;46.7;null;
2017-06-30;0;159.7;87.6;.2;null;3.8;null;.2;982.7;30.3;23.5;17.5;60.4;3;.5;45.5;null;
2017-07-31;0;157.3;65.1;4.8;null;6.5;null;4.8;986.6;27.4;21.1;15.3;60.4;2;.7;47.7;null;
2017-08-31;0;187;83.6;0;null;3.2;null;0;982.6;30.6;22.6;15.4;52.4;2;.6;47.7;null;
2017-09-30;0;225;108.8;2.6;null;4.9;null;2.6;983.8;31.8;24.7;18.7;49.6;2;.9;46.7;null;
2017-10-31;5;284;172.6;3.7;null;3.7;null;3.7;978.8;35.9;28;21.8;44.8;2;1;46.7;null;
2017-11-30;0;147.7;139.7;94.7;null;6.8;null;94.7;977.2;32.5;26.2;21.3;64.4;2;.4;47.5;null;
2017-12-31;0;94.8;140;140;null;6.6;null;180;976.9;31.5;25.8;21.1;73.9;1;.3;47.5;null;
2018-01-31;5;205.8;183.8;55.7;null;4.2;null;23.8;977.2;36.3;28.3;21.5;54.6;2.1;.6;47.5;null;
2018-02-28;0;97.6;130.9;130.9;null;6;null;283.7;977;32.6;26.3;21.5;72.4;2;.3;48;null;
2018-03-31;0;101.3;141.6;138;null;5.2;null;113.8;977;33.5;26.4;21.2;73.6;1;.2;47.4;null;
2018-04-30;0;107;110.2;61.9;null;6;null;15.6;980.1;31.5;25;20;68.8;1;.3;46.7;null;
2018-05-31;0;118.2;95.9;27.7;null;4.9;null;10.9;981.7;30.5;23.7;18;65.4;4;.4;46.7;null;
2018-06-30;0;128.1;84.3;7.4;null;4.3;null;.3;982.7;30.2;23.2;17.2;62.8;2;.3;47.1;null;
2018-07-31;0;144.2;81.1;4.1;null;2.6;null;1.1;983.2;30.7;22.6;15.4;57.1;2;.2;48;null;
2018-08-31;5;179.3;116;1.7;null;4.3;null;0;981.9;32.5;25.2;19.3;53.2;2;.7;46.2;null;
2018-09-30;5;215;140.7;5.4;null;3;null;4.8;979.3;34.7;26.8;20.5;47.5;2;.7;47.5;null;
2018-10-31;0;229.6;167.1;97.3;null;5.3;null;97.2;977.7;34.7;27.6;22;55.9;2;.6;46.7;null;
2018-11-30;0;136.3;138.1;107.5;null;6.8;null;107.5;978.2;32.1;26.1;21.5;67.7;2;.5;47.2;null;
2018-12-31;0;110.7;140;108.2;null;5.9;null;108.2;978.1;32.8;26;20.6;72.2;1;.3;46.2;null;
2019-01-31;5;226.4;189.7;17;null;3;null;17;979.2;37.2;28.6;21.9;52.6;2;.6;46.7;null;
2019-02-28;0;173.5;166.7;119.5;null;5.1;null;119.5;976.9;36.9;28.6;22.8;62.5;1;.4;48.5;null;
2019-03-31;0;null;174.5;38.8;null;5.2;null;38.8;977.9;36.1;28.5;22.7;60.3;1;.3;46.9;null;
2019-04-30;0;168.3;145.3;33;null;4.8;null;33.3;978.1;34.8;27.5;22.3;64.7;1;.3;47;null;
2019-05-31;0;169.1;128;3.4;null;3.7;null;3.4;979.2;33.1;26.3;20.8;60.1;2;.2;46.7;null;
2019-06-30;0;161.9;89.9;6.8;null;4.5;null;6.8;983.2;31.1;23.8;17.9;61;1;.3;47;null;
2019-07-31;0;172.1;76.9;1.1;null;3.4;null;1.1;982.8;29.9;22.3;15.8;56.8;2;.2;46.1;null;
2019-08-31;0;188.1;95.2;6.1;null;5;null;6.1;984.1;30.6;23.7;18.3;56.3;2;.5;47.1;null;
2019-09-30;0;235.5;131.4;1.3;null;3.7;null;1.3;980.7;33.9;26.3;20.1;49;2;.7;46.4;null;
2019-10-31;0;259.4;168.9;62.5;null;4.4;null;62.5;978;35.7;27.9;22;49.1;2;.6;46.7;null;
2019-11-30;0;230.5;191.8;46.2;null;5.3;null;46.2;976;36.6;29;23.5;52.2;2;.4;46.7;null;
2019-12-31;0;200.1;189.1;85.4;null;5.1;null;85.4;976.6;36;28.4;22.6;56.6;2;.4;46.7;null;
2020-01-31;0;170.8;null;null;null;5.9;15;258.7;976;34.3;27.9;23.5;67.5;1;.4;47.1;null;
2020-02-29;0;141.8;null;null;null;5.7;7;46;977.2;35.5;28.2;23.4;65;1;.2;46.7;null;
2020-03-31;0;68.5;null;null;null;7.5;16;160.8;978;30.5;25.4;22.1;80;1;.1;46.7;null;
2020-04-30;0;76.3;null;null;null;6.4;4;14.2;979.5;30.5;24.7;20.9;77.8;2;.1;47.3;null;
2020-05-31;null;null;null;null;null;null;null;null;981.2;null;null;null;null;null;null;null;null;
2020-06-30;0;116.2;null;null;null;4.1;2;4.6;982.5;29.2;22.1;16.6;69.5;2;.2;47;null;
2020-07-31;0;138.7;null;null;null;4;2;2;982.5;29.6;22.1;16.3;65.2;2;.2;46.9;null;
2020-08-31;0;161.7;null;null;null;5.3;4;5.8;982.5;30;23;17.9;60.2;2;.5;47.1;null;
2020-09-30;0;243;null;null;null;2.6;0;0;980.4;35;26.8;20.2;47.5;2;.6;46.7;null;
2020-10-31;0;224;null;null;null;6.2;8;65.6;976.8;35.2;27.9;22.8;57;2;.4;46.7;null;
2020-11-30;null;null;null;null;null;null;null;null;977.9;null;null;null;null;null;null;null;null;
2020-12-31;0;143.9;null;null;null;5.5;7;57.8;976.8;34.8;27;21.6;65.6;2;.3;46.7;null;
2021-01-31;0;219;null;null;null;5.9;3;34.1;976.7;36.7;28.4;22.5;55.2;2;.3;46.7;null;
2021-02-28;0;90.1;null;null;null;7.7;13;224.8;975.6;32;26.1;22.1;75.6;2;.2;46.7;null;
2021-03-31;0;145.4;null;null;null;4.2;5;23.6;977.4;33.8;26.1;20.6;66.6;2;.2;46.5;null;
2021-04-30;0;123.9;null;null;null;5.6;2;38.8;978.4;31.9;25.3;20.6;67;2;.2;48.7;null;
2021-05-31;0;135.6;null;null;null;4.2;0;0;980.5;30.8;23.5;17.5;62.3;1;.1;47.5;null;
2021-06-30;0;137.5;null;null;null;4;1;.7;981.6;29.6;22.3;16.1;62.5;2;.1;46.7;null;
2021-07-31;0;148.6;null;null;null;3.9;1;.4;983.2;29.4;21.9;15.7;55.8;1;.2;46.7;null;
2021-08-31;0;141.6;null;null;null;5.3;2;2.4;983;30.2;23.3;17.8;56.4;2;.4;46.7;null;
2021-09-30;0;227.9;null;null;null;2.9;1;6;979.4;35.3;27;20.5;47.9;2;.5;46.7;null;
2021-10-31;0;184.5;null;null;null;6.3;8;94.9;977.7;34.4;27.6;22.8;59.4;2;.4;46.7;null;
2021-11-30;0;84.2;null;null;null;7.5;16;154;977.1;31;25.4;21.3;76.7;1;.1;47.9;null;
2021-12-31;0;82.3;null;null;null;8.6;20;384.2;975.7;30.3;25.3;22.2;81.1;1;.3;47.1;null;
2022-01-31;0;102.5;null;null;null;5.4;8;68.2;977;33;26.1;21.5;74.3;2;.2;48.2;null;
2022-02-28;0;84;null;null;null;7;11;100.2;976.9;33.4;26.6;22.4;75;1;.2;46.7;null;
2022-03-31;0;137.8;null;null;null;4.9;7;44.6;977.5;33.9;26.8;21.8;66.3;1;.2;46.7;null;
2022-04-30;0;126.2;null;null;null;4.6;3;10.6;978;32.9;26;20.6;65.2;2;.2;46.7;null;
2022-05-31;0;117.2;null;null;null;4.3;2;3.2;980.4;30.3;23;17.2;65.2;2;.2;46.7;null;
2022-06-30;0;105.3;null;null;null;2.5;0;0;981.2;29.1;20.8;13.7;63.3;2;.1;46.7;null;
2022-07-31;0;158.2;null;null;null;4.1;2;.6;982.5;30.4;22.9;16.7;58.9;2;.3;46.7;null;
2022-08-31;0;187.3;null;null;null;4.6;1;1;982.1;30.8;23.5;17;52.1;2;.5;46.7;null;
2022-09-30;0;201.3;null;null;null;4.5;1;3.4;980.2;32.9;25.5;19.7;51.5;2;.7;46.7;null;
2022-10-31;0;223;null;null;null;5;5;9;978.3;35.3;28.1;23;51.2;2;.5;46.7;null;
2022-11-30;0;124.6;null;null;null;8.1;13;311;976.9;31.8;25.6;21.5;70.8;2;.2;46;null;
2022-12-31;0;71.8;null;null;null;8.3;18;300;976.4;31.2;25.2;21.6;80.6;2;.2;46.7;null;
2023-01-31;0;100.7;null;null;null;6.8;10;138.6;977.4;32.7;26.4;22.4;73.8;2;.2;47.1;null;
2023-02-28;0;122.7;null;null;null;3.9;2;5.2;977.8;34.7;27.5;22.1;65.4;2;.2;46.7;null;
2023-03-31;0;149.6;null;null;null;4.5;6;13.3;978;35.1;27.5;22.1;60.6;2.1;.3;47.1;null;
2023-04-30;0;136.6;null;null;null;6.5;5;89.8;977.8;33.2;26.5;21.9;65.1;2;.1;47.1;null;
2023-05-31;0;87;null;null;null;4.3;2;3.8;980.6;29.5;23.2;18.4;71.6;2;.1;47.1;null;
2023-06-30;0;96.2;null;null;null;4.1;0;0;982.9;28.6;21.6;16.1;67.7;1;0;46.7;null;
2023-07-31;0;null;null;null;null;5.5;3;6.8;983.1;29;22.2;17;65.3;2.1;.1;95.5;null;
2023-08-31;0;null;null;null;null;4;1;1.6;980.7;32.1;24.8;18.7;58.6;2.1;.3;96.3;null;
2023-09-30;0;null;null;null;null;3.9;2;24.6;980;34.5;27;21.4;53.7;2.1;.5;96.3;null;
2023-10-31;0;null;null;null;null;5.1;6;35.6;977.4;36.8;28.8;23.5;54.5;2.1;.3;96.3;null;
2023-11-30;0;null;null;null;null;4.1;4;31;976.1;38.2;30;23.6;48.1;2.1;.3;96.3;null;
2023-12-31;0;null;null;null;null;4.7;7;79.4;976.4;37.1;29.6;24.2;55.1;2.1;.3;96.4;null;
2024-01-31;0;null;null;null;null;6.4;17;321.2;976.6;34.3;27.7;22.8;71.5;2.1;.1;96.5;null;
