Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;88.7;142;124.8;188.1;7;17;77.1;991;null;null;21.2;78.4;null;null;42.2;null;
2012-02-29;null;86.6;null;null;207.7;6.4;16;67;991.2;null;null;20.8;76.3;null;null;46.6;null;
2012-03-31;null;94.7;133.7;63.3;234.9;6.2;9;54.6;991.3;null;null;21;76.3;null;null;46.5;null;
2012-04-30;null;104.8;124.6;19.1;237.1;4.9;10;14.3;991.1;null;null;20.8;74.2;null;null;47.8;null;
2012-05-31;null;68;119.2;66.6;151.8;7;12;65.2;993.8;null;null;19.8;82.7;null;null;42.2;null;
2012-06-30;null;65.7;111.2;48.6;197;5.8;12;47.9;995.1;null;null;19;82.2;null;null;45.7;null;
2012-07-31;null;63.1;111.8;47.6;202.8;5.6;14;47.2;996.1;null;null;17.4;82.1;null;null;44.3;null;
2012-08-31;null;63.5;115.5;115.5;221.9;5.9;26;163.1;998.5;null;null;17.6;80.6;null;null;42.6;null;
2012-09-30;null;76.9;120.5;85.1;196.5;6.3;12;64.6;996.1;null;null;18.9;77;null;null;44.6;null;
2012-10-31;null;97.9;133.8;77.4;209;6.2;14;63.5;993.2;null;null;19.5;76;null;null;45.6;null;
