Nome: JURAMENTO
Codigo Estacao: 83452
Latitude: -16.77499999
Longitude: -43.66722221
Altitude: 655.59
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2024-02-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;75.6;null;null;197.1;4.3;10;111.9;null;29.3;22.4;17.6;79.6;7;1.2;60;null;
2012-02-29;14;105.4;null;null;247.1;3.8;6;50.1;null;31;23.2;17.4;73.9;5;1.4;60;null;
2012-03-31;14;113.5;null;null;229;4.4;6;44.8;null;31;23.4;17.6;71.8;5;1.3;60;null;
2012-04-30;14;112.2;null;null;245.8;3.7;1;1.1;null;32.2;23.5;16.4;68.5;3;1.4;60;null;
2012-05-31;14;118.8;null;null;210.8;4.1;4;53.9;null;28.7;20.9;14.7;72.8;5;1.3;60;null;
2012-06-30;14;105.1;null;null;255.4;2.3;0;0;null;29.5;20.8;14.3;69.7;3;1.3;60;null;
2012-07-31;9;118.1;null;null;276.1;1.7;1;3.4;null;28.8;20.2;14.4;62.7;5;1.3;59;null;
2012-08-31;14;149.4;null;null;253.2;3.3;1;2.5;null;27.9;20.3;14.5;59.4;6;1.9;60;null;
2012-09-30;9;184.3;null;null;252.3;2.4;1;2.4;null;32;23.5;16.5;51.9;6;1.9;60;null;
2012-10-31;14;211.8;null;null;262.7;3.2;2;4.2;null;33.3;25.5;19.2;49.9;7;1.7;60;null;
2012-11-30;9;73.2;null;null;105.1;7.9;24;218.9;null;29.1;23.5;20;80.8;6;1.4;60;null;
2012-12-31;9;128.6;null;null;282.9;2.7;4;50.1;null;33.1;25.5;19.4;63.4;5;1.2;60;null;
2013-01-31;14;102.3;null;null;152.5;5.4;13;172.3;null;30.8;24.4;19.6;74.2;5;1.4;60;null;
2013-02-28;14;109.1;null;null;227.5;2.9;null;21.4;null;32.4;24.8;19.3;65.3;6;1.4;60;null;
2013-03-31;14;103.8;null;null;218.5;4.6;null;166.1;null;31.7;25.1;20.4;71.9;5;1.4;60;null;
2013-04-30;14;68;null;null;199.1;5.4;null;26.8;null;28.8;22.4;18;79.3;4;1.3;60;null;
2013-05-31;14;98;null;null;261.9;2.7;null;0;null;29.7;21.6;14.9;71.2;5;1.3;60;null;
2013-06-30;14;91.9;null;null;226;3.2;null;2;null;29;null;null;71.7;3;1.2;60;null;
2013-07-31;14;126.9;null;null;264.2;2.5;null;0;null;29.2;null;null;64.9;6;1.5;60;null;
2013-08-31;14;161.9;null;null;280.7;2.2;null;0;null;30.1;null;null;57.3;4;1.5;60;null;
2013-09-30;9;166.6;null;null;228.7;3.8;null;25.9;null;31.3;null;null;59.8;7;1.8;60;null;
2013-10-31;14;133.9;null;null;212.5;5.1;null;120.7;null;30.9;null;null;67.7;5;1.4;60;null;
2013-11-30;9;108.3;null;null;204.9;4.9;null;235;null;30.9;null;null;72.7;5;1.3;60;null;
2013-12-31;9;50.4;null;null;134.7;7;null;614.1;null;28.5;null;null;86.5;4;1.1;60;null;
2014-01-31;9;103.7;null;null;252.8;4.2;null;48.6;null;30.9;null;null;74.6;11;1.5;60;null;
2014-02-28;14;124.4;null;null;243.5;4.1;null;6.1;null;31.4;null;null;68.4;6;1.4;60;null;
2014-03-31;14;102.1;null;null;198.3;5.2;null;35.1;null;30.8;null;null;75.6;4;1.1;60;null;
2014-04-30;14;88.3;null;null;237.6;3.8;null;64.8;null;31.1;23.3;17.8;73.2;3;1.1;60;null;
2014-05-31;14;120.2;null;null;270.4;2.2;null;0;null;30;21;14.4;68;3;1.2;59.8;null;
2014-06-30;14;102.5;null;null;224.3;4.1;null;1.9;null;28.3;null;null;70.1;5;1.4;60;null;
2014-07-31;9;126.1;null;null;263.3;2.6;null;0;null;28.2;null;null;67.2;5;1.5;60;null;
2014-08-31;14;166.2;null;null;269.5;2.2;null;0;null;29.8;21.5;13.8;55;4;1.5;60;null;
2014-09-30;14;192.8;null;null;283.3;1.7;null;29;null;31.8;23.4;16.5;53.6;5;1.8;60;null;
2014-10-31;9;177.2;null;null;254.8;3.8;null;82;null;31.6;24.2;17.5;60.3;5;1.8;60;null;
2014-11-30;14;124.7;null;null;182.2;5.3;null;83.6;null;30.6;24.2;19.1;76.8;4;1.2;60;null;
2014-12-31;9;122.7;null;null;208.5;5.2;null;82.2;null;30.7;23.9;18.2;71.5;5;1.4;60;null;
2015-01-31;14;177.5;null;null;273.3;2.3;null;6.9;null;34.2;25.9;19.1;54.3;5;1.7;60;null;
2015-02-28;14;119.8;null;null;186;5.2;null;100.5;null;31.2;24.4;19.1;67.3;6;1.7;60;null;
2015-03-31;14;108.4;null;null;223.1;4.2;null;136.4;null;31.8;24.4;18.9;71.5;4;1.2;60;null;
2015-04-30;14;98.6;null;null;190.9;4.7;null;17.3;null;30.7;23.6;18;72.5;3;1.2;60;null;
2015-05-31;14;104.4;null;null;215.5;4.4;null;.8;null;29.3;21.6;15.4;69.7;4;1.2;60;null;
2015-06-30;14;123.6;null;null;236.3;3.3;null;0;null;28.9;21;14.4;65.5;6;1.7;60;null;
2015-07-31;14;136.8;null;null;238.9;2.7;null;.6;null;29;20.7;13.2;61.9;5;1.5;60;null;
2015-08-31;14;160.5;null;null;275.8;3;null;0;null;29.7;21.5;14.2;55.2;5;1.7;60;null;
2015-09-30;9;243.6;null;null;276.9;1.2;null;0;null;35.3;26.3;17.9;44.4;7;1.7;60;null;
2015-10-31;14;245.4;null;null;274;2.5;null;4.3;null;35.2;27.1;20.2;45.7;5;1.7;60;null;
2015-11-30;14;186.3;null;null;214.3;4.3;null;102.1;null;35;27.5;21.4;56.7;6;1.8;60;null;
2015-12-31;14;149;null;null;229.4;3.9;null;100.6;null;34.1;26.3;20.3;62;5;1.6;60;null;
2016-01-31;9;72.6;null;null;115.3;7.4;null;614.5;null;29.5;24;20;81.4;4;1.5;60;null;
2016-02-29;14;106.1;null;null;251.2;2.7;null;12.3;null;32.5;24.7;18.2;69.4;5;1.4;60;null;
2016-03-31;9;109.7;null;null;246.1;3.1;null;53.6;null;32.2;24.7;19.3;69.2;3;1.3;60;null;
2016-04-30;14;122.7;null;null;243.1;2.8;null;17.7;null;32;23.8;17.6;66.5;5;1.5;60;null;
2016-05-31;9;105.6;null;null;253.9;2.4;null;1.6;null;30.6;22;15.9;69.6;3;1.2;60;null;
2016-06-30;14;117.6;null;null;242.2;1.9;null;0;null;29.5;20.6;13.5;64.8;5;1.4;60;null;
2016-07-31;14;135.2;null;null;268.5;1.8;null;0;null;29.9;20.4;12.2;60.3;5;1.4;60;null;
2016-08-31;14;168.2;null;null;268.1;2.2;null;2.7;null;31.1;22.4;14.7;56.1;5;1.9;60;null;
2016-09-30;14;188.3;null;null;235.9;3;null;42.4;null;32.7;24.7;17.8;51;5;1.9;60;null;
2016-10-31;14;176.1;null;null;219.1;3.9;null;67.9;null;32.8;25.4;19.3;58.5;6;1.5;60;null;
2016-11-30;9;104.5;null;null;169.5;5.6;null;114.4;null;30.7;24.4;19.8;71;6;1.7;60;null;
2016-12-31;9;108.9;null;null;207.6;4.7;null;90.6;null;31.4;24.5;19.3;70.4;6;1.7;60;null;
2017-01-31;9;161;null;null;257.6;2.6;null;27.4;null;33.4;25.6;19.1;57.1;5;1.6;60;null;
2017-02-28;9;91.9;null;null;168.6;5.7;null;168.1;null;30.6;23.8;18.9;74.6;5;1.4;60;null;
2017-03-31;14;102.9;null;null;225;3.8;null;221.6;null;31.5;23.8;18.4;72.1;4;1.2;58.2;null;
2017-04-30;14;102.3;null;null;225.4;3.1;null;7;null;31.3;23.2;17;70.4;4;1.2;60;null;
2017-05-31;14;101.8;null;null;203.9;4.4;null;11.6;null;29.5;21.9;16.2;70;5;1.5;59;null;
2017-06-30;9;131;null;null;232.6;3.6;null;0;null;29.5;20.8;14.4;63.8;5;1.7;60;null;
2017-07-31;14;131.4;null;null;220.6;4.4;null;.7;null;26.2;18.6;12.2;61.3;5;1.9;60;null;
2017-08-31;9;171.6;null;null;279.6;1.2;null;0;null;30.4;20.7;12.4;51.9;6;1.7;60;null;
2017-09-30;14;186;null;null;253.3;2.7;null;0;null;29.8;22.4;15.7;49.3;8;2.6;60;null;
2017-10-31;14;223.5;null;null;265.9;3.1;null;23.6;null;33.9;25.9;19;45.8;7;2.2;60;null;
2017-11-30;14;123.3;null;null;124.6;6.3;null;85;null;30.2;24.5;20;67.1;6;1.6;60;null;
2017-12-31;14;74.4;null;null;139.3;6.5;null;278.3;null;29;23.4;19.3;78.8;4;1.3;60;null;
2018-01-31;9;130.2;null;null;223.8;4.3;null;62.6;null;31.4;24.6;19.4;68.7;6;1.5;60;null;
2018-02-28;9;55.8;null;null;164.8;5.8;null;282.2;null;28.8;23.3;19.4;81.3;5;1.4;60;null;
2018-03-31;14;67.6;null;null;196.3;4.6;null;65.2;null;30.1;23.7;19.7;80.4;5;1.2;60;null;
2018-04-30;14;74;null;null;180;5;null;35.7;null;28.8;22;17.5;77.1;7;1.2;60;null;
2018-05-31;14;91.7;null;null;234.5;3.7;null;12.1;null;28.5;20.6;15;76.3;5;1.3;60;null;
