Nome: JATAI
Codigo Estacao: 83464
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 669.84
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;83.5;107.8;107.8;125.3;7.9;24;342;937.3;29.4;23.2;19.8;81;5.2;1.3;48.8;null;
2012-02-29;0;106.6;106.8;106.8;163.6;6.4;18;326.9;937.6;31.5;24;19.2;74.4;4.8;1.2;52.8;null;
2012-03-31;0;94.5;104;104;183.3;6.2;20;243.8;938.4;31.3;23.5;19.2;77.3;8.2;1;53;null;
2012-04-30;0;83.1;95.2;95.2;195.3;6.3;16;181.7;938.3;31.1;23.4;19.2;78.9;5.2;1;51.2;null;
2012-05-31;0;86.8;62.7;61.9;222.7;4.8;4;49.8;940.7;28.4;19.9;14.7;77.2;5.5;.9;51;null;
2012-06-30;0;104.7;59.5;58.4;217.9;4.1;9;52.3;941.3;28.5;19.8;14.4;75.3;6.8;1;48.7;null;
2012-07-31;0;150.1;51.4;34.5;265.5;2.2;2;3.1;941.6;29.5;18.6;10.8;61.7;4.2;1;50.4;null;
2012-08-31;5;251.1;83.7;28.6;272.1;2.2;0;0;942.5;31.6;22.1;14.2;41.5;7.2;1.9;52.7;null;
2012-09-30;0;243.2;104.5;80.2;178.4;4.1;7;74.5;940;34.3;24.1;16.2;48.5;6.5;1.4;50;null;
2012-10-31;0;206.6;138.1;84.9;232.8;5.5;9;77.5;937;35;26;19.3;55.7;4.2;1.3;53.1;null;
2012-11-30;0;96.1;118.9;118.9;153.3;7.7;21;286;935.6;30.8;24.5;20.6;76.1;8.1;1.3;51.7;null;
2012-12-31;0;101.9;130.1;130.1;184.6;6.9;18;154.6;937;32;24.9;20.5;null;3.2;.6;46.2;null;
2013-01-31;0;75.1;118.8;118.8;123.3;7.7;26;278.5;936.8;30.4;24.2;20.7;80.9;3.7;1.2;53.2;null;
2013-02-28;0;70.9;94.5;94.5;113.7;7.9;24;203.6;937.7;30.2;23.8;20.1;80;7.2;1;52.6;null;
2013-03-31;0;80.5;113.5;113.5;148.7;7;17;370.9;937.7;31.5;24.4;20.4;78;3.4;1;52.6;null;
2013-04-30;0;73.4;82.4;82.4;128.7;6.4;10;161.9;939.3;29.4;22.1;17.7;79.4;4.5;.9;52.7;null;
