Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;72.9;99.6;99.6;104;7.9;25;210.1;924.9;28;22.6;18.9;82.2;8;1.8;66.8;null;
2012-02-29;27;114.8;99.1;99.1;174.7;6.3;18;387;925.3;30.4;23.5;18.8;73.7;8;1.6;66.7;null;
2012-03-31;27;122.8;107.8;107.8;194.7;6;17;215.2;925.9;30.9;23.9;19;75.4;7;1.5;66.7;null;
2012-04-30;0;102.3;98.7;97.4;208.1;5.8;13;82.3;926.1;30.3;24;19.1;75.7;6;1.5;66.7;null;
2012-05-31;9;107.9;71.6;71.6;217.3;4.2;8;60.4;928.4;27.8;21;15.5;71.2;5;1.8;66.7;null;
2012-06-30;9;158.7;68.7;56;207.3;4.4;7;18.7;928.8;27.9;21.1;15.4;69.5;6;2.1;66.7;null;
2012-07-31;18;248.8;64.7;28.4;261.9;2.4;2;1.4;929.2;29.3;20.6;13.6;50.6;4;1.7;66.7;null;
2012-08-31;9;357.6;84.6;17.4;261.8;2.7;0;0;930.2;30.5;22.2;15;44.7;9;3;66.7;null;
2012-09-30;9;323.5;117.9;93.6;206.6;5;7;96.5;927.8;33.6;25.2;18.3;43.2;14;2.7;66.7;null;
2012-10-31;9;261.2;142.2;57.4;227.6;5.3;8;52.9;924.6;34.3;26.3;19.6;51.7;7;2;66.7;null;
2012-11-30;27;112;113.2;113.2;137.9;7.6;20;254.8;923.5;30.3;24.1;19.7;76;12;2;66.7;null;
2012-12-31;null;null;null;null;null;null;13;null;924;30.9;24.2;19.9;73.1;7;null;null;null;
2013-01-31;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;
2013-02-28;9;78.9;95.7;95.7;101.7;7.4;19;192.1;925.8;29.8;23.7;19.2;76.8;7;1.6;66.7;null;
2013-03-31;27;61.3;110.3;110.3;155.1;7.5;21;533.4;925.7;30.5;24;19.4;77.5;5;1.5;66.5;null;
2013-04-30;18;48.1;84.3;84.3;136.2;6.2;10;131.3;927.1;28.4;22.3;17.5;72.2;5;1.9;66.7;null;
2013-05-31;18;145.3;86.8;61.9;244.6;3.6;2;6.9;927.9;29.3;22.4;16.1;58.7;7;1.8;66.7;null;
2013-06-30;9;158.6;75.8;56.8;214.5;4.6;5;44.6;928.6;29.1;22;16.5;64.2;5;1.8;66.7;null;
2013-07-31;18;208.8;63;15.8;256.5;2.4;1;.4;929.8;28.8;20.5;13.6;52;5;2.1;66.7;null;
2013-08-31;18;208.6;80.5;9.8;240.2;2.9;0;0;928.7;30.5;21.9;13.5;41.5;7;2.6;66.7;null;
2013-09-30;9;297.5;107;20.6;196;5.1;5;15.7;927.2;32.4;24.2;16.9;48;10;2.8;66.7;null;
2013-10-31;18;227.2;117.8;97.6;158.9;6.8;13;97;925.9;32.5;24.5;18.9;63.6;7;2.2;66.7;null;
2013-11-30;27;128.5;102.3;102.3;167.8;7.2;18;340.9;924.1;30.8;24;19.4;72.5;6;2.4;66.7;null;
2013-12-31;null;null;null;null;null;null;18;null;923.2;30.3;24.1;20.2;79.5;5;null;null;null;
2014-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-02-28;null;null;91.5;91.5;null;null;9;null;null;null;null;null;null;null;null;null;null;
2014-03-31;36;80.7;103.3;103.3;163.9;7.3;21;356.8;925.8;30.6;23.4;19.3;77.6;5;1.7;66.7;null;
2014-04-30;0;95.8;96.7;96.7;209.3;5.3;9;129.8;926.6;29.7;23.6;18.7;74.2;5;1.5;67;null;
2014-05-31;18;126.3;73.4;52;220.3;4.4;0;0;927.9;28.6;21.2;15.3;65.4;5;1.3;66.6;null;
2014-06-30;0;184.6;68.7;33.3;218.8;3.7;2;12.7;929.5;29.2;21.2;15;63;5.1;1.2;66.6;null;
2014-07-31;0;237.2;64.7;59.5;224.8;3.5;4;57.6;931;28.4;20.4;14.1;56.7;7;1.3;65.6;null;
2014-08-31;0;432.8;88.5;15;291;1.1;0;0;929.5;31.8;22.7;15.5;43.7;4.7;1.5;64.6;null;
2014-09-30;9;360.4;112.9;65.5;214.8;4.3;8;61.2;927.2;33.9;24.9;18.6;54.3;6.3;2;65;null;
2014-10-31;0;381.1;120.4;67.2;214.7;4.2;9;64.5;926.8;34.4;26.2;18.9;53.5;7;1.5;64.8;null;
2014-11-30;0;175.9;113.1;113.1;109.4;6.9;20;384.5;925.2;null;null;19.3;78.9;4.8;1.6;67;null;
2014-12-31;0;182;118.8;118.8;81.1;7.1;20;334.6;925.7;null;null;19.4;79.9;11.5;2.3;66.7;null;
2015-01-31;0;323.1;117.9;117.9;236.3;4.2;11;120.6;927.2;null;null;19.5;66.9;5.3;1.8;65.4;null;
