Nome: PARACATU
Codigo Estacao: 83479
Latitude: -17.24416666
Longitude: -46.88166666
Altitude: 711.41
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-11-22
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;128.9;111.3;111.3;153.4;7.6;17;376.9;932.7;29.1;23.2;19.2;80.3;7;2;70;null;
2012-02-29;9;142.5;113.6;111.6;223;5.6;9;93;933.2;31;24.6;19.7;71.2;6;2.2;70;null;
2012-03-31;9;157.9;115.8;115.5;234.6;5.7;14;114.1;933.6;31.4;24.5;19.5;72.3;7;2.2;70;null;
2012-04-30;9;141.1;109.6;62.8;244.8;5.2;6;13.4;933.6;31.9;24.7;19.6;71.3;6;2.1;70;null;
2012-05-31;14;132.8;78.7;33.6;226.6;5.7;3;20;936.2;28.9;21.5;16.7;73.3;9;2.2;70;null;
2012-06-30;9;148.3;79.2;39.1;269.9;3.3;3;32.8;936.7;29.8;22.2;16.4;68.6;5;1.9;70;null;
2012-07-31;9;228.7;71.7;5.5;283.3;2.6;0;0;937.2;29;21;14.9;58.8;6;3;70;null;
2012-08-31;9;318;77.6;2.8;297;3.5;0;0;938.9;28.4;21.3;15.6;52;9;3.8;69.5;null;
2012-09-30;9;341.1;110.3;23.8;247.7;4.1;4;22.4;936;31.9;24.5;18.2;49.1;7;3.1;69.4;null;
2012-10-31;9;361;137.9;32.6;273.5;4.6;6;31.9;932.8;33.5;26.1;19.9;49.9;8;3.2;70;null;
2012-11-30;36;120.5;111.5;111.5;151.1;8.2;23;393.1;931.1;29.4;23.8;20;81.2;5;2.8;70;null;
2012-12-31;9;189;137.9;137.9;252.6;6.1;16;166.2;931.8;31.9;25.5;20.5;69.5;6;3;69.5;null;
2013-01-31;0;123.3;113.7;113.7;135.6;7.7;23;372.6;932.8;28.7;23.7;20.2;81;7;2.1;70;null;
2013-02-28;9;171.8;113.1;113.1;210.7;6.1;10;133.9;932.9;30.9;25;20.1;69.5;8;2.5;69.8;null;
2013-03-31;9;126.9;116;116;177.4;7.3;2;260.1;933.2;29.9;24.5;20.5;79.1;6;2.4;70.6;null;
2013-04-30;9;113.4;87.7;87.7;216.7;6;null;169.1;934.7;28.4;22.6;18.1;77.8;6;2.2;70;null;
2013-05-31;9;153;80.6;64.3;272.5;3.5;null;17.4;935.6;28.3;21.9;16.7;70.6;5;2.2;70;null;
2013-06-30;9;119.3;72.2;45;250.3;3.9;null;25;936.6;27.6;21.5;16.6;73.6;5;2;70.3;null;
2013-07-31;0;179.1;71.6;17;291.2;2.1;null;0;937.5;28.3;21;15.2;63.9;6;2.2;70.3;null;
2013-08-31;9;232.6;81.2;9;304.7;2.4;null;0;936.6;29.8;21.8;15.2;55.9;5;2.6;69.8;null;
2013-09-30;9;249.6;105.6;20.3;234.7;4.7;null;16.4;935.4;31.3;24.1;18.3;57.7;8;3.2;70;null;
2013-10-31;9;183.5;113.7;81.6;187.2;6.6;null;80.8;933.9;30.2;24.1;19.1;68.4;7;2.7;70;null;
2013-11-30;9;152.9;115;115;191.8;6.9;null;183.6;931.8;30.3;24.2;19.6;74;6;2.5;70;null;
2013-12-31;36;103.4;119.5;113.6;163.6;8.2;null;381.1;930.8;29.7;24.1;20.1;81.5;6;3.1;70.3;null;
2014-01-31;5;149.2;127.5;127.5;255.1;5.6;null;135.2;934.1;31.1;24.7;19.7;70.8;8;2.1;70;null;
