Nome: JOAO PINHEIRO
Codigo Estacao: 83481
Latitude: -17.74027777
Longitude: -46.17694443
Altitude: 759.62
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;167.7;110.4;110.4;null;6.3;17;227.9;1011.4;928.9;28.7;23.6;19.4;75.7;3.6;1.2;69.2;
2012-02-29;9;null;119.2;117.2;null;4.9;7;98.3;1010.9;929.1;30.7;25.1;20.3;65.3;3.6;1.4;70;
2012-03-31;9;256.9;118.8;118.8;null;4.9;13;137.9;1011.6;929.6;30.7;24.8;20.4;68.4;3.6;1.4;70;
2012-04-30;9;239.2;110;89.1;null;4.3;7;37.6;1011.3;929.3;30.8;24.8;20.3;67.2;5.4;1.4;70;
2012-05-31;14;226;65.6;32.3;null;4.8;3;12.2;1014.9;931.7;27.8;22;17.7;68.5;3.6;1.4;70;
2012-06-30;9;230.1;82.4;29.4;null;2.4;2;15.5;1015.2;932.3;28.8;22.7;18.2;62.8;3.6;1.3;70;
2012-07-31;14;332.3;77.2;7.8;null;1.8;0;0;1015.9;932.5;28.2;21.9;17.2;55.5;3.1;1.3;70;
2012-08-31;9;377.7;79.8;3.7;null;2.4;0;0;1017.6;934;28.2;21.8;16.4;51.1;3.6;1.9;69.3;
2012-09-30;0;427.3;151.2;16;null;3;5;13.7;1013.7;931.4;32.3;25;19.3;49.6;4.1;1.3;70;
2012-10-31;9;451.6;143.6;19.4;null;3.6;5;24.9;1010.1;928.7;33.7;26.5;20.8;49.8;3.6;1.2;70;
2012-11-30;0;167.1;95.6;95.6;null;7.1;20;272.4;1009;927;29.5;24;19.9;76.8;3.6;1.4;70;
2012-12-31;0;284;136.4;122.2;null;5;11;78;1008.5;927.3;32.5;26.5;21.9;65.1;3.1;1.1;70;
2013-01-31;0;174.8;114.1;114.1;null;7.1;21;335.8;1010.3;928.2;28.6;23.9;20.4;79.5;3.1;1;69.9;
2013-02-28;9;234.2;125;108.8;null;5.7;6;62.2;1009.9;928.4;31.5;25.8;21.3;67.1;3.6;1.3;70;
2013-03-31;9;225.3;119;119;null;6.1;3;299.5;1010.8;928.6;30.2;24.9;20.9;75.6;3.6;1.3;70.3;
2013-04-30;14;184.3;91.4;91.4;null;5.1;null;127.1;1012.9;930.2;28.7;23.1;19;72.6;3.6;1.4;70;
2013-05-31;0;251.8;85.9;60.3;null;2.7;null;4.7;1013.7;930.8;28.7;22.7;17.9;67.5;3.1;1.2;68.5;
2013-06-30;9;216.7;79.5;32.6;null;3.3;null;10.5;1014.9;931.8;28.3;22.4;18;68.9;3.1;1.3;70.2;
2013-07-31;14;313.9;80;12.3;null;1.2;null;0;1015.7;932.4;29;22.1;17;57.5;4.1;1.5;70;
2013-08-31;9;364;90.7;6.3;null;2.3;null;.3;1014.8;931.9;30.2;22.9;16.8;52.7;3.6;1.4;69.3;
2013-09-30;9;381.5;109.4;15.4;null;3.9;null;12;1013.3;931.1;31.4;24.4;18.7;57.1;4.1;1.6;69.8;
