Nome: PIRAPORA
Codigo Estacao: 83483
Latitude: -17.34916666
Longitude: -44.92166666
Altitude: 509.52
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-10-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;101.7;126.8;126.8;182.7;7.3;15;222.4;955.8;30.5;25;21;75.7;3.8;1.5;59.9;null;
2012-02-29;9;138;134.5;88.9;261.3;5.8;6;21.1;956;32.6;26.2;20.9;66.1;4;1.8;62.5;null;
2012-03-31;9;124.3;126.9;112.7;233.8;6.1;9;106.7;956.5;31.6;25.5;20.6;70.1;4.3;1.4;60.2;null;
2012-04-30;23;126.6;116.4;22.9;264.4;4.9;5;5.3;956.3;32.7;25.4;19.9;69.9;4.1;1.4;62;null;
2012-05-31;23;111.3;82.3;11.7;216.2;5.7;4;7.1;959.3;29.4;22.5;17.4;70.4;4;1.3;62.3;null;
2012-06-30;23;121.9;79.1;2.6;262;3.2;1;.4;960;30.8;22.6;16.3;68.8;3.3;1.3;60.2;null;
2012-07-31;23;158.3;72.5;1;289.8;2.9;0;0;960.5;30.4;21.6;14.4;59.5;4.6;1.4;62.3;null;
2012-08-31;9;197.2;83;.5;276.4;3.8;0;0;962.5;29.9;22.5;15.6;52.7;6.6;2.5;63.1;null;
2012-09-30;5;222.6;122.2;1;258.8;4.6;1;.7;959.2;33.4;25.6;18.6;49.7;4.5;2.2;58.8;null;
2012-10-31;5;265.5;167.7;3.7;270;4.8;4;3.6;955.8;35.4;28;21.3;49.1;5;2.1;61.8;null;
2012-11-30;5;90.3;125.9;125.9;145.5;8.5;22;369.4;954.2;30.6;25.3;21.7;77.1;4;1.7;60.4;null;
2012-12-31;5;148.1;172.6;162.3;287.6;5.9;9;123.4;954.4;34.2;27.7;22.4;64.6;4;1.5;61.1;null;
2013-01-31;5;98.5;137.1;137.1;142.1;8.4;17;187.4;955.5;30.9;25.6;21.7;76.6;4.1;1.6;61.1;null;
2013-02-28;5;124.9;141.4;77.8;251;7.2;4;2.5;955.6;33.2;26.7;21.2;66.5;3.3;1.4;61.2;null;
2013-03-31;5;114.4;138.7;121.8;209.1;7.7;2;145.5;956;32.8;26.2;21.6;74.2;3.8;1.4;62.7;null;
2013-04-30;23;77.9;95.8;45.7;223.2;7.4;null;78.8;957.7;30.2;23.8;19.3;78.3;3;1.1;62.7;null;
2013-05-31;23;null;83.4;19.1;246;4.3;null;13.5;958.4;30.1;22.6;17.1;72.8;3.8;1.1;61.7;null;
2013-06-30;23;96.4;73.3;3.8;244.4;4.7;null;1;959.8;30.2;22;16.4;72.9;5.2;1.2;61.4;null;
2013-07-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;null;0;959.9;32.5;24.3;17.5;50.8;4.5;null;null;null;
2013-09-30;5;198.4;null;null;235.5;5.4;null;41.8;958.3;33.1;26;19.5;54;5.8;2.2;61.9;null;
2013-10-31;5;166.5;137.2;47.8;223;7.2;null;35;956.8;32.8;26;20.8;61.2;5;2;61.6;null;
2013-11-30;5;159.7;148.1;148.1;210.8;7.3;null;202;954.6;33;26.6;21.9;65.8;5;2.1;60.7;null;
2013-12-31;5;66.2;133.6;133.6;157.9;8.8;null;407.8;953.5;30.5;25.3;21.7;82.3;5;1.6;63.3;null;
