Nome: CARBONITA
Codigo Estacao: 83485
Latitude: -17.53305554
Longitude: -43.01222222
Altitude: 765.37
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;114.1;null;null;null;6.8;9;112;null;28.9;22.6;17.9;72.3;null;null;null;null;
2012-02-29;null;129.8;null;null;null;5.7;7;13.7;null;30.6;23.4;17.6;63.4;null;null;null;null;
2012-03-31;null;138.2;null;null;null;5.8;6;106.8;null;29.9;22.9;17.3;68.4;null;null;null;null;
2012-04-30;null;117.8;null;null;null;5.4;1;.5;null;30.4;22.7;17.2;68.3;null;null;null;null;
2012-05-31;null;75.5;null;null;null;6.6;9;76.7;null;26.1;19.7;15.1;76.1;null;null;null;null;
2012-06-30;null;85.3;null;null;null;5.2;0;0;null;27.2;19.2;13.5;73.5;null;null;null;null;
2012-07-31;null;117.5;null;null;null;4.6;1;.2;null;27.1;18.5;11.5;66.2;null;null;null;null;
2012-08-31;null;111.6;null;null;null;6.3;7;9;null;26.6;18.8;12.3;65.3;null;null;null;null;
2012-09-30;null;169.5;null;null;null;5.5;2;20;null;29.8;21.5;14.4;56;null;null;null;null;
2012-10-31;null;195.4;null;null;null;5.7;4;15.5;null;31.8;23.4;16.4;52.9;null;null;null;null;
2012-11-30;null;85.9;null;null;null;8.2;20;231;null;28.4;22.7;19.1;78.6;null;null;null;null;
2012-12-31;null;117.3;null;null;null;5.2;5;67.7;null;32.3;25;18.6;62.4;null;null;null;null;
2013-01-31;null;117.2;null;null;null;7.3;16;222.4;null;29.9;23.7;19.2;71.2;null;null;null;null;
2013-02-28;null;120.8;null;null;null;6;null;10.2;null;31.1;23.7;17.7;65.5;null;null;null;null;
2013-03-31;null;129.8;null;null;null;5.8;null;63.2;null;31.1;24.3;19.4;68.7;null;null;null;null;
2013-04-30;null;73.9;null;null;null;7;null;76.1;null;27.4;21.2;16.1;75.9;null;null;null;null;
2013-05-31;null;91.6;null;null;null;5.7;null;0;null;27.6;19.7;13.3;73.1;null;null;null;null;
2013-06-30;null;87.3;null;null;null;6.2;null;8.4;null;26.8;19.3;13.7;73.9;null;null;null;null;
2013-07-31;null;120.4;null;null;null;5.4;null;0;null;27.1;19;12.2;66.3;null;null;null;null;
