Nome: TEOFILO OTONI
Codigo Estacao: 83492
Latitude: -17.86027777
Longitude: -41.5075
Altitude: 349.11
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2019-03-11
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;80.9;133.6;133.6;160.3;6.5;15;180;1011.4;973.3;30.9;25.3;21.6;73.5;5.1;1.4;68.6;
2012-02-29;9;96.3;130.7;102;227.6;4.3;11;44.1;1012;974;32.4;25.8;21.1;66;4.1;1.1;70.5;
2012-03-31;9;107.2;135.8;55.9;206;4.8;9;28.2;1011.8;973.8;32.8;26.1;21.3;65.3;10.1;1.3;70.6;
2012-04-30;18;96.3;119.3;45.3;192.4;4.8;8;37.1;1011.5;973.5;32.5;25.6;21;67.5;3.1;1.2;70.8;
2012-05-31;0;68.3;82.7;58.6;131.4;6.5;11;57.2;1015.4;976.8;28.2;22.4;18.6;75.4;2.6;.8;69.4;
2012-06-30;0;72;79.4;12.2;183.9;4.2;4;9.7;1016.2;977.5;29.8;22.4;18;73.7;6.1;1;71.2;
2012-07-31;0;81.2;71.3;17.6;188.9;4.2;6;16.6;1017.5;978.7;28.3;21.2;16.5;71.6;3.1;.9;72.9;
2012-08-31;9;76.3;74.6;74.6;178.6;5.6;21;87.9;1020;981.1;27.7;21.3;17.1;74.3;8;1.3;69.1;
2012-09-30;36;98.2;95;34.4;176.5;5.1;7;27.2;1016.5;978;29.9;23.3;18.6;68.9;3.1;1.4;71.3;
2012-10-31;9;128.4;126.6;18.3;219.8;4.4;4;13.2;1013.1;975.1;32.5;25.3;20.1;61.5;4.1;1.4;72.8;
2012-11-30;9;63.3;116.2;116.2;95.3;7.9;25;466.1;1010.1;972;29.7;24.4;20.8;80.2;3.6;1.1;67.3;
2012-12-31;18;121.1;168.7;120.7;279.9;3.3;4;51.7;1009.1;971.6;34.4;27.5;22.1;63.9;5.6;1.1;72.4;
2013-01-31;9;106.4;154.6;154.6;169.1;6.7;12;189.8;1010.1;972.3;32.9;26.6;22.2;68.3;5.6;1.3;69.7;
2013-02-28;9;105.4;135.6;65.8;221.9;4.2;6;30.5;1011.3;973.5;33.2;26.7;22.1;66.7;3.6;1.2;70.5;
2013-03-31;14;96.3;140.3;115.8;193.2;5.3;2;110.4;1011;973.1;33.2;26.4;22.1;72.9;3.6;1.1;69.9;
2013-04-30;0;68.6;100.3;46.7;136.9;7.1;null;39.6;1013.4;975.1;29.5;24;20.5;75.2;3.1;.9;67.8;
2013-05-31;0;74.3;85.8;41.8;154.5;5;null;38.6;1015;976.4;29;22.7;18.6;73.5;6.1;.8;70.5;
2013-06-30;0;56.1;73.8;40.6;155;5.3;null;39.1;1016.5;977.6;28.4;21.9;17.9;78.2;3.1;.7;69.9;
2013-07-31;0;81;75.9;5.3;171.8;4.6;null;3.4;1017.8;979;28.7;21.8;17.4;76.2;2.6;1;70.8;
2013-08-31;9;98.7;83.3;12.3;200;4.8;null;11.4;1017.2;978.4;29.5;22.3;17.1;69.4;3.1;1.2;71.8;
2013-09-30;9;98;97.1;36.7;135.2;6.8;null;36.3;1015.8;977.3;29.8;23.5;19;71.7;3.6;1.3;68;
2013-10-31;9;96.7;107.1;43;144.8;6.5;null;42.8;1014.2;975.8;29.6;23.7;19.5;73.1;4.1;1.3;69.4;
2013-11-30;9;96;128.1;94.8;175.6;6.2;null;94.7;1011;973;31.3;25.3;20.9;66.9;3.6;1.3;69.6;
2013-12-31;0;55.8;140.4;140.4;130.6;7.2;null;518.9;1008.3;970.5;31.2;25.7;22;78.1;4.1;.9;67.4;
2014-01-31;9;101.3;145.3;123.1;229.2;5.2;null;70.3;1011.8;973.8;32.3;26.2;21.8;67.8;3.1;1.2;69.6;
2014-02-28;9;100.7;127.5;79;234.3;4.6;null;54.5;1012.2;974.3;33;26.2;21.3;66;2.6;1;69.6;
2014-03-31;0;93.2;134.6;115.5;171.2;5.8;null;110.7;1012;974.1;32.1;25.9;22;70.9;2.1;.9;69;
2014-04-30;0;80.1;110.8;37.7;209.8;4.1;null;27.6;1012.4;974.3;31.5;24.9;20.7;72;2.1;.7;71;
2014-05-31;0;80.1;88.9;22.9;187.2;4.7;null;9.9;1014.3;975.9;30.1;23.1;18.6;71.8;3.1;.9;72;
2014-06-30;0;63.6;72;47.6;144.3;6;null;46.7;1017;978.4;28.2;21.8;17.9;76.7;2.6;.7;69.5;
2014-07-31;0;65.4;70.3;17.8;134.7;6.1;null;16.5;1019.7;980.8;27.3;21.2;17.4;75.4;4.1;.7;69.4;
2014-08-31;0;95.5;76.4;23.2;220.7;3.8;null;22.5;1017.9;979.1;29;21.6;16.4;67.6;3.1;.9;72.4;
2014-09-30;9;121.4;104;2.5;203.2;4.2;null;1.8;1015.4;977.1;31.2;24.2;18.8;57.6;3.1;1.5;72;
2014-10-31;9;136.4;123.8;123.8;196.7;5;null;132.9;1014.2;976;32.1;25;20;60.2;3.6;1.3;70.6;
2014-11-30;9;94.3;128.1;128.1;181.5;6.3;null;141.5;1010.8;973.1;31.2;25.4;21;70.5;3.1;1.2;69.1;
2014-12-31;9;88.1;140.4;140.4;226.7;5.1;null;217.4;1011.7;973.8;31.8;25.7;21.2;70.9;2.6;.9;68.8;
