Nome: NHUMIRIM (NHECOLANDIA)
Codigo Estacao: 83513
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.27
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-11-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;98.9;null;null;null;6.3;16;237.8;null;33.5;27.2;22.4;83.8;8;3.4;70;null;
2012-02-29;5;86.5;null;null;null;7;13;127.8;null;33.6;27.2;22.7;83;8;3;70;null;
2012-03-31;36;99.8;null;null;239.8;4.9;10;107.2;null;33.8;26.5;21.6;82.9;8;2.3;70;null;
2012-04-30;0;79.6;null;null;173.8;5.4;9;88.2;null;33.1;26;21.2;83.5;8;2.5;70;null;
2012-05-31;0;114.9;null;null;204.4;4;7;60.4;null;30.5;23;16.8;80;8;2.1;70;null;
2012-06-30;0;120.2;null;null;200.6;4.6;4;51.8;null;29.4;21.4;15.4;80.4;8;2.3;70;null;
2012-07-31;23;160.9;null;null;235.3;3;2;2.4;null;29.1;20;13.3;75.5;14;2.7;70;null;
2012-08-31;36;309.1;null;null;269.2;1.8;0;0;null;34.4;23.6;15.2;59.4;14;4.2;70;null;
2012-09-30;36;335.3;null;null;228.3;2.4;2;64.8;null;36.7;26.7;18.1;59.8;20;3.8;70;null;
2012-10-31;36;196.1;null;null;218.6;3.8;4;39.8;null;35.2;28.1;22;76.6;16;3.4;70;null;
2012-11-30;36;162.5;null;null;194.1;4.8;11;157.9;null;34.3;27.6;22.6;84.5;8;2.1;70;null;
2012-12-31;36;225.3;null;null;239.7;3.7;8;44.8;null;35.4;28.5;23.3;82;8;2.2;70;null;
2013-01-31;36;169.4;null;null;237.2;3.9;7;141;null;35;27.8;21.4;84.6;10;2.2;70;null;
2013-02-28;36;129.7;null;null;181.6;4.5;null;22.9;null;33.9;27.2;22;91.5;8;2.5;70;null;
2013-03-31;36;163;null;null;227.2;4.6;null;130.2;null;34.2;27.2;22;85.2;8;2.2;70;null;
2013-04-30;0;128.9;null;null;225.2;3.2;null;51.8;null;32.5;24.8;19.5;82.3;4;1.4;70;null;
2013-05-31;0;142.4;null;null;null;4.5;null;29.8;null;30.9;23.2;16.8;82.1;6;1.6;70;null;
2013-06-30;0;97.3;null;null;142;3.7;null;88.7;null;29.7;22.3;17;85;4;1.1;70;null;
2013-07-31;0;182;null;null;225.1;2.4;null;23.6;null;30.2;20.3;13.5;79.4;4;1.1;70;null;
2013-08-31;0;null;null;null;260;1.7;null;0;null;31.2;20.6;11.9;58.9;6;2;70;null;
2013-09-30;0;308.8;null;null;238.5;2.8;null;35.6;null;34.2;25.1;17.5;59.5;6;1.7;70;null;
2013-10-31;36;278.6;null;null;199;4.3;null;17.7;null;35.8;27.5;20.7;64.9;5;1.7;70;null;
2013-11-30;0;null;null;null;241.8;3.5;null;115.7;null;35.2;27.9;21.7;74;4;1.4;70;null;
2013-12-31;36;null;null;null;209.7;3.9;null;129.5;null;34.9;27.8;22.9;78.7;3;1.3;70;null;
2014-01-31;36;null;null;null;220.2;4;null;89.5;null;34.1;27;21.5;77.5;4;1.5;70;null;
2014-02-28;0;123.9;null;null;123.8;4.9;null;64.4;null;33.2;26.7;22.1;80.1;4;1.4;70;null;
2014-03-31;36;141;null;null;197.8;4.1;null;173.7;null;33.7;27.1;22.3;79.8;4;1.5;70;null;
2014-04-30;0;121.6;null;null;177.2;3.7;null;69.1;null;33.2;26;20.7;82.1;3;1;70;null;
2014-05-31;0;101.6;null;null;194.9;4.3;null;274;null;29.3;22.3;17;86.1;4;1.2;70;null;
2014-06-30;0;58.2;null;null;174;3.9;null;21.2;null;29;22;17.1;84.6;6;1.6;70;null;
2014-07-31;0;84.3;null;null;193.1;3.8;null;65.5;null;28.7;20.5;14.6;85.3;4;1.5;70;null;
2014-08-31;0;150.7;null;null;247.6;2.9;null;5.2;null;32.8;22.9;14.9;81.2;5;1.5;67.2;null;
2014-09-30;36;217.4;null;null;247.8;2.9;null;68.6;null;35.6;26.9;19.9;76.4;5;1.7;70;null;
2014-10-31;36;265.5;null;null;256.9;3.5;null;49.6;null;37.1;28.6;21.2;68.2;6;1.7;70;null;
2014-11-30;36;156.6;null;null;185.9;4.7;null;234.8;null;33.4;26.5;20.3;77.6;4;1.8;70;null;
2014-12-31;36;162.9;null;null;214.3;4.5;null;80.8;null;34;27.6;22.3;78.3;4;1.5;70;null;
2015-01-31;36;168.1;null;null;234.5;4.4;null;61.4;null;35.8;27.8;21.5;75.6;5;1.3;70;null;
2015-02-28;36;null;null;null;null;4.9;null;233.9;null;33.8;27;21.4;82;4;1.6;70;null;
2015-03-31;0;null;null;null;null;3.7;null;129.4;null;33.9;26.4;20.3;83.1;4;1.4;70;null;
2015-04-30;0;92.5;null;null;156.6;4.6;null;65.3;null;33;25.9;19.4;84.2;3;1.2;70;null;
2015-05-31;0;102.8;null;null;181.2;4.8;null;46.6;null;30.8;23.6;17;81.9;4;1.7;70;null;
2015-06-30;0;169.7;null;null;211.7;3.3;null;0;null;31.8;22;13.5;78.3;4;1.5;70;null;
2015-07-31;36;128.6;null;null;175.7;5.1;null;67.6;null;29.9;21.4;14;81.4;5;1.7;70;null;
2015-08-31;36;276.4;null;null;282;2.4;null;27;null;35.8;24.3;13.8;70.6;5;1.8;70;null;
2015-09-30;36;229.4;null;null;212;4.1;null;150;null;34.4;25.4;17.1;73.4;4;1.7;69.2;null;
2015-10-31;36;201.9;null;null;216.8;4.7;null;79.4;null;34.6;26.8;19.5;79.6;4;1.9;70;null;
2015-11-30;36;169.4;null;null;206.4;5;null;175.8;null;35;27.7;20.7;73.9;4;1.9;69.2;null;
2015-12-31;36;186.5;null;null;217.8;4.7;null;108.7;null;34.9;27.6;20.9;77.7;4;2;70;null;
2016-01-31;36;133.7;null;null;159.2;5.9;null;261.2;null;32.5;26.8;20.6;85;6;1.7;70;null;
