Nome: CAPINOPOLIS
Codigo Estacao: 83514
Latitude: -18.7261111
Longitude: -49.56222222
Altitude: 608.98
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-08-13
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;115.9;103.2;103.2;175.6;7.6;21;307.8;943.8;28.7;23;19.7;86.2;3.6;.9;72.9;null;
2012-02-29;0;185.6;107.6;107.6;239.4;6.3;15;175.8;944.1;31.1;24.1;19.7;75.1;2.6;.8;75.5;null;
2012-03-31;5;208.8;115.5;115.5;265.9;5.5;10;173.4;944.7;31.6;24.6;20.3;74.3;4.1;.9;75.5;null;
2012-04-30;0;177.2;97.4;87.3;236.1;5.5;9;48.7;944.7;30.6;23.9;19.8;77.8;3.1;.8;74.6;null;
2012-05-31;5;221.3;68.7;47.8;256.2;4.5;7;26.7;947.3;27.7;21;16.8;71.7;4.1;1.1;74.8;null;
2012-06-30;5;220;68.5;68.3;251.9;3.5;6;68.2;947.6;28.6;21.5;17.2;69.8;4.1;1.1;74.8;null;
2012-07-31;5;329.8;63.5;20.8;305.7;1.9;1;2.4;947.9;28.7;20.5;15.3;55.9;4.1;1.3;76;null;
2012-08-31;5;513.5;84.9;12.5;304.9;2.2;0;0;949.3;30;22.3;17;44.7;6.2;2;75.4;null;
2012-09-30;5;null;119.9;35.2;252.8;3.7;5;29.6;946.5;33.9;25.5;19.6;42.6;7.7;1.5;73.6;null;
2012-10-31;5;null;148.4;67.4;273.8;5.3;7;65.3;943.4;35.2;26.9;21.1;51.3;5.1;1.3;75.8;null;
