Nome: IPAMERI
Codigo Estacao: 83522
Latitude: -17.72444443
Longitude: -48.17194443
Altitude: 778.14
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;95.3;140.9;140.9;null;8.3;25;374;925.7;28.1;22.7;19.4;79.9;2;.7;66.7;null;
2012-02-29;0;154.4;133.1;126.4;null;5.1;13;94.2;926;30.3;24;19.1;68.5;3;.8;66.7;null;
2012-03-31;0;142.3;136.9;136.9;null;5.5;15;150.4;926.5;30.4;23.8;19.2;72.4;2;.6;66.7;null;
2012-04-30;0;124.9;126.3;125.2;null;4.9;11;121;926.5;30;23.6;19.1;73.8;3;.7;66.7;null;
2012-05-31;0;128.1;117.8;90.4;null;4.4;8;54;929;27.1;20.5;15.6;72.5;3;.6;66.7;null;
2012-06-30;0;137.5;115.2;94.2;null;2.8;3;82.9;929.6;27.9;20.8;15.3;68.2;2;.6;66.7;null;
2012-07-31;0;198.2;115.5;20.3;null;2.2;1;1.1;929.9;27.9;19.7;12.7;58.4;3;.7;66.7;null;
2012-08-31;9;306.6;120.9;6.5;null;1.9;0;0;931.4;28.4;20.9;14.1;48.3;3;1.4;66.8;null;
2012-09-30;0;304.9;131.5;48.4;null;3.1;5;46.8;928.7;32.2;24.2;17.1;45.3;3;.9;66.7;null;
2012-10-31;9;317.2;146.8;42;null;4;5;41.2;925.7;33.3;25.8;19.6;49.7;3;1;66.7;null;
2012-11-30;0;134.5;142.1;142.1;null;7.3;16;189.3;923.9;30.2;24.4;20.6;74.7;3;.8;66.7;null;
2012-12-31;0;158.7;152.7;152.7;null;6.3;15;181.7;925;31.7;25.2;20.4;70.3;2;.6;66.7;null;
2013-01-31;0;68.5;145.5;145.5;null;7.4;21;222.4;925.5;28.6;23.6;20.3;79.6;3;.8;66.8;null;
2013-02-28;0;120.5;129.6;123.3;null;6.7;11;79.4;925.8;30.7;24.2;19.6;72.7;3;.6;66.7;null;
2013-03-31;0;116.9;138.2;138.2;null;7.3;20;282.8;926.1;30;24.2;20.4;78.2;2;.6;66.7;null;
2013-04-30;0;126.4;121.1;121.1;null;5.7;10;226.8;927.8;28.4;22.1;17.4;75.1;2;.6;66.8;null;
2013-05-31;0;157.9;120.8;91.1;null;2.7;2;32.4;928.4;28.6;21.3;15.3;67.9;2;.7;66.7;null;
2013-06-30;0;128.9;115.9;43.6;null;4.1;6;17.8;929.5;27.9;21;15.5;71.7;2;.6;66.8;null;
2013-07-31;0;194;115.4;10.6;null;2.2;0;0;930.4;28.2;19.7;13;60.2;2;.6;67;null;
2013-08-31;0;282.8;122.9;3.8;null;2.3;2;.3;929.3;29.8;21.5;14.2;48.7;3;1;66.6;null;
2013-09-30;9;282.9;129.5;29.7;null;4.3;7;28.8;928;31.1;23.7;17.6;53.6;3;1.1;66.2;null;
2013-10-31;0;220.7;140;96;null;6.2;10;95.8;926.6;30.6;24.2;19.4;63.3;3;.8;66.7;null;
2013-11-30;0;156.9;141.2;141.2;null;6.2;15;175.2;924.7;30.1;24.2;19.8;71.7;3;.8;66.7;null;
2013-12-31;0;106.1;148.2;148.2;null;7.6;25;365.2;923.7;29.7;24.1;20.5;78.2;2.7;.8;66.7;null;
2014-01-31;0;189.3;148.3;132;null;5;14;85.1;926.9;30.9;24.4;19;66.7;2;.7;67.1;null;
2014-02-28;0;182.3;129.2;65.7;null;5.8;10;32.8;926;30.7;24.4;19.1;67.6;3.1;.7;66.7;null;
2014-03-31;0;130;137.1;137.1;null;6.6;18;282.9;926.6;29.5;23.9;19.8;76.4;2;.5;66.7;null;
2014-04-30;0;115.5;125.8;122;null;4.7;12;96.9;927.1;29.7;23.4;19;74.4;2;.6;66.7;null;
2014-05-31;0;157.9;119.7;59.5;null;2.3;1;9.4;928.3;28.8;21;14.8;67.3;2;.6;66.7;null;
