Nome: CATALAO
Codigo Estacao: 83526
Latitude: -18.17027777
Longitude: -47.95805555
Altitude: 857.98
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;67.3;101.4;101.4;null;7.5;24;343.8;917.6;27.5;22.7;19.2;80.4;6;1.8;66.5;null;
2012-02-29;9;136.9;112.9;112.8;null;4.9;10;110.8;918;29.9;24.4;20;65.1;6.6;2.2;65.4;null;
2012-03-31;14;118.2;111.3;111.3;null;5.8;18;160.7;918.6;30.1;24.1;19.6;70.7;5.8;1.9;66.7;null;
2012-04-30;9;114.7;104;95.5;null;4.8;8;59.9;918.6;29.9;24.1;19.8;69.4;4.3;1.9;66.8;null;
2012-05-31;14;119.2;72.3;48.5;null;4.2;7;23.8;920.9;26.7;21;16.5;70.2;7;2;66.7;null;
2012-06-30;14;111;72.8;72.8;null;3;3;75.1;921.5;27.6;21.6;16.9;65.8;6.1;1.9;66.7;null;
2012-07-31;9;171.5;69;25.4;null;2;1;5.8;921.9;27.7;20.8;15.3;55.5;5.3;2.3;66.7;null;
2012-08-31;9;230.5;75.7;11.8;null;1.7;0;0;923.6;28.2;21.5;15.9;46.6;6;2.9;66.7;null;
2012-09-30;14;263.1;114.9;33.8;null;2.7;4;27.7;920.8;31.9;24.9;18.9;45.4;5.6;2.5;66.7;null;
2012-10-31;9;225.8;139.5;60.7;null;4;7;58.3;917.9;32.9;26.1;20.7;49.4;6.6;2.4;66.6;null;
2012-11-30;9;106.3;116.9;116.9;null;6.6;20;290.1;916.1;29.8;24.3;20.2;72.7;8.3;2.3;66.6;null;
2012-12-31;9;132.7;120.2;116.1;null;5.6;15;96.3;917;31.4;25.6;21;67.6;5.5;1.9;66.7;null;
2013-01-31;36;92.8;114.3;114.3;null;7.3;18;258.9;917.5;28.5;23.7;20.2;76.8;5;2.2;66.6;null;
2013-02-28;14;109.4;106.7;103.4;null;6.4;10;79.7;917.9;30.6;24.8;20.3;68.4;5.8;1.9;66.1;null;
2013-03-31;14;83.2;115;115;null;6.8;14;293.3;918.3;29.8;24.5;20.5;73.9;5.5;1.9;66.6;null;
2013-04-30;14;79.7;86.7;86.7;null;4.9;11;126.7;919.8;28.2;22.5;17.8;70.5;5.8;1.7;66.7;null;
2013-05-31;14;128.3;86.1;76.4;null;2.4;4;38.6;920.4;28.3;21.9;16.6;65.4;5.1;1.7;66.7;null;
2013-06-30;9;108.9;73.6;40.9;null;3;3;12.4;921.5;27.7;21.6;16.9;68.5;5.3;1.7;66.6;null;
