Nome: PATOS DE MINAS
Codigo Estacao: 83531
Latitude: -18.51972221
Longitude: -46.43916666
Altitude: 947.68
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;74;91.2;91.2;103.8;7.4;19;251.1;908.6;26.9;21.3;17.6;82.3;5.7;1.8;59.7;null;
2012-02-29;9;109.9;93.9;93.9;202.1;5.8;9;153;909.2;29.1;22.5;17.4;71.7;3.6;1.9;60;null;
2012-03-31;9;117.1;94.5;94.5;179.4;5.8;13;196.9;909.7;29;22.2;17.3;75.3;4.1;1.5;57.3;null;
2012-04-30;9;101.7;86.4;85.6;207.9;5.4;8;73.7;909.8;29;22.2;17.2;74.7;3.6;1.5;59.8;null;
2012-05-31;9;100.8;59.1;57.4;204.5;5.4;6;49;911.8;25.6;19;14.3;73.9;4.1;1.8;60;null;
2012-06-30;9;110.7;61.6;59.2;229.6;3.7;5;51.4;912.4;26.6;19.7;14.4;71.3;3.1;1.4;60;null;
2012-07-31;9;159.1;57.7;31.7;258.1;2.9;1;.3;912.7;26.4;18.8;12.5;59.9;4.1;2;60;null;
2012-08-31;9;210.5;65.8;19.5;271.4;3;0;0;914.1;26.6;19.6;13.5;51.1;6.2;3.3;60;null;
2012-09-30;9;248.3;93.6;25.5;228;3.7;6;14.3;911.9;30.7;22.8;16.3;48.5;5.7;2.5;60;null;
2012-10-31;9;257.8;116.1;40.8;231.6;5;9;35.6;909.2;31.7;24.2;17.7;52.1;5.7;2.2;60;null;
2012-11-30;5;103.4;98.3;98.3;150.3;7.8;21;274.2;907.4;28.3;22.5;18.5;79.1;4.1;1.9;59.8;null;
2012-12-31;5;132.7;122.4;122.4;217;5.9;14;146.5;908.4;31.1;24.1;18.7;71.5;4.1;1.6;60;null;
2013-01-31;5;101;102.5;102.5;113.3;7.3;19;229;908.9;27.8;22.4;18.7;80.1;4.6;1.7;58.3;null;
2013-02-28;5;119.3;100.3;98;203.9;5.7;8;77.9;909.3;30.5;23.6;18;70.8;10.3;1.5;59.8;null;
2013-03-31;9;77.7;97.6;97.6;128.4;7.2;3;183.6;909.5;28.7;22.6;18.6;82.6;3.1;1.3;60;null;
2013-04-30;9;82.4;73.6;73.6;174.6;6;null;134.8;910.7;27.3;20.7;16.1;77.3;4.1;1.6;59.7;null;
2013-05-31;9;110.6;68.2;62.9;246.4;3.6;null;33.8;911.5;27.2;20;14.2;69.6;3.6;1.6;59;null;
2013-06-30;9;103.1;60.9;36.3;219.7;3.4;null;6.6;912.4;26.3;19.6;14.4;73.2;4.6;1.7;59.7;null;
