Nome: BOM DESPACHO
Codigo Estacao: 83533
Latitude: -19.71944443
Longitude: -45.36749999
Altitude: 695
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;73.4;null;null;172;6.5;14;151.2;null;30;23.1;18.6;77.5;5;1.3;null;null;
2012-02-29;36;99.1;null;null;245;3.7;7;58.6;null;31.8;23.4;17.4;70.2;5;1.6;null;null;
2012-03-31;36;94.9;null;null;213.7;5.2;10;117;null;31.2;23.3;17.6;73.2;4;1.3;null;null;
2012-04-30;36;92.5;null;null;223.4;3.9;6;43.2;null;30.5;22.4;16.4;74.4;4;1.4;null;null;
2012-05-31;0;67.4;null;null;200.7;3.8;8;39.9;null;27.3;18.4;12;76.8;3;1.1;null;null;
2012-06-30;36;62.1;null;null;211.4;3.3;7;100.5;null;28.2;18.5;12.2;77.1;5;1.3;null;null;
2012-07-31;36;90.5;null;null;235.4;1.9;1;1.6;null;28.6;16.6;8;70.2;5;1.1;null;null;
2012-08-31;36;160.2;null;null;260.6;2.7;0;0;null;28.5;17.8;8.8;62.5;7;1.9;null;null;
2012-09-30;36;156.4;null;null;243.7;2.7;4;17;null;31.9;20.5;11.8;58.6;5;1.8;null;null;
2012-10-31;36;194.4;null;null;254.8;3.5;7;56.8;null;33.6;22.8;14.1;58.1;5;1.6;null;null;
2012-11-30;36;104.9;null;null;178.7;7;16;236.1;null;30.3;23.2;18.3;74.8;6;1.5;null;null;
2012-12-31;36;129.4;null;null;219.8;5;11;71;null;33.4;25.1;19.2;70.5;5;1.7;null;null;
2013-01-31;36;103.8;null;null;157.8;7;17;259;null;30.3;23.9;19.5;74.8;5;1.5;null;null;
2013-02-28;null;null;null;null;null;null;null;3.8;null;null;null;null;null;null;null;null;null;
2013-03-31;36;92.3;null;null;169.7;6.7;null;141.2;null;30.7;23.9;19.3;76.9;5;1.6;null;null;
2013-04-30;36;73.9;null;null;193.5;5.1;null;67.8;null;28.7;20.9;15.4;77.2;3;1.2;null;null;
2013-05-31;0;94.1;null;null;231.3;3.9;null;82.8;null;28.8;19;11.9;74.6;5;1;null;null;
2013-06-30;0;80.8;null;null;220.9;2.7;null;34;null;28.3;18.6;11.6;76.6;4;1;null;null;
2013-07-31;36;111.4;null;null;249.1;2;null;0;null;28.4;17;9.2;70.4;4;1.3;null;null;
2013-08-31;36;150.1;null;null;272.4;1.6;null;1.4;null;29.9;17.8;9.3;63.4;5;1.2;null;null;
2013-09-30;0;153.9;null;null;223.1;3.5;null;35.2;null;30.9;20.5;12.2;65.3;5;1.4;null;null;
2013-10-31;36;127.7;null;null;216.4;5;null;132.3;null;29.9;21.3;15.2;71.9;5;1.2;null;null;
2013-11-30;36;117.3;null;null;199.1;5.7;null;237.2;null;30.3;22.8;17.3;73.7;5;1.4;null;null;
2013-12-31;36;82.1;null;null;173.8;7.4;null;221.7;null;30.9;24.2;19.6;79.3;5;1.1;null;null;
2014-01-31;36;138.2;null;null;304.1;4;null;76.7;null;33.2;24;16.2;68.2;5;1.1;null;null;
2014-02-28;36;157.6;null;null;255.8;3.1;null;4.2;null;33.2;23.9;16.3;63.4;5;1.7;null;null;
2014-03-31;36;104.3;null;null;205.1;5.8;null;118.7;null;30.9;23.2;17.3;75.1;5;1.6;null;null;
2014-04-30;0;85.2;null;null;222.7;4.9;null;93.1;null;30.3;22.1;16.5;77;5;.8;null;null;
2014-05-31;32;103.1;null;null;249.4;3.1;null;8.8;null;29.2;18.5;10.6;72.1;3;.8;null;null;
2014-06-30;0;97.9;null;null;212.6;2.8;null;1;null;28.8;17.9;10.3;72;3;.8;null;null;
2014-07-31;0;109.7;null;null;211;3;null;58.8;null;27.8;17;9.2;70.3;3;.7;null;null;
2014-08-31;36;126.1;null;null;275.9;1.2;null;0;null;30.1;18.1;8.9;61.9;3;.8;null;null;
2014-09-30;0;132.9;null;null;245.7;1.8;null;9.4;null;32.4;21.8;12.4;54.5;3;.8;null;null;
2014-10-31;0;151.8;null;null;271.8;2.9;null;66.3;null;32.9;23.3;14.9;54.5;5;.8;null;null;
2014-11-30;0;93.6;null;null;209;5.7;null;253.9;null;30.6;23.9;18.4;70.6;3;.6;null;null;
2014-12-31;0;79.5;null;null;201.2;5.9;null;147.8;null;30.4;24.2;19;74.5;3;.7;null;null;
2015-01-31;32;114.9;null;null;283.4;4.4;null;69.4;null;34.3;25.6;18.6;64.7;4;1;null;null;
2015-02-28;0;65.1;null;null;190.3;6.2;null;175;null;30.6;24.1;19;75.2;3;1.1;null;null;
2015-03-31;0;56.1;null;null;185.1;6.7;null;233.6;null;29.9;23.5;19.2;80.2;4;.8;null;null;
2015-04-30;0;56.6;null;null;198.9;3.9;null;37;null;30.1;22.5;17;77.1;3;.7;null;null;
2015-05-31;32;53.4;null;null;194.3;4.8;null;49.3;null;27.2;19.4;13.7;78.4;2;.7;null;null;
2015-06-30;32;60.8;null;null;222.6;3.4;null;9.7;null;27.5;17.8;10.9;74.8;3;1.1;null;null;
2015-07-31;32;82.7;null;null;233.8;3.8;null;0;null;28.8;18.5;11.3;70.5;3;.9;null;null;
2015-08-31;32;108;null;null;244.8;2.2;null;0;null;30.5;19;9.8;61.4;5;1.2;null;null;
2015-09-30;32;103.9;null;null;203.1;4.2;null;95.4;null;32.4;22.3;14.7;65.7;5;1.2;null;null;
2015-10-31;32;137.8;null;null;275.9;4.1;null;47.6;null;34.8;25.3;17;56.6;4;1.1;null;null;
2015-11-30;0;92.4;null;null;215.9;6.5;null;164;null;33.1;25.9;20.3;68.9;6;1.1;null;null;
2015-12-31;0;76.5;null;null;212.3;6.9;null;203.7;null;32.1;24.6;19.8;75.1;5;.9;null;null;
2016-01-31;32;50.8;null;null;136.7;7.8;null;337.2;null;29.8;24.1;20.2;81;4;1.2;null;null;
2016-02-29;36;76.7;null;null;254.3;5;null;89.3;null;33.3;25.4;19.5;71.6;3;.9;null;null;
2016-03-31;36;71.6;null;null;203.2;6.7;null;61.9;null;31.2;24.2;19.3;76.4;3;.8;null;null;
2016-04-30;0;93.2;null;null;259.3;3.1;null;34.2;null;32;22.9;15.8;69.5;3;.7;null;null;
2016-05-31;0;77.8;null;null;253.4;3;null;2;null;29.9;20.3;13.1;72.6;3;.7;null;null;
2016-06-30;0;65.7;null;null;210.1;3.5;null;51.6;null;27.2;17.4;11;76.1;2;.7;null;null;
2016-07-31;0;96.7;null;null;252.6;1.4;null;0;null;29.7;17.4;8.7;67.1;3;.8;null;null;
2016-08-31;36;114.4;null;null;232;2.1;null;3;null;30.9;19.4;10.3;59.4;5;1;null;null;
2016-09-30;36;135.3;null;null;239.4;3.3;null;20.6;null;33.4;22.9;14.3;55.8;6;1.1;null;null;
2016-10-31;36;112.8;null;null;246.9;4.1;null;110.3;null;32.3;23.9;17.8;65.3;5;1;null;null;
2016-11-30;0;66;null;null;157.9;6.7;null;245.1;null;29.9;23.3;18.9;74.9;3;.7;null;null;
2016-12-31;36;77.1;null;null;197.6;5.6;null;274.4;null;30.9;24.1;18.7;73.3;5;.8;null;null;
2017-01-31;36;95.1;null;null;241.4;5.6;null;72;null;32.9;25.5;19.7;68.7;4;.9;null;null;
2017-02-28;36;86.6;null;null;209.1;5.2;null;102.2;null;31.3;24;18.5;72.5;3;1;null;null;
2017-03-31;36;100.2;null;null;256.5;4.8;null;69;null;32.1;23.6;17.1;69.9;5;1.1;null;null;
2017-04-30;0;91.5;null;null;218.3;4.2;null;30.2;null;31.5;23.1;16.9;70.9;3;.6;null;null;
2017-05-31;0;67.7;null;null;207.4;4.6;null;68.2;null;28.5;20.2;13.8;76.1;3;.7;null;null;
2017-06-30;36;77.5;null;null;234.5;2;null;20.4;null;28;17.9;10.5;72.9;5;1.1;null;null;
2017-07-31;0;113.8;null;null;229.5;2.3;null;0;null;26.3;15.9;7.5;66.8;3;1;null;null;
2017-08-31;36;128.8;null;null;240.1;1.5;null;0;null;31;18.9;9.5;60.3;4;.8;null;null;
2017-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;null;23.4;null;null;null;null;null;.3;null;null;null;
