Nome: CURVELO
Codigo Estacao: 83536
Latitude: -18.74749999
Longitude: -44.45472222
Altitude: 668.26
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2022-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;136.9;null;null;null;5.1;14;241;null;30.1;24.1;19.2;71.9;5;1.6;81.5;null;
2012-02-29;5;170.2;null;null;null;3.3;3;60.8;null;32.9;25.4;19.4;61.6;5;1.8;82.2;null;
2012-03-31;5;165.9;null;null;null;3.4;8;71.3;null;31.3;24.5;19;65.9;5;1.9;82.1;null;
2012-04-30;5;164;null;null;null;2.7;4;31;null;31.6;23.9;18.1;68.3;5;1.6;83.6;null;
2012-05-31;9;144;null;null;null;3.7;4;39;null;28.1;20.8;15;70.1;5;1.7;82.5;null;
2012-06-30;9;143.5;null;null;null;2.4;1;2;null;29.6;21.2;14.7;67.2;5;1.8;84;null;
2012-07-31;5;186.1;null;null;null;1.5;null;0;null;29.5;20;12.1;56.5;7;1.6;84;null;
2012-08-31;9;226.8;null;null;null;2.4;0;0;null;28.6;20.7;13.3;53.6;7;2.5;83.6;null;
2012-09-30;9;303.2;null;null;null;1.9;1;2.2;null;32.4;23.9;15.8;46.4;5;2;82.7;null;
2012-10-31;9;339.4;null;null;null;3.3;3;11.4;null;34.1;26;18.7;47.6;7;2.4;83.6;null;
2012-11-30;5;147.1;null;null;null;6.2;17;268.6;null;30.3;24.6;20.2;73;5;1.7;77;null;
2012-12-31;5;195.3;null;null;null;3.8;8;240.2;null;33.5;26.6;20.8;67.6;5;1.5;82.3;null;
2013-01-31;5;164.7;null;null;null;6;16;255.2;null;30.6;24.9;20.6;74.4;5;1.5;79.4;null;
2013-02-28;9;null;null;null;null;3.5;null;174.2;null;33;25.8;19.7;66.6;5;1.6;83.1;null;
2013-03-31;9;135.7;null;null;null;4.9;null;203;null;31.6;25;20.6;77;5;1.4;81.7;null;
2013-04-30;9;122.8;null;null;null;4.1;null;71.2;null;29.4;22.7;17.7;75.7;5;1.4;82;null;
2013-05-31;9;139.7;null;null;null;1.9;null;41.6;null;29.6;21.4;15;70.4;5;1.3;82.8;null;
2013-06-30;9;128.3;null;null;null;2.3;null;6.4;null;29.3;21.2;14.8;70.1;5;1.3;83.8;null;
2013-07-31;9;178.7;null;null;null;1.8;null;0;null;29.5;20.5;13.2;60.7;5;1.3;83.8;null;
2013-08-31;9;245.8;null;null;null;2.2;null;1.2;null;30.5;21.5;13.4;50.8;5;2;84;null;
2013-09-30;9;231.3;null;null;null;3.4;null;75.6;null;31.3;23.6;16.5;55.6;7;2;83.5;null;
2013-10-31;9;185.7;null;null;null;4.5;null;57.6;null;31.3;24.1;18.3;61.6;5;2;82.3;null;
2013-11-30;9;204.1;null;null;null;4.7;null;102;null;32.1;25.2;19.5;61.4;5;2;82.2;null;
2013-12-31;5;98.5;null;null;null;6;null;476;null;30.8;24.9;20.8;77.2;5;1.3;82.1;null;
2014-01-31;9;149.7;null;null;null;3.5;null;50.2;null;33.1;25.9;19.4;59.8;5;1.4;83.6;null;
2014-02-28;9;null;null;null;null;3.1;null;1.6;null;33.6;26.3;19.4;53.5;7;1.9;84;null;
2014-03-31;9;177.5;null;null;null;5.2;null;48;null;32.1;25.4;19.8;65.6;5;1.4;84;null;
2014-04-30;9;150.3;null;null;null;4.3;null;36.8;null;null;null;19.1;67.4;3;1.2;84;null;
2014-05-31;9;146.9;null;null;null;2.3;null;1.2;null;null;null;14.9;60;5;1.2;84;null;
2014-06-30;9;155;null;null;null;2.2;null;0;null;null;null;13.7;61.6;5;1.2;83.8;null;
2014-07-31;9;181.7;null;null;null;2.6;null;24.2;null;null;null;13.3;62.1;5;1.3;84;null;
2014-08-31;9;271.1;null;null;null;1.4;null;1.4;null;null;null;12.9;47.6;5;1.5;84;null;
