Nome: SAO MATEUS
Codigo Estacao: 83550
Latitude: -18.71388888
Longitude: -39.8486111
Altitude: 25
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-23
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;85.3;152.9;143;207.7;6.2;21;122.5;1012.6;1009.4;31.2;26;22.6;80.8;null;null;60.4;
2012-02-29;null;96.4;138.8;120.4;264.9;4.5;18;103;1013.4;1010.3;32.1;26.1;22;76.1;null;null;59.8;
2012-03-31;null;116.6;143;78.2;264.1;4.3;7;36.8;1013;1009.7;32.4;26.3;21.9;76.3;null;null;61.2;
2012-04-30;null;97.3;132.2;55.3;221.9;5.2;12;48.5;1012.8;1009.6;32;26;22;77.8;null;null;60.2;
2012-05-31;null;87.7;123.4;59;161.7;6.2;10;55.5;1015.9;1012.8;28.6;23.3;19.7;81.7;null;null;60;
2012-06-30;null;72.2;119.2;38.4;204.5;4;8;36.4;1017.2;1014.2;29.9;23.6;19.7;null;null;null;59.3;
2012-07-31;null;79.3;120.3;114.7;195;4.8;12;114.9;1017.3;1014.1;28.1;22.2;18;81.8;null;null;59.8;
2012-08-31;null;78.6;123.5;123.5;226;5.9;24;252.7;1019.8;1016.9;27;22;18.5;80.2;null;null;59.4;
2012-09-30;null;91.4;127.4;99.5;198;5.2;11;42.1;1017.3;1014.1;28.2;22.9;19.1;76.9;null;null;60;
2012-10-31;null;96.1;141.6;77;264.4;5;15;51.7;1014.7;1011.6;29.9;24.3;19.8;75.4;null;null;60;
2012-11-30;null;71.5;142.8;142.8;103.2;8.2;21;265.6;1011.2;1008;29.1;24.7;21.3;83.5;null;null;59;
2012-12-31;null;104.1;158.3;89.1;324.8;3.4;5;12.3;1011.2;1007.9;32.8;26.9;22.7;75.8;null;null;60;
2013-01-31;null;95.7;155.4;155.4;219.6;6.1;15;160.7;1012.3;1009.1;32.3;26.6;22.6;78.7;null;null;59.8;
2013-02-28;null;97.4;137.3;29.6;253.7;4.6;10;8.9;1012.8;1009.6;33.5;27;22.4;75.6;null;null;60;
2013-03-31;null;117.7;147.4;34;256.1;5;3;28.5;1012.1;1009.1;33.9;27.3;22.9;75.6;null;null;60;
2013-04-30;null;82.2;128.5;57;150.5;6.8;null;55.8;1013.8;1010.7;30.2;24.9;21.2;79.5;null;null;59.8;
2013-05-31;null;84.3;124.9;45.2;189.2;5.4;null;44.6;1015.7;1012.5;29.6;23.7;19.7;null;null;null;59.4;
2013-06-30;null;70.2;118.5;8.9;211.6;3;null;8.6;1016.9;1013.8;29.7;23.5;19.4;null;null;null;59;
2013-07-31;null;83.9;120.9;84;183.1;5;null;83.9;1018.2;1015;28.2;22.3;18.6;81.6;null;null;59.4;
2013-08-31;null;82.4;123.3;73.1;216.1;4.5;null;73.1;1018;1015;27.9;22.1;17.6;78.8;null;null;59.7;
2013-09-30;null;82;128.3;48;178.7;6.5;null;48;1017;1013.9;28.6;23.2;19.1;78.1;null;null;59.7;
2013-10-31;null;92;138.3;93.8;168.1;7.1;null;93.8;1015.8;1012.6;28.2;23.5;19.7;78;null;null;59.7;
2013-11-30;null;84.4;143.9;143.9;200.3;6.4;null;344;1013.3;1010;30;25;20.8;79;null;null;59.2;
2013-12-31;null;63.2;153.7;153.7;153;7.2;null;235;1010.6;1007.3;30.2;25.8;22.4;84.1;null;null;58.9;
2014-01-31;null;83.5;154.5;146;245;5.1;null;110.1;1014.4;1011.2;31.5;26.4;22.6;78.4;null;null;60;
2014-02-28;null;96.5;135.8;104.6;254.4;4.6;null;75.6;1014.1;1010.9;32.3;26.6;22.2;75.9;null;null;60;
2014-03-31;null;98.5;144.3;88.9;227;5.8;null;70.6;1014;1010.8;32.2;26.5;22.4;77.5;null;null;59.5;
2014-04-30;null;106;131.3;65.3;225;4.6;null;56.5;1013.7;1010.6;31.3;25.7;21.9;77.2;null;null;59.7;
2014-05-31;null;98.4;127;11;220.5;4.7;null;5.4;1015.6;1012.4;30.6;24.3;20.1;null;null;null;60;
2014-06-30;null;64.2;117.2;117.2;161.3;5.9;null;124.9;1017.5;1014.3;28.6;23.1;19.4;81.7;null;null;60.3;
2014-07-31;null;61.2;119.4;114.8;159.3;6.1;null;114.3;1019.5;1016.5;27.1;22;18.6;83.1;null;null;59.4;
2014-08-31;null;77.7;123.1;123.1;225.1;4.6;null;144.6;1018.9;1015.7;27.7;21.9;17.9;null;null;null;59.7;
2014-09-30;null;92.4;128.2;51.7;242;5.1;null;32.5;1017.3;1014.2;28.8;23.2;18.5;75.2;null;null;60;
2014-10-31;null;86.2;137.9;137.9;182.6;6.7;null;255.7;1016.3;1013.1;28.3;23.4;19.6;77.3;null;null;59.8;
2014-11-30;null;80.9;143.5;122.6;212.6;6.5;null;71;1013.2;1010;29.6;24.9;21.1;77.9;null;null;60;
2014-12-31;null;95.2;153.7;82.1;247;5.8;null;51;1013.5;1010.2;31.4;25.9;21.6;76.9;null;null;59.8;
2015-01-31;null;119.2;157.4;24.5;327;3.4;null;11.2;1014.4;1011.1;34;27.1;22.2;72.9;null;null;60;
2015-02-28;null;91;137.6;88.2;219.9;5.4;null;86.6;1013.2;1010.1;33.1;27.1;22.8;77.6;null;null;59.1;
2015-03-31;null;89;145.1;145.1;234.1;5.6;null;177.2;1012.6;1009.5;32.4;26.7;22.6;79.1;null;null;59.8;
2015-04-30;null;95.1;130.6;94.4;180;5.9;null;80.9;1013.3;1010.2;30.8;25.5;21.5;78.3;null;null;59.5;
2015-05-31;null;77.3;124.9;124.9;149.9;7;null;158.5;1016.6;1013.4;28.6;23.7;20;81.2;null;null;59.5;
2015-06-30;null;71.3;116.8;113.2;175.9;5.5;null;109.1;1018.8;1015.7;27.8;22.9;19.6;83.6;null;null;58.8;
2015-07-31;null;55.5;119.4;62.9;178.3;5.8;null;33.8;1018.9;1015.8;27.5;22.3;18.5;84.4;null;null;59.8;
2015-08-31;null;75.8;124.8;20.1;167.7;5.6;null;50.7;1018.7;1015.7;27.7;22.4;18.4;78.4;null;null;60;
2015-09-30;null;112.8;134;11.6;247.7;3.7;null;6.9;1015.3;1012.1;30.4;24.8;20.3;75;null;null;60;
2015-10-31;null;96.8;144.5;30.2;225.3;5.3;null;29;1015.2;1012;30;25.1;20.7;76.1;null;null;59.8;
2015-11-30;null;79.3;151.6;21.3;211.2;6;null;20.9;1011.8;1008.5;32.6;27;22.4;75.4;null;null;60;
