Nome: BOA ESPERANCA
Codigo Estacao: 83557
Latitude: -18.53722221
Longitude: -40.27222221
Altitude: 100
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2023-09-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;86.8;150;149.6;158.6;6.7;18;140;null;31.2;25.3;20.5;73.2;null;null;null;null;
2012-02-29;null;97.4;135.2;114.4;230.5;3.9;9;62;null;32.7;25.2;20.6;73.4;null;null;null;null;
2012-03-31;null;114.8;141.3;73;214.1;4.6;8;42.9;null;33.2;25.7;20.4;70;null;null;null;null;
2012-04-30;null;111.8;130.8;52.4;181;4.6;6;41.5;null;32.4;25.5;20.5;70;null;null;null;null;
2012-05-31;null;81.2;121;91.9;148.3;6.2;12;89.9;null;28.6;22.6;18.1;76;null;null;null;null;
2012-06-30;null;92.8;115.8;21.7;191.7;3.6;4;18.3;null;28.1;22.4;17.7;73.3;null;null;null;null;
2012-07-31;null;84.6;116.4;55.8;163.5;5.2;7;64.9;null;27;20.9;16.1;77.8;null;null;null;null;
2012-08-31;null;64.1;119.4;119.4;193.1;4.9;21;232.6;null;26.4;20.7;16.4;79.8;null;null;null;null;
2012-09-30;null;85.6;125;99.5;176.2;4.8;6;43.5;null;28.1;22.2;17.3;72.9;null;null;null;null;
2012-10-31;null;115.2;139.2;68.3;221;3.5;7;40.4;null;30.7;23.7;18.5;71.4;null;null;null;null;
2012-11-30;null;61.2;141.8;141.8;86.1;7.7;19;340.5;null;29.5;24.4;20.1;75.4;null;null;null;null;
2012-12-31;null;117.9;157.2;85.2;277.4;2.7;2;7.6;null;34.7;26.6;21.4;67.6;null;null;null;null;
2013-01-31;null;120.9;153.8;153.8;188.9;5.6;11;213.3;null;32.9;26.2;21.3;71.1;null;null;null;null;
2013-02-28;null;114;135.6;60.8;240.6;3.2;null;3.5;null;33.7;26.5;21.2;70.4;null;null;null;null;
2013-03-31;null;127.9;145.3;60.1;211.4;4.2;null;47;null;34.4;26.7;21.7;69.4;null;null;null;null;
