Nome: PARANAIBA
Codigo Estacao: 83565
Latitude: -19.66361111
Longitude: -51.19138888
Altitude: 429.62
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;90.3;129.5;129.5;203.4;7.5;21;277.6;1009.7;963.2;30.3;25;21.1;77.1;5;1.4;43.3;
2012-02-29;5;140.5;145.9;120.4;null;6.4;10;64.8;1009.8;963.9;32.6;26.7;21.8;66.2;3;1.1;45.1;
2012-03-31;0;125.6;137.2;87.7;272.1;6.1;12;64.8;1011;964.8;32.1;26.2;21.5;67.9;3;.9;43.9;
2012-04-30;0;117.2;117;66;211.6;5.9;7;56.2;1011.2;964.9;31.2;25.5;20.7;71.2;3;.9;43.3;
2012-05-31;0;85.1;72.4;52.4;208.9;5.2;8;50;1015.5;968.3;27.3;21.4;16.2;null;3;.7;37.9;
2012-06-30;0;84.1;65.8;65.8;181.6;5.2;8;149.4;1015.5;968.3;27.1;21.2;15.9;74.5;3;.7;41.8;
2012-07-31;0;152.7;60.8;43.2;260.2;2.7;2;1.8;1016.6;969.1;28.3;20.5;13.2;null;3;.8;39.5;
2012-08-31;5;238;92;31;286.7;2.7;0;0;1016.9;969.9;30.5;23.2;16;46.8;4;1.5;44.4;
2012-09-30;0;227.5;127.5;93.3;257.9;4.1;5;86.4;1013;966.8;33.7;26;19.5;47.8;4;1.1;43.3;
2012-10-31;5;225;168.6;62.3;282;5.7;6;53;1009.1;963.3;35.1;27.9;21.9;53.7;4;1.2;43.3;
