Nome: POMPEU
Codigo Estacao: 83570
Latitude: -19.228937
Longitude: -45.001336
Altitude: 692.21
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2015-12-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;122;96.1;96.1;null;6.2;19;235.2;934.7;null;null;18.9;72;4.1;.7;40.4;null;
2012-02-29;5;173;99.6;99.6;null;5.1;6;96.7;935.3;null;null;18.7;59.2;1.5;.6;40;null;
2012-03-31;9;124.4;95.6;94.3;null;5.1;11;81.5;935.8;null;null;18.5;65.5;1.5;.5;40;null;
2012-04-30;9;129.4;81.5;68;null;4.4;8;38.7;935.9;null;null;17.5;66;1.5;.5;40.6;null;
2012-05-31;9;122.5;52.8;26.7;null;5;2;6.2;938.7;null;null;14;66.6;2.1;.6;40;null;
2012-06-30;9;144;67.2;32.7;null;4.7;3;19.7;939.4;null;null;14.7;64.1;2.1;.6;40;null;
2012-07-31;9;182.8;61.9;9.9;null;4.8;0;0;939.7;28.4;19.9;11.9;53.6;2.1;.6;40;null;
2012-08-31;9;213.2;50.5;4.6;null;4.7;0;0;942.2;28.2;20.9;13.6;47.8;4.1;1.1;40;null;
2012-09-30;9;266.5;101.3;38.4;null;4.9;4;35;938.7;32;23.8;16.2;43.9;2.1;.7;40;null;
2012-10-31;18;294.4;135.8;11.4;null;5.3;4;8.8;935.6;33.4;25.9;18.7;43.6;1.5;.7;40;null;
2012-11-30;18;143.2;117.3;117.3;null;6.1;15;201.7;933.3;30.3;24.4;19.4;67.9;2.1;.7;40.8;null;
2012-12-31;9;180;147.7;131;null;5.6;9;97;934.3;32.9;26.2;20.3;62.4;1.2;.5;40;null;
2013-01-31;5;119.6;123.5;123.5;null;6.1;23;309.3;934.7;29.6;24.1;19.7;74.9;1.5;.5;39.7;null;
2013-02-28;5;163;122;96.4;null;4.9;6;40.7;935.2;32.5;25.7;19.3;61.8;1.5;.6;40;null;
2013-03-31;0;127.6;116.2;116.2;null;5.5;3;216.7;935.7;30.3;24.4;19.9;73.6;1;.5;40;null;
2013-04-30;0;98.7;81.6;81.6;null;5.1;null;179.5;937.1;28.2;22.1;17;72.7;1;.5;40;null;
2013-05-31;0;123.3;70.2;65.9;null;3.7;null;39.4;937.9;27.9;20.9;14.7;66.7;2;.5;40;null;
2013-06-30;0;107.9;64;38.7;null;3.6;null;6.6;939.1;27.7;20.6;14.5;69.1;1;.5;40.8;null;
2013-07-31;5;201;62.6;19.7;null;2.7;null;.6;940;28.2;20;12.7;57.5;2;.6;40;null;
2013-08-31;0;236.2;77;12.7;null;2.5;null;.8;939;29.8;21.5;13.5;48.4;2.1;.6;39.5;null;
2013-09-30;5;231;103.3;47.3;null;3.6;null;42.6;938;30.5;22.9;15.9;57.1;2.1;.7;40.2;null;
2013-10-31;5;195.5;109.4;57.7;null;4.9;null;55.3;936.5;30.1;23.8;17.9;60.3;2.1;.7;40;null;
2013-11-30;36;186.7;119.6;119.6;null;5.3;null;120.9;934.2;30.9;24.5;18.9;65.7;2.8;.6;40;null;
2013-12-31;36;120.3;129.7;129.7;null;6;null;263.3;932.8;30.5;24.6;20.2;74.6;1.5;.6;41;null;
2014-01-31;9;226.7;138.1;105.8;null;4.8;null;45.4;936.2;32.6;25.5;18.9;58.8;1.5;.5;40;null;
2014-02-28;9;241;130.7;29.8;null;3.7;null;1.1;935.3;33;26.3;19.6;51.1;1.5;.6;40;null;
2014-03-31;9;174.8;117.4;97.1;null;3.8;null;94.9;935.9;31.1;24.8;19.5;64.6;2.1;.5;40;null;
2014-04-30;9;133.2;94.3;42.1;null;4.5;null;38.4;936.5;29.8;23.3;17.9;68.4;1;.5;39.3;null;
2014-05-31;18;179.9;71;4.5;null;3.2;null;2;937.7;28.9;21;14;60.4;1;.5;40;null;
2014-06-30;9;171.5;65.6;1.2;null;3.2;null;0;939.5;28.8;20.8;13.8;56.3;5.6;.5;40.8;null;
2014-07-31;9;166.8;64.2;63.5;null;3.7;null;63.5;941.6;27.3;19.7;13;58.8;1;.5;40;null;
2014-08-31;9;231.6;77;.7;null;1.9;null;0;939.8;30;21.5;13.2;45.8;1;.5;40;null;
2014-09-30;9;284.7;108.9;12.8;null;2.7;null;12.4;937.3;32.5;24.6;16.8;40.7;1.5;.5;40;null;
2014-10-31;9;290.7;129.1;38.7;null;3.3;null;38.6;936.7;33.3;25.3;18.3;45.1;2.1;.7;40;null;
2014-11-30;36;215.8;125.9;125.9;null;5.4;null;240.2;934.3;31.3;25;19.4;60.6;1;.5;40;null;
2014-12-31;9;159.7;128.4;128.4;null;5.8;null;136.8;935.2;30.8;24.8;19.7;67.8;1;.4;40;null;
2015-01-31;9;250.4;156.6;149.1;null;4.8;null;115.2;936.1;34.1;26.8;20;52.2;1.5;.5;40;null;
2015-02-28;9;136.6;109.2;109.2;null;5.5;null;165.9;935.6;30.7;24.5;19.6;70;1;.5;40;null;
2015-03-31;36;132.2;111.4;111.4;null;5.1;null;131.8;935.8;30.2;24.2;19.4;73.3;1;.4;40.8;null;
2015-04-30;9;117.3;95.3;91.5;null;4.7;null;66.2;936.4;29.6;23.5;18.1;69.8;1;.4;38.9;null;
2015-05-31;9;131.8;74.5;69.1;null;4.2;null;57.3;938.8;27.1;20.8;15.4;70.1;1;.4;40;null;
2015-06-30;9;150;57.1;36.3;null;4.3;null;14.4;941.3;27.1;19.7;13.4;65.7;1.5;.5;40;null;
2015-07-31;9;182.9;70.9;20.8;null;3.4;null;0;940.4;28.8;21.1;14.1;55.8;1.5;.4;40;null;
2015-08-31;9;276.6;null;null;null;2.7;null;0;939.6;30.4;22.4;14.9;46.1;1.5;.5;40;null;
2015-09-30;9;262.7;118.1;68.3;null;3.6;null;59.4;936.1;32.9;25.2;18;48.9;1.5;.5;40;null;
2015-10-31;9;339.9;160.8;81.2;null;4.7;null;74.8;935.7;35.3;27.5;20;43.4;1.5;.5;40;null;
2015-11-30;36;245.2;150.1;49.4;null;4.7;null;46.4;933.9;33.5;26.8;21;58.8;2.1;.5;40;null;
