Nome: UBERABA
Codigo Estacao: 83577
Latitude: -19.73722221
Longitude: -47.94972221
Altitude: 753.41
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;79.7;102.5;102.5;144.5;8.2;21;415.5;928.5;28.8;22.6;18.7;81.3;6;.6;15.3;null;
2012-02-29;0;123;111.2;111.2;235.9;5.2;13;156;929;31.4;24.2;19;70.3;6;1;24.1;null;
2012-03-31;0;118.9;109.3;109.3;236.5;4.9;14;128.5;929.7;31.1;23.9;18.8;72;5;.7;19.9;null;
2012-04-30;0;100;90.4;90.4;221.8;4.5;9;86.6;929.8;30.6;22.9;17.9;76.6;5;.9;20.5;null;
2012-05-31;0;103.9;61.5;61.5;220.2;4.2;8;73;932.4;27.2;19.7;14.6;73.3;6;.7;17.1;null;
2012-06-30;0;102.3;62;62;229.9;3.8;6;91;932.7;28.2;20.2;15.1;75.2;5;.7;15.8;null;
2012-07-31;0;147.4;51.2;43.8;287.4;1.9;3;10.2;933.2;28.1;18.6;12.2;66.4;5;.7;20.4;null;
2012-08-31;0;220.1;71.3;33.8;293.4;1.5;0;0;935;29;20.7;14.1;53;8;2.2;21.8;null;
2012-09-30;0;241.9;102.7;47.3;259.6;2.7;4;30.6;931.8;32.8;23.8;16.7;62.6;6;1;14.9;null;
2012-10-31;0;253.9;142.7;45.9;275.6;3.5;4;35.5;928.7;34.6;26.4;19.8;53.8;6;.8;21.3;null;
