Nome: ARAXA
Codigo Estacao: 83579
Latitude: -19.60555555
Longitude: -46.94972221
Altitude: 1018.28
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;87.3;96.3;96.3;130.8;8.4;23;494.6;1011.9;901;27.6;21.4;17.9;81.3;5;1.7;70.4;
2012-02-29;5;185.7;106.8;106.8;233;6.3;8;105.8;1011.4;901.5;30.6;23.6;18.9;65.6;6;1.9;72;
2012-03-31;5;163.7;101.5;101.5;197.1;6.7;15;128.4;1012;901.7;30;22.7;18.5;71.6;5;1.8;68;
2012-04-30;36;128;89.1;89.1;217;6.1;12;107;1012;901.6;29.6;22.5;17.9;74.4;6;1.6;70.2;
2012-05-31;14;133.7;58.1;57.9;213.1;5.6;5;51.7;1016.8;904.2;24.2;18.5;14.3;70.5;6.6;2.1;70.5;
2012-06-30;32;127.9;60.3;60.3;233.7;4.8;6;83.6;1016.9;904.8;25.6;19.5;15.4;70.1;4.6;1.5;71.8;
2012-07-31;32;211.7;60.8;47.3;266.9;3.4;3;3.9;1017.5;905.2;25.8;18.9;14.4;56.3;5;1.7;71.4;
2012-08-31;32;300.6;65.3;27.1;291.6;3;0;0;1019.8;907.2;26.1;19.2;14.2;53;8.3;2.8;71.9;
2012-09-30;9;297;95.5;49.1;245.9;4;5;35.9;1014.7;904.4;30.4;22.7;17.1;49.5;8.3;2.4;67.3;
2012-10-31;9;305.4;118.8;95.2;251.9;5.4;7;91.3;1010.8;901.5;31.4;24.2;18.8;54.9;5.8;2.1;71.8;
2012-11-30;9;141.8;103.9;103.9;187.9;7.8;19;124.1;1009.3;899.5;28.7;22.7;18.7;74;6.1;2.1;69.9;
2012-12-31;36;155.3;123.4;123.4;202.2;7;16;159.7;1009.9;900.4;30.4;24;19.4;72.7;8.5;1.8;71.5;
2013-01-31;9;128.4;105.3;105.3;133.8;7.9;18;304.1;1011.3;901;27.6;22.4;19.1;78.5;5.8;2.4;70.8;
2013-02-28;36;132.8;99.4;99.4;179.1;7.6;16;125.6;1011.5;901.7;29.5;23.3;19.2;74.1;5;2.1;72.7;
2013-03-31;9;104.8;96.9;96.9;146.4;8;4;284.7;1012.5;902;27.8;22.2;18.8;80.6;5.5;2.3;72.1;
2013-04-30;9;118.8;74.3;74.3;191.7;6.6;null;76.4;1014.8;903.3;26.6;20.5;16.8;74.2;5.3;2.2;72.1;
2013-05-31;9;154.7;70.5;70.5;241.6;4.9;null;87.2;1015.5;903.8;26.5;20.1;15.6;67.5;5.5;2.3;71;
2013-06-30;14;131;64.5;52.6;236.5;5.2;null;11.4;1016.3;904.3;25.7;19.8;15.9;69.6;5;2;72.1;
2013-07-31;18;196;59.4;26.3;265.2;3.4;null;0;1018.4;905.7;26;18.7;13.8;58.7;5.6;2.6;72.4;
2013-08-31;27;268.2;71.2;28.8;292.1;3.2;null;14.8;1016.8;904.9;27.5;19.9;14.5;48.7;5.6;2.6;72.7;
2013-09-30;23;260.3;84.7;36.9;237.7;4.3;null;29;1015;903.9;28.7;21.5;16.2;55.5;7.5;2.8;72.2;
2013-10-31;23;183.8;91.7;91.7;208.2;6.9;null;178.1;1012.8;902;27.8;21.6;17.2;66.1;6.3;2.7;72;
2013-11-30;32;150.3;98.9;98.9;185.7;7.2;null;204.2;1010.4;900.2;27.6;22.2;18.3;72.3;6.3;2.5;71.2;
2013-12-31;27;106.4;109.3;109.3;184.4;7.8;null;181.3;1008.6;898.7;28.6;22.7;19;78.6;4.6;1.8;71.6;
