Nome: FLORESTAL
Codigo Estacao: 83581
Latitude: -19.885422
Longitude: -44.416889
Altitude: 753.51
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-07-04
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;89.3;108;108;null;null;18;332.2;null;29.5;null;null;null;null;null;null;null;
2012-02-29;null;null;97.7;82.3;null;null;7;36.6;null;31.4;null;null;null;null;null;null;null;
2012-03-31;null;99.3;100.1;100.1;null;null;15;153.2;null;30.8;null;null;null;null;null;null;null;
2012-04-30;null;89.1;92.1;77.4;null;null;7;32.4;null;30;null;null;null;null;null;null;null;
2012-05-31;null;70.8;91.2;55.1;null;null;6;29.8;null;26.3;null;null;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;7;39;null;26.9;null;null;null;null;null;null;null;
2012-07-31;null;78.2;null;null;null;null;2;2.6;null;27.5;null;null;null;null;null;null;null;
2012-08-31;null;null;93.5;9.5;null;null;1;.4;null;26.9;null;null;null;null;null;null;null;
2012-09-30;null;null;95;3.6;null;null;null;0;null;33;null;null;null;null;null;null;null;
2012-10-31;null;110.3;102.9;75.4;null;null;6;74.8;null;31.7;null;null;null;null;null;null;null;
2012-11-30;null;90.5;103.5;103.5;null;null;19;255.3;null;29.9;null;null;null;null;null;null;null;
2012-12-31;null;119.1;108.9;108.9;null;null;11;173.2;null;32.8;null;null;null;null;null;null;null;
2013-01-31;null;93.4;108;108;null;null;21;242.6;null;30.2;null;null;null;null;null;null;null;
2013-02-28;null;99.8;94.4;87.9;null;null;null;56;null;32.2;null;null;null;null;null;null;null;
2013-03-31;null;92.9;100.2;100.2;null;null;null;136.6;null;30;null;null;null;null;null;null;null;
2013-04-30;null;83.5;null;null;null;null;null;73.4;null;27.7;null;null;null;null;null;null;null;
2013-05-31;null;83.8;91.3;87.7;null;null;null;63.3;null;27.9;null;null;null;null;null;null;null;
2013-06-30;null;74.1;86.3;56.3;null;null;null;19.4;null;27.3;null;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;null;1.4;null;27.8;null;null;null;null;null;null;null;
2013-08-31;null;86.2;93.3;24.4;null;null;null;.2;null;29.1;null;null;null;null;null;null;null;
2013-09-30;null;91.8;null;null;null;null;null;37.8;null;29.9;null;null;null;null;null;null;null;
2013-10-31;null;91;null;null;null;null;null;113;null;29.1;null;null;null;null;null;null;null;
2013-11-30;null;87.5;null;null;null;null;null;118;null;30.4;null;null;null;null;null;null;null;
2013-12-31;null;95.1;108.9;108.9;null;null;null;316.4;null;29.7;null;null;null;null;null;null;null;
2014-01-31;null;112.4;108;107.9;null;null;null;104.6;null;32.9;null;null;null;null;null;null;null;
2014-02-28;null;101.7;null;null;null;null;null;4;null;33.1;null;null;null;null;null;null;null;
2014-03-31;null;100.5;100.2;100.2;null;null;null;155;null;30.8;null;null;null;null;null;null;null;
2014-04-30;null;86.2;null;null;null;null;null;71.2;null;29.7;null;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;null;8;null;28.6;null;null;null;null;null;null;null;
2014-06-30;null;null;86.3;20.5;null;null;null;3.6;null;null;null;null;null;null;null;null;null;
2014-07-31;null;74.3;89.9;55.6;null;null;null;51.4;null;26.2;null;null;null;null;null;null;null;
2014-08-31;null;93;93.3;5.4;null;null;null;0;null;29.5;null;null;null;null;null;null;null;
2014-09-30;null;111.3;94.9;5.5;null;null;null;3.4;null;32;null;null;null;null;null;null;null;
2014-10-31;null;118.9;102.8;102.8;null;null;null;161.2;null;31.6;null;null;null;null;null;null;null;
2014-11-30;null;99.8;103.4;103.4;null;null;null;262.4;null;30.6;null;null;null;null;null;null;null;
2014-12-31;null;104.6;108.9;108.9;null;null;null;128;null;30.9;null;null;null;null;null;null;null;
2015-01-31;null;142.7;108;108;null;null;null;198.4;null;34.6;null;null;null;null;null;null;null;
2015-02-28;null;90.1;94.4;94.4;null;null;null;240.7;null;31.1;null;null;null;null;null;null;null;
2015-03-31;null;92.5;100.2;100.2;null;null;null;225;null;30.4;null;null;null;null;null;null;null;
2015-04-30;null;87.8;92.2;73.9;null;null;null;24.9;null;29.9;null;null;null;null;null;null;null;
2015-05-31;null;80.2;91.3;53.9;null;null;null;30.8;null;26.8;null;null;null;null;null;null;null;
2015-06-30;null;76.5;86.3;23.1;null;null;null;7;null;27;null;null;null;null;null;null;null;
2015-07-31;null;79.3;null;null;null;null;null;1;null;27.8;null;null;null;null;null;null;null;
2015-08-31;null;null;93.3;21.2;null;null;null;1.4;null;29.6;null;11.9;null;null;null;null;null;
