Nome: BAMBUI
Codigo Estacao: 83582
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 684.43
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-04-04
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;75.9;100;100;120.8;8.1;20;460.4;935.4;28.1;22.3;18.4;85.2;3.6;.9;61.2;null;
2012-02-29;9;123.1;101.1;87.4;234.4;5.3;5;43.8;935.9;30.8;23.2;17.5;75.4;2.1;1.1;61.8;null;
2012-03-31;5;93.8;94.6;94.6;192.5;6.9;14;107.4;936.4;30.2;22.3;16.6;81.1;2.6;.9;60.8;null;
2012-04-30;14;88.4;82.6;66.9;203.5;5.7;8;45.5;936.3;29.3;21.7;16.3;82.4;2.1;.9;64.2;null;
2012-05-31;14;66.3;52.3;52.3;206.9;5.4;5;95.9;939.3;25.6;17.8;12;82;3.1;.9;65.2;null;
2012-06-30;9;63.9;51.4;51.4;212.3;5.7;7;79.9;939.4;26.4;18.1;12.3;84.8;2.6;.9;52.5;null;
2012-07-31;14;106.4;40;33.9;266.6;3.7;1;3;940.1;26.6;15.9;8.1;79.5;2.6;1;61.8;null;
2012-08-31;14;159.9;50.9;27.6;283.7;4.4;0;0;942.2;27.2;17.3;9;68.4;3.1;1.1;63.7;null;
2012-09-30;9;134.4;73.4;33.3;231.8;4.7;3;14.9;939.1;31.1;20.3;12.1;64.7;3.1;1.2;57.6;null;
2012-10-31;5;173.8;102.3;74.4;224.6;5.3;6;67.6;935.9;32.4;22.8;14.5;65.6;2.6;1.3;59.9;null;
2012-11-30;5;95.2;104;104;155.3;7.6;16;260.5;933.3;29.6;22.8;18.1;81.1;3.1;1.3;56.1;null;
2012-12-31;9;112.3;158.8;141.8;191.1;6.7;11;94.1;934;32.1;24.3;19.1;78.4;2.6;1.1;62.2;null;
2013-01-31;5;82.5;192.5;192.5;127.7;7.8;15;332.8;934.6;29.6;23.2;19;81.3;2.1;1.2;58.1;null;
2013-02-28;9;103.5;101.4;83.1;200.5;6.3;6;34;934.8;31.4;23.6;17.6;77.4;2.6;1.1;59.4;null;
2013-03-31;14;81.5;102.6;102.6;133.6;7.9;3;252.6;935.5;30;22.9;16.9;84.8;2.6;1;55.8;null;
2013-04-30;14;66.1;71.2;71.2;120.7;6.9;null;123.8;936.7;27.8;20.3;14.7;84.1;2.1;.9;53;null;
2013-05-31;14;79.8;59.2;59.2;211;4.8;null;94.2;938;27.7;18.6;11.7;82;2.1;.8;52.2;null;
2013-06-30;18;66.7;53.3;47.6;214.7;4.6;null;17.6;939;26.9;18.3;12.1;84.3;2.1;.8;62;null;
2013-07-31;18;88.5;44.6;28.1;252.3;3.6;null;5.3;940.7;27.1;16.6;9.3;78.4;5.8;1.1;62.7;null;
2013-08-31;18;140.7;52.2;23.3;283.8;3.5;null;5.8;939.8;28.7;17.6;10.3;69.8;2.6;1.2;65.1;null;
2013-09-30;14;132;76.5;76.5;218;4.8;null;84.5;938.5;29.6;20.6;15.3;71.9;2.6;1.3;65.5;null;
2013-10-31;14;119.8;null;null;196.4;6.7;null;147.4;937;28.7;21.7;18.1;78.9;3.1;1.3;63.2;null;
2013-11-30;9;120;null;null;172.8;7.2;null;228;935.3;29.3;23;19.9;80.9;2.6;1.2;66.2;null;
2013-12-31;9;84.3;127.4;127.4;166.8;7.6;null;291.4;933.1;30.7;24.3;21.7;83.4;3.1;1.1;70.4;null;
2014-01-31;5;129.8;128.7;115.5;305.1;5.5;null;71.1;936.6;32.1;24.4;19.6;75;3.6;1.3;75.8;null;
2014-02-28;9;162.3;109.4;49.5;240;4.7;null;14.6;935.9;32.3;24.2;18.8;68;2.6;1.2;68;null;
2014-03-31;5;112.4;97.6;84.1;184.2;6.9;null;80.7;936.5;30.1;22.4;15.1;80.1;2.6;1.1;60.8;null;
2014-04-30;18;83.3;79.4;61.2;189.6;6.1;null;57.6;937.2;29.6;21.4;14.6;82.5;3.1;1.1;62.8;null;
2014-05-31;18;89.5;55.7;36;239.7;4.6;null;32.9;938.5;28.1;18.2;11;80.6;2.6;1;61.6;null;
2014-06-30;18;94.1;47;6.2;245.1;4.3;null;1.9;939.7;27.5;17.4;9.9;80.1;3.1;1;57.6;null;
2014-07-31;18;100.2;42.9;42.9;228.9;4.6;null;78;941.8;26.1;16.5;9.8;79.8;2.6;.9;54.6;null;
2014-08-31;9;144.3;67.3;20.9;285.1;3.4;null;0;940.2;29.5;17.8;9.2;71.6;3.1;1;60.9;null;
2014-09-30;18;174;81.6;14.5;242.4;4;null;2.6;937.6;31.6;21.3;13;62.7;3.1;1.3;59.1;null;
2014-10-31;18;185.6;100.1;66.6;255.6;5.1;null;63.6;937.1;32.4;22.5;14.8;63.3;2.6;1.2;54.5;null;
2014-11-30;18;118.3;107;107;160.8;7.1;null;408.1;934.3;30.7;23.2;18.3;77.6;2.6;1.3;61.9;null;
2014-12-31;18;102.3;112.6;112.6;166.2;7.4;null;111.8;935.2;29.6;23.2;19;80.7;3.6;1.1;68.2;null;
2015-01-31;18;138.5;133.5;133;260.8;5.2;null;119.1;936;33.3;24.8;18.1;71.3;2.6;1.2;73.1;null;
2015-02-28;5;77.1;97.6;97.6;151;7.1;null;206.3;935.5;30;23.1;18.7;84.4;5.1;1.2;64.9;null;
2015-03-31;18;62.6;98.6;98.6;111.7;8.2;null;319.3;936;28.9;22.6;19;87.6;5.8;1.1;60;null;
2015-04-30;18;73.5;84.5;77.6;174.8;6.2;null;44.9;936.7;29.5;21.9;17.1;83.9;3.6;.9;58.7;null;
2015-05-31;18;62.7;60.7;60.7;156.2;6;null;76.8;938.7;26.3;19.1;14.2;85.4;2.1;1.1;59;null;
2015-06-30;18;75.1;49.5;39.3;202.2;5.3;null;15;941.3;26.4;17.8;12.7;83.4;2.1;1;60.9;null;
2015-07-31;18;90.4;54.2;25.7;220.2;4.6;null;1.4;940.4;27.5;18.2;13;80.9;3.1;1;56.2;null;
2015-08-31;5;139.3;null;null;269.4;3;null;1.3;939.4;29.6;19.1;12.5;70.3;2.1;1.2;62.1;null;
2015-09-30;5;140.4;88.7;88.7;205.3;4.9;null;97.2;936.4;31.2;22;15.7;73.1;3.1;1.1;57.6;null;
2015-10-31;5;173;134;89.7;263.6;4.7;null;86.2;935.9;34.4;24.3;16.9;66.3;2.6;1.2;58.7;null;
2015-11-30;18;97.7;122.2;122.2;149;7.9;null;197.9;933.9;32;24.5;19.6;80.2;2.6;1;56.3;null;
2015-12-31;18;102.5;122.8;122.8;158.7;8.4;null;195.6;935.9;31.1;24;19.7;81.3;3.1;1.1;60.5;null;
2016-01-31;18;67.5;119.4;119.4;102.6;8.9;null;397.1;934.1;29.4;23.8;20.2;87.2;2.6;1;49.5;null;
2016-02-29;14;null;null;null;198;5.8;null;74.2;936.7;32.7;24.8;19.3;null;1.5;.8;73.4;null;
2016-03-31;14;84.1;107.5;107.5;141.7;7;null;122.6;937.9;30.2;23.6;19.1;null;3;.8;60.7;null;
2016-04-30;14;114.8;86.1;64.8;262.4;3.7;null;16.3;937.3;31.4;22;15.7;78.6;2.1;.9;64;null;
2016-05-31;14;84.6;65;24.2;218.9;4.7;null;1.7;939.1;28.8;19.7;13.4;81.1;2.6;1;60.1;null;
2016-06-30;18;77.5;43.4;43.4;224;4.5;null;64.6;940.9;26.5;16.9;10.3;81.9;2.1;1;59.8;null;
2016-07-31;14;127.1;46.5;17.4;288.7;3.4;null;0;940.2;28.6;17;8.6;75.5;2.6;1.1;57;null;
2016-08-31;18;138.6;57.8;26.3;254.9;4.3;null;16.3;939;29.9;18.4;10;71.1;2.6;1.2;57.9;null;
2016-09-30;14;158.5;87.1;22.2;248;4.6;null;12;937.4;33;21.8;13.3;66.4;3.1;1.2;58.3;null;
2016-10-31;18;138.7;108.5;108.5;219.6;6.5;null;185.3;935.3;31.8;23.3;17.3;74.3;3.1;1.2;60.8;null;
2016-11-30;5;90.8;101.9;101.9;141;7.6;null;139.1;935.1;29.4;22.6;17.8;83.1;2.6;1.1;61.4;null;
2016-12-31;5;null;116;116;null;6.5;null;152;935.1;31.5;null;18.2;null;3.1;1.3;61.7;null;
2017-01-31;9;null;126.8;122;163.4;7.4;null;93.9;935.7;31.9;24.4;19.3;null;2.5;.9;70.6;null;
2017-02-28;5;94.9;101.4;96.3;171.6;6.8;null;86.1;935.6;30.7;23.5;18.5;79.1;2.1;1;64.9;null;
2017-03-31;18;95.1;103.6;93.6;230.3;5.6;null;79.6;935.9;31.1;23.1;17.5;79;2.1;.9;61.4;null;
2017-04-30;14;91.9;86.2;53.6;207.6;5.7;null;33.3;937;30.3;22.3;16.8;78.7;2.1;1;63.3;null;
2017-05-31;14;63.6;60.7;60.7;142.2;5.7;null;98.7;938.2;27.8;19.9;14.2;85.4;2.6;1;58.1;null;
2017-06-30;null;null;null;null;null;null;null;25.1;940.4;null;null;10.4;null;2.1;null;null;null;
2017-07-31;5;99.8;null;null;226.2;4;null;0;944.2;25;15.2;7.6;74.3;3.1;1.3;53.3;null;
2017-08-31;5;135.6;59.1;2.2;217.1;3.3;null;0;939.9;30;18.5;9.6;null;2.6;1.1;41.2;null;
2017-09-30;23;null;64.6;22.9;219.4;3.1;null;21.9;941.1;30.3;19.3;9.6;null;2.6;1.4;57.3;null;
2017-10-31;23;null;101.1;101.1;233.1;5.2;null;75;936.6;31.8;22.6;14.2;null;3.1;1.4;49.1;null;
2017-11-30;18;null;105.9;105.9;139.4;7.3;null;183.2;935;29.3;23;18.1;null;2.6;1.5;48.4;null;
2017-12-31;23;null;119.3;119.3;163.4;8.1;null;244.2;934.3;30.4;23.7;19.1;null;2.6;1.6;43.3;null;
2018-01-31;14;null;121.7;121.7;167.9;7.2;null;244.3;935.3;31.3;23.9;18.5;null;2.6;1.9;55.6;null;
2018-02-28;18;null;101.4;101.4;119.1;7.1;null;143.3;935.3;30.1;23.5;19;null;3.1;1.5;44.9;null;
2018-03-31;18;80.3;null;null;238;5.5;null;78.8;935.2;31.8;23.9;18.8;84;3.1;1.5;58.3;null;
2018-04-30;null;null;null;null;null;null;null;23.4;null;null;null;null;null;null;null;null;null;

