Nome: SETE LAGOAS
Codigo Estacao: 83586
Latitude: -19.48454
Longitude: -44.173798
Altitude: 753.68
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-07-20
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;75.1;107.4;107.4;196.8;7.3;14;383.4;928.4;29;22.8;18;73.4;null;null;52;null;
2012-02-29;null;90.9;103.3;82.9;220.2;5.7;7;31.8;928.9;30.6;23.4;18;66.8;null;null;53.2;null;
2012-03-31;9;92.3;100.8;100.8;214.6;5.5;14;203.4;929.2;29.9;22.9;17.6;70.3;6.2;1.2;52.9;null;
2012-04-30;0;75.7;89.1;84;245;4.8;6;55.3;929.4;29.7;22.5;16.9;71.4;4.6;1.1;53.2;null;
2012-05-31;0;66.7;60.6;50.5;207.3;5.3;5;33.7;932.1;26.3;19.2;13.7;73.5;3.1;.8;53.5;null;
2012-06-30;0;70.7;62.3;35.1;238.4;3.5;4;14.4;932.4;28;19.7;13.9;70.8;4.1;.9;52.8;null;
2012-07-31;0;104.4;56.3;14.5;281.8;2.3;0;0;933;28;18.6;11.1;59.5;4.6;1.1;53.3;null;
2012-08-31;9;118.3;60.5;9.4;261.6;3.3;4;.7;935.5;27.1;18.9;12.1;57.2;5.7;2;53.3;null;
2012-09-30;9;158.7;90;13.7;243.5;3.5;2;7.8;932.1;31.5;22.3;14.8;49.5;5.7;1.6;55;null;
2012-10-31;9;173.2;116.5;31.8;265.4;4.6;4;29.1;929.2;32.4;24.2;17.2;50.2;6.2;2.1;54.1;null;
2012-11-30;null;76.8;105.1;105.1;175.1;7.8;21;211.1;926.8;29.1;23;18.4;73.9;4.1;null;53.8;null;
2012-12-31;null;107;134;127.7;244.1;6;11;96.2;927.4;32.3;25;19.2;66.4;null;null;53.2;null;
2013-01-31;null;83.4;116.3;116.3;145.8;8.3;19;159.5;928.3;29.6;23.5;18.8;74.6;null;null;52.5;null;
2013-02-28;null;94;106.8;95.2;235.5;5.7;8;54.4;928.6;31.4;24.1;17.7;65.5;null;null;53.3;null;
2013-03-31;null;78.1;null;null;141.7;7.2;4;119.1;928.8;29.9;23.6;18.8;75.3;null;null;53;null;
2013-04-30;9;65.1;79.5;79.2;179;7.2;null;71.2;930.4;28.2;21.4;15.8;73.5;3.6;1.2;53.6;null;
