Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;138.6;103.8;103.8;171.9;6.6;16;407.5;1010.9;911.5;27.3;22.5;18.7;69.6;3.1;1.3;54.1;
2012-02-29;9;187;108.3;86.6;219.5;4.3;10;34.3;1011;912.1;28.9;23.8;19.9;58.1;2.6;1.3;64.5;
2012-03-31;9;175.1;106.6;106.6;201.3;5.7;14;196.4;1011.6;912.5;28.2;23.2;19.4;64.6;3;1.2;58.9;
2012-04-30;9;144;91.3;91.3;200.3;4.6;7;111.3;1011.8;912.5;27.7;22.8;19.1;65.7;3.7;1.1;63.3;
2012-05-31;14;134.9;62.7;62.7;182.6;4.8;5;61.1;1015.6;915;24.3;19.6;16.2;67.8;3.1;1.3;64.1;
2012-06-30;9;134.2;64.4;53.9;209.7;3.4;5;17;1016.1;915.5;25.7;20.6;16.9;64.7;3;1.3;66.3;
2012-07-31;9;186.3;64.2;28.8;240.5;2.2;0;0;1016.9;915.9;25.3;19.9;15.3;54.3;3.3;1.2;65.9;
2012-08-31;9;203.9;62.7;14.9;218.9;3.5;0;0;1019.8;918.3;24.5;19.3;15.2;55.5;4.5;1.6;65.6;
2012-09-30;5;242.6;90.4;31.2;228.8;3.2;2;22.8;1014.8;915.2;28.9;22.4;17.4;49.3;4;1.3;64.6;
2012-10-31;5;264.3;111.8;36.9;245.6;4;7;32.1;1011.4;912.5;29.7;23.9;19;50.9;3.3;1.6;65.3;
